paraID,startByte,endByte,chapID
1,0,34,1
2,36,556,1
3,558,1255,1
4,1257,1472,1
5,1474,1527,1
6,1529,1693,1
7,1695,1842,1
8,1844,2100,1
9,2102,2687,1
10,2689,2855,1
11,2857,3275,1
12,3277,3338,1
13,3340,3917,1
14,3919,4098,1
15,4100,4481,1
16,4483,4564,1
17,4566,4825,1
18,4827,5435,1
19,5437,6435,1
20,6437,6482,1
21,6484,6836,1
22,6838,6851,1
23,6853,7665,1
24,7667,7726,1
25,7728,8288,1
26,8290,8559,1
27,8561,8853,1
28,8855,9022,1
29,9024,9643,1
30,9645,9686,1
31,9688,10032,1
32,10034,10243,1
33,10245,10413,1
34,10415,10781,1
35,10783,11285,1
36,11287,11410,1
37,11412,11641,1
38,11643,11906,1
39,11908,11966,1
40,11968,12366,1
41,12368,12409,1
42,12411,12676,1
43,12678,12780,1
44,12782,13173,1
45,13175,13449,1
46,13451,13572,1
47,13574,13695,1
48,13697,13730,1
49,13732,14515,1
50,14517,14565,1
51,14567,15442,1
52,15444,15656,1
53,15658,16187,1
54,16189,16319,1
55,16321,16384,1
56,16386,16553,1
57,16557,16593,2
58,16595,17603,2
59,17605,17804,2
60,17806,17969,2
61,17971,18154,2
62,18156,18378,2
63,18380,18492,2
64,18494,18664,2
65,18666,18691,2
66,18693,19951,2
67,19953,20001,2
68,20003,20073,2
69,20075,20089,2
70,20091,20321,2
71,20323,20352,2
72,20354,20620,2
73,20622,20657,2
74,20659,21688,2
75,21690,21786,2
76,21788,21931,2
77,21933,22523,2
78,22525,22566,2
79,22568,22729,2
80,22731,22816,2
81,22818,22897,2
82,22899,23054,2
83,23056,23197,2
84,23199,23272,2
85,23274,23831,2
86,23833,23864,2
87,23866,24060,2
88,24062,24364,2
89,24366,24435,2
90,24437,24558,2
91,24560,24679,2
92,24681,25179,2
93,25181,25205,2
94,25207,25372,2
95,25374,25470,2
96,25472,25973,2
97,25975,26879,2
98,26883,26917,3
99,26919,27086,3
100,27088,27247,3
101,27249,27284,3
102,27286,27614,3
103,27616,27685,3
104,27687,28406,3
105,28408,28724,3
106,28726,29009,3
107,29011,29220,3
108,29222,29559,3
109,29561,30002,3
110,30004,30143,3
111,30145,30911,3
112,30913,30958,3
113,30960,31471,3
114,31473,32673,3
115,32675,33044,3
116,33046,33105,3
117,33107,33177,3
118,33179,33413,3
119,33415,33458,3
120,33460,33764,3
121,33766,34877,3
122,34879,35100,3
123,35102,35307,3
124,35309,35493,3
125,35495,36417,3
126,36419,36600,3
127,36604,36647,4
128,36649,37525,4
129,37527,37767,4
130,37769,38546,4
131,38548,38691,4
132,38693,38747,4
133,38749,39012,4
134,39014,39244,4
135,39246,39544,4
136,39546,39776,4
137,39778,40403,4
138,40405,40485,4
139,40487,40517,4
140,40519,41137,4
141,41139,42200,4
142,42202,42413,4
143,42415,42801,4
144,42803,42899,4
145,42901,43291,4
146,43293,43759,4
147,43761,44208,4
148,44210,44921,4
149,44923,45455,4
150,45457,45786,4
