qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,Which is it to-day?,"[1475, 1494]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I asked,[],[],[],X,0,major,SignOfFour,5,5,1,1,21,1475,1494
Q0-1,morphine or cocaine?,"[1506, 1526]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I asked,[],[],[],X,0,major,SignOfFour,5,5,1,1,21,1506,1526
Q1-0,"It is cocaine,","[1613, 1627]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,[],[],[],X,1,major,SignOfFour,6,6,1,1,14,1613,1627
Q1-1,a seven-per-cent. solution. Would you care to try it?,"[1639, 1692]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,['you'],"[[1673, 1676]]",[['Dr. Watson']],X,1,major,SignOfFour,6,6,1,1,14,1639,1692
Q2-0,"No, indeed,","[1696, 1707]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I answered,[],[],[],X,2,major,SignOfFour,7,7,1,1,21,1696,1707
Q2-1,My constitution has not got over the Afghan campaign yet. I cannot afford to throw any extra strain upon it.,"[1733, 1841]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I answered,[],[],[],X,2,major,SignOfFour,7,7,1,1,21,1733,1841
Q3-0,"Perhaps you are right, Watson,","[1872, 1902]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,"['you', 'Watson']","[[1880, 1883], [1895, 1901]]","[['Dr. Watson'], ['Dr. Watson']]",X,3,major,SignOfFour,8,8,1,1,14,1872,1902
Q3-1,"I suppose that its influence is physically a bad one. I find it, however, so transcendently stimulating and clarifying to the mind that its secondary action is a matter of small moment.","[1914, 2099]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,[],[],[],X,3,major,SignOfFour,8,8,1,1,14,1914,2099
Q4-0,But consider!,"[2103, 2116]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I said,[],[],[],X,4,major,SignOfFour,9,9,1,1,21,2103,2116
Q4-1,"Count the cost! Your brain may, as you say, be roused and excited, but it is a pathological and morbid process, which involves increased tissue-change and may at last leave a permanent weakness. You know, too, what a black reaction comes upon you. Surely the game is hardly worth the candle. Why should you, for a mere passing pleasure, risk the loss of those great powers with which you have been endowed? Remember that I speak not only as one comrade to another, but as a medical man to one for whose constitution he is to some extent answerable.","[2138, 2686]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I said,"['Your', 'you', 'You', 'you', 'you', 'you']","[[2154, 2158], [2173, 2176], [2333, 2336], [2381, 2384], [2441, 2444], [2522, 2525]]","[['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes'], ['Mr. Sherlock Holmes']]",X,4,major,SignOfFour,9,9,1,1,21,2138,2686
Q5-0,"My mind,","[2858, 2866]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,[],[],[],X,5,major,SignOfFour,11,11,1,1,14,2858,2866
Q5-1,"rebels at stagnation. Give me problems, give me work, give me the most abstruse cryptogram or the most intricate analysis, and I am in my own proper atmosphere. I can dispense then with artificial stimulants. But I abhor the dull routine of existence. I crave for mental exaltation. That is why I have chosen my own particular profession, or rather created it, for I am the only one in the world.","[2878, 3274]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he said,[],[],[],X,5,major,SignOfFour,11,11,1,1,14,2878,3274
Q6-0,The only unofficial detective?,"[3278, 3308]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I said,[],[],[],X,6,major,SignOfFour,12,12,1,1,21,3278,3308
Q7-0,"The only unofficial consulting detective,","[3341, 3382]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he answered,[],[],[],X,7,major,SignOfFour,13,13,1,1,14,3341,3382
Q7-1,"I am the last and highest court of appeal in detection. When Gregson or Lestrade or Athelney Jones are out of their depths which, by the way, is their normal state the matter is laid before me. I examine the data, as an expert, and pronounce a specialist s opinion. I claim no credit in such cases. My name figures in no newspaper. The work itself, the pleasure of finding a field for my peculiar powers, is my highest reward. But you have yourself had some experience of my methods of work in the Jefferson Hope case.","[3398, 3916]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he answered,"['Athelney Jones', 'you']","[[3482, 3496], [3829, 3832]]","[['Mr. Athelney Jones'], ['Dr. Watson']]",X,7,major,SignOfFour,13,13,1,1,14,3398,3916
Q8-0,"Yes, indeed,","[3920, 3932]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,said I,[],[],[],X,8,major,SignOfFour,14,14,1,1,21,3920,3932
Q8-1,I was never so struck by anything in my life. I even embodied it in a small brochure with the somewhat fantastic title of  A Study in Scarlet. ,"[3954, 4097]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,said I,[],[],[],X,8,major,SignOfFour,14,14,1,1,21,3954,4097
Q9-0,"I glanced over it,","[4126, 4144]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,said he,[],[],[],X,9,major,SignOfFour,15,15,1,1,14,4126,4144
Q9-1,"Honestly, I cannot congratulate you upon it. Detection is, or ought to be, an exact science, and should be treated in the same cold and unemotional manner. You have attempted to tinge it with romanticism, which produces much the same effect as if you worked a love-story or an elopement into the fifth proposition of Euclid.","[4156, 4480]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,said he,"['you', 'You', 'you']","[[4188, 4191], [4312, 4315], [4403, 4406]]","[['Dr. Watson'], ['Dr. Watson'], ['Dr. Watson']]",X,9,major,SignOfFour,15,15,1,1,14,4156,4480
Q10-0,"But the romance was there,","[4484, 4510]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I remonstrated,[],[],[],X,10,major,SignOfFour,16,16,1,1,21,4484,4510
Q10-1,I could not tamper with the facts.,"[4529, 4563]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,I remonstrated,[],[],[],X,10,major,SignOfFour,16,16,1,1,21,4529,4563
Q11-0,"Some facts should be suppressed, or at least a just sense of proportion should be observed in treating them. The only point in the case which deserved mention was the curious analytical reasoning from effects to causes by which I succeeded in unraveling it.","[4567, 4824]",Mr. Sherlock Holmes,['Dr. Watson'],Implicit,,[],[],[],X,11,major,SignOfFour,17,17,1,1,14,4567,4824
Q12-0,"My practice has extended recently to the Continent,","[5438, 5489]",Mr. Sherlock Holmes,['Dr. Watson'],Explicit,said Holmes,[],[],[],X,12,major,SignOfFour,19,19,1,1,14,5438,5489
Q12-1,"I was consulted last week by Fran ois Le Villard, who, as you probably know, has come rather to the front lately in the French detective service. He has all the Celtic power of quick intuition, but he is deficient in the wide range of exact knowledge which is essential to the higher developments of his art. The case was concerned with a will, and possessed some features of interest. I was able to refer him to two parallel cases, the one at Riga in 1857, and the other at St. Louis in 1871, which have suggested to him the true solution. Here is the letter which I had this morning acknowledging my assistance.","[5556, 6169]",Mr. Sherlock Holmes,['Dr. Watson'],Explicit,said Holmes,['you'],"[[5614, 5617]]",[['Dr. Watson']],X,12,major,SignOfFour,19,19,1,1,14,5556,6169
Q13-0,"He speaks as a pupil to his master,","[6438, 6473]",Dr. Watson,['Mr. Sherlock Holmes'],Anaphoric,said I,[],[],[],X,13,major,SignOfFour,20,20,1,1,21,6438,6473
Q14-0,"Oh, he rates my assistance too highly,","[6485, 6523]",Mr. Sherlock Holmes,['Dr. Watson'],Explicit,said Sherlock Holmes,[],[],[],X,14,major,SignOfFour,21,21,1,1,14,6485,6523
Q14-1,He has considerable gifts himself. He possesses two out of the three qualities necessary for the ideal detective. He has the power of observation and that of deduction. He is only wanting in knowledge; and that may come in time. He is now translating my small works into French.,"[6557, 6835]",Mr. Sherlock Holmes,['Dr. Watson'],Explicit,said Sherlock Holmes,[],[],[],X,14,major,SignOfFour,21,21,1,1,14,6557,6835
Q15-0,Your works?,"[6839, 6850]",Dr. Watson,['Mr. Sherlock Holmes'],Implicit,,['Your'],"[[6839, 6843]]",[['Mr. Sherlock Holmes']],X,15,major,SignOfFour,22,22,1,1,21,6839,6850
Q16-0,"Oh, didn t you know?","[6854, 6874]",Mr. Sherlock Holmes,['Dr. Watson'],Anaphoric,he cried,['you'],"[[6865, 6868]]",[['Dr. Watson']],X,16,major,SignOfFour,23,23,1,1,14,6854,6874
