source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q1-0,You,3637,3640,3,13,1
pdnc,qID,Q3-0,Lebrun,4756,4762,15,15,1
pdnc,qID,Q4-0,him,4903,4906,15,16,1
pdnc,qID,Q4-0,his,4913,4916,15,16,1
pdnc,qID,Q4-0,he,4931,4933,15,16,1
pdnc,qID,Q4-0,you,4940,4943,3,16,1
pdnc,qID,Q4-0,Edna,4945,4949,3,16,1
pdnc,qID,Q7-0,L once,8893,8899,5,30,1
pdnc,qID,Q9-0,my dear,14657,14664,3,48,1
pdnc,qID,Q10-1,She,23233,23236,0,71,1
pdnc,qID,Q10-1,her,23256,23259,0,71,1
pdnc,qID,Q10-1,she,23270,23273,0,71,1
pdnc,qID,Q10-1,her,23287,23290,0,71,1
pdnc,qID,Q11-0,You,23508,23511,15,72,1
pdnc,qID,Q12-0,You,23572,23575,0,73,1
pdnc,qID,Q12-0,Ratignolle,23622,23632,0,73,1
pdnc,qID,Q16-0,you,28253,28256,3,89,1
pdnc,qID,Q18-1,You,28585,28588,3,91,1
pdnc,qID,Q18-1,your,28602,28606,3,91,1
pdnc,qID,Q18-1,you,28668,28671,3,91,1
pdnc,qID,Q19-0,you,35988,35991,3,113,1
pdnc,qID,Q22-1,you,36693,36696,3,115,1
pdnc,qID,Q24-0,you,37391,37394,3,117,1
pdnc,qID,Q27-0,you,37965,37968,3,120,1
pdnc,qID,Q27-0,ma ch re,38013,38021,3,120,1
pdnc,qID,Q28-1,you,38411,38414,0,121,1
pdnc,qID,Q29-0,Pauvre ch rie,38945,38958,3,122,1
pdnc,qID,Q30-0,Robert,45314,45320,15,138,1
pdnc,qID,Q31-0,you,45565,45568,0,139,1
pdnc,qID,Q32-0,Mrs. Pontellier,45698,45713,3,140,1
pdnc,qID,Q33-1,Madame Ratignolle,45789,45806,0,141,1
pdnc,qID,Q34-0,Mrs. Pontellier,45873,45888,3,142,1
pdnc,qID,Q36-0,She,45974,45977,3,144,1
pdnc,qID,Q36-0,she,45996,45999,3,144,1
pdnc,qID,Q36-0,She,46016,46019,3,144,1
pdnc,qID,Q36-0,you,46065,46068,15,144,1
pdnc,qID,Q37-0,she,46220,46223,3,145,1
pdnc,qID,Q37-1,she,46325,46328,3,145,1
pdnc,qID,Q37-1,Mrs. Pontellier,46444,46459,3,145,1
pdnc,qID,Q37-1,she,46491,46494,3,145,1
pdnc,qID,Q38-0,Robert,46615,46621,15,146,1
pdnc,qID,Q38-1,You,46661,46664,15,146,1
pdnc,qID,Q38-1,you,46690,46693,15,146,1
pdnc,qID,Q38-1,You,46706,46709,15,146,1
pdnc,qID,Q38-1,your,46829,46833,15,146,1
pdnc,qID,Q38-1,you,46929,46932,15,146,1
pdnc,qID,Q38-1,you,46972,46975,15,146,1
pdnc,qID,Q38-1,you,46987,46990,15,146,1
pdnc,qID,Q38-1,you,47072,47075,15,146,1
pdnc,qID,Q40-0,You,47283,47286,0,148,1
pdnc,qID,Q42-0,you,47480,47483,15,150,1
