paraID,startByte,endByte,chapID
1,0,13,-1
2,16,17,1
3,19,114,1
4,116,177,1
5,179,402,1
6,404,532,1
7,534,924,1
8,926,1448,1
9,1450,1664,1
10,1666,2782,1
11,2784,3466,1
12,3468,3634,1
13,3636,4324,1
14,4326,4738,1
15,4740,4889,1
16,4891,4999,1
17,5001,5157,1
18,5159,5581,1
19,5583,5726,1
20,5728,5730,1
21,5732,5971,1
22,5973,6276,1
23,6278,6493,1
24,6495,6815,1
25,6817,7335,1
26,7337,7891,1
27,7893,8312,1
28,8314,8793,1
29,8795,8884,1
30,8886,9088,1
31,9090,9343,1
32,9345,9348,1
33,9350,10000,1
34,10002,10187,1
35,10189,10594,1
36,10596,10775,1
37,10777,11054,1
38,11056,11455,1
39,11457,11770,1
40,11772,12142,1
41,12144,12476,1
42,12478,13166,1
43,13168,13715,1
44,13717,13850,1
45,13852,14279,1
46,14281,14476,1
47,14478,14607,1
48,14609,14714,1
49,14716,15056,1
50,15058,15314,1
51,15316,15756,1
52,15758,15760,1
53,15762,16062,1
54,16064,16696,1
55,16698,17129,1
56,17131,18301,1
57,18303,18626,1
58,18628,19005,1
59,19007,19454,1
60,19456,19711,1
61,19713,20237,1
62,20239,20452,1
63,20454,21098,1
64,21100,21538,1
65,21540,21958,1
66,21960,21961,1
67,21963,22315,1
68,22317,22755,1
69,22757,23045,1
70,23047,23150,1
71,23152,23470,1
72,23472,23569,1
73,23571,23716,1
74,23718,24027,1
75,24029,24322,1
76,24324,24359,1
77,24361,24829,1
78,24831,25044,1
79,25046,25278,1
80,25280,25689,1
81,25691,25760,1
82,25762,26332,1
83,26334,26510,1
84,26512,27051,1
85,27053,27307,1
86,27309,27627,1
87,27629,27823,1
88,27825,28246,1
89,28248,28350,1
90,28352,28557,1
91,28559,28679,1
92,28681,28915,1
93,28917,28919,1
94,28921,29158,1
95,29160,29261,1
96,29263,29457,1
97,29459,29831,1
98,29833,30036,1
99,30038,30234,1
100,30236,30357,1
101,30359,30362,1
102,30364,30679,1
103,30681,31402,1
104,31404,31784,1
105,31786,32228,1
106,32230,32889,1
107,32891,33199,1
108,33201,33571,1
109,33573,34153,1
110,34155,34452,1
111,34454,35616,1
112,35618,35965,1
113,35967,36218,1
114,36220,36606,1
115,36608,36779,1
116,36781,37377,1
117,37379,37450,1
118,37452,37767,1
119,37769,37953,1
120,37955,38057,1
121,38059,38699,1
122,38701,38961,1
123,38963,40048,1
124,40050,40654,1
125,40656,41175,1
126,41177,41527,1
127,41529,41961,1
128,41963,42679,1
129,42681,42990,1
130,42992,43366,1
131,43368,43929,1
132,43931,44313,1
133,44315,44628,1
134,44630,45017,1
135,45019,45109,1
136,45111,45290,1
137,45292,45296,1
138,45298,45542,1
139,45544,45671,1
140,45673,45721,1
141,45723,45821,1
142,45823,45896,1
143,45898,45971,1
144,45973,46080,1
145,46082,46600,1
146,46602,47077,1
147,47079,47205,1
148,47207,47357,1
149,47359,47438,1
150,47440,47956,1
151,47958,48211,1
152,48213,48668,1
153,48670,48981,1
154,48983,49204,1
155,49206,50040,1
156,50042,50279,1
157,50281,50676,1
158,50678,50705,1
159,50707,50745,1
160,50747,50946,1
161,50948,50990,1
162,50992,51015,1
163,51017,51098,1
164,51100,51129,1
165,51131,51219,1
166,51221,51240,1
167,51242,51422,1
168,51424,51616,1
169,51618,51719,1
170,51721,52069,1
171,52071,52322,1
172,52324,52614,1
173,52616,52705,1
174,52707,52913,1
175,52915,52952,1
176,52954,52956,1
177,52958,53492,1
178,53494,54166,1
179,54168,54488,1
180,54490,54694,1
181,54696,55074,1
182,55076,55748,1
183,55750,55891,1
184,55893,56522,1
185,56524,56961,1
186,56963,57204,1
187,57206,57434,1
188,57436,57993,1
189,57995,58496,1
190,58498,58710,1
191,58712,59336,1
192,59338,59677,1
193,59679,60261,1
194,60263,60910,1
195,60912,61191,1
196,61193,61514,1
197,61516,61899,1
198,61901,62095,1
199,62097,62345,1
200,62347,62479,1
201,62481,62723,1
202,62725,62896,1
203,62898,62899,1
204,62901,63314,1
205,63316,63908,1
206,63910,64506,1
207,64508,64770,1
208,64772,65193,1
209,65195,65515,1
210,65517,65780,1
211,65782,65956,1
212,65958,66258,1
213,66260,66529,1
214,66531,66879,1
215,66881,67066,1
216,67068,67222,1
217,67224,67293,1
218,67295,67624,1
219,67626,67823,1
220,67825,67890,1
221,67892,67992,1
222,67994,68068,1
223,68070,68102,1
224,68104,68175,1
225,68177,68201,1
226,68203,68221,1
227,68223,68267,1
228,68269,68314,1
229,68316,68333,1
230,68335,68882,1
231,68884,68970,1
232,68972,69002,1
233,69004,69662,1
234,69664,70317,1
235,70319,70425,1
236,70427,70490,1
237,70492,70525,1
238,70527,70554,1
239,70556,70629,1
240,70631,70693,1
241,70695,71088,1
242,71090,71276,1
243,71278,71396,1
244,71398,71415,1
245,71417,71448,1
246,71450,71546,1
247,71548,71587,1
248,71589,71785,1
249,71787,71886,1
250,71888,71946,1
251,71948,71984,1
252,71986,72241,1
253,72243,72463,1
254,72465,72467,1
255,72469,72682,1
256,72684,72746,1
257,72748,72839,1
258,72841,72938,1
259,72940,73015,1
260,73017,73088,1
261,73090,73186,1
262,73188,73221,1
263,73223,73256,1
264,73258,73284,1
265,73286,73677,1
266,73679,73779,1
267,73781,73815,1
268,73817,73947,1
269,73949,74404,1
270,74406,74568,1
271,74570,75221,1
272,75223,75562,1
273,75564,75838,1
274,75840,75991,1
275,75993,76069,1
276,76071,76187,1
277,76189,76192,1
278,76194,76772,1
279,76774,77388,1
280,77390,77577,1
281,77579,77657,1
282,77659,78022,1
283,78024,78285,1
284,78287,78395,1
285,78397,78630,1
286,78632,79004,1
287,79006,79418,1
288,79420,79872,1
289,79874,80134,1
290,80136,80256,1
291,80258,80323,1
292,80325,80376,1
293,80378,80407,1
294,80409,80454,1
295,80456,80598,1
296,80600,80610,1
297,80612,80634,1
298,80636,80647,1
299,80649,80706,1
300,80708,80740,1
301,80742,80823,1
302,80825,81248,1
303,81250,81767,1
304,81769,81835,1
305,81837,81862,1
306,81864,81983,1
307,81985,82201,1
308,82203,82278,1
309,82280,82305,1
310,82307,82337,1
311,82339,82395,1
312,82397,82571,1
313,82573,82582,1
314,82584,82784,1
315,82786,83112,1
316,83114,83182,1
317,83184,83329,1
318,83331,83528,1
319,83530,83534,1
320,83536,84203,1
321,84205,84467,1
322,84469,84687,1
323,84689,85366,1
324,85368,85805,1
325,85807,86053,1
326,86055,86393,1
327,86395,87223,1
328,87225,87897,1
329,87899,88739,1
330,88741,89072,1
331,89074,89645,1
332,89647,89742,1
333,89744,90022,1
334,90024,90074,1
335,90076,90310,1
336,90312,90470,1
337,90472,90623,1
338,90625,90709,1
339,90711,90871,1
340,90873,90924,1
341,90926,91050,1
342,91052,91457,1
343,91459,91573,1
344,91575,91638,1
345,91640,91676,1
346,91678,91707,1
347,91709,91957,1
348,91959,92196,1
349,92198,92334,1
350,92336,92510,1
351,92512,92880,1
352,92882,93081,1
353,93083,93086,1
354,93088,93394,1
355,93396,93763,1
356,93765,93844,1
357,93846,94639,1
358,94641,94893,1
359,94895,95008,1
360,95010,95073,1
361,95075,95208,1
362,95210,95917,1
363,95919,96241,1
364,96243,96427,1
365,96429,96549,1
366,96551,96553,1
367,96555,97043,1
368,97045,97653,1
369,97655,98035,1
370,98037,98192,1
371,98194,98373,1
372,98375,98572,1
373,98574,98631,1
374,98633,98939,1
375,98941,99148,1
376,99150,99495,1
377,99497,99913,1
378,99915,99991,1
379,99993,100054,1
380,100056,100209,1
381,100211,100368,1
382,100370,100493,1
383,100495,101189,1
384,101191,101680,1
385,101682,101938,1
386,101940,102093,1
387,102095,102141,1
388,102143,102205,1
389,102207,102233,1
390,102235,102316,1
391,102318,102437,1
392,102439,103137,1
393,103139,103555,1
394,103557,104179,1
395,104181,104487,1
396,104489,104823,1
397,104825,104929,1
398,104931,105021,1
399,105023,105117,1
400,105119,105322,1
401,105324,105377,1
402,105379,105415,1
403,105417,105461,1
404,105463,105680,1
405,105682,105707,1
406,105709,105859,1
407,105861,105907,1
408,105909,106029,1
409,106031,106171,1
410,106173,106242,1
411,106244,106305,1
412,106307,106322,1
413,106324,106587,1
414,106589,106682,1
415,106684,107024,1
416,107026,107256,1
417,107258,107325,1
418,107327,107356,1
419,107358,107494,1
420,107496,107838,1
421,107840,108051,1
422,108053,108717,1
423,108719,108722,1
424,108724,109363,1
425,109365,110139,1
426,110141,110783,1
427,110785,111146,1
