qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,What folly! to bathe at such an hour in such heat!,"[3469, 3519]",Leonce Pontellier,"['Edna Pontellier', 'Robert Lebrun']",Explicit,exclaimed Mr Pontellier,[],[],[],X,0,major,TheAwakening,12,12,1,1,5,3469,3519
Q1-0,"You are burnt beyond recognition,","[3637, 3670]",Leonce Pontellier,"['Edna Pontellier', 'Robert Lebrun']",Anaphoric,he added,['You'],"[[3637, 3640]]",[['Edna Pontellier']],X,1,major,TheAwakening,13,13,1,1,5,3637,3670
Q2-0,What is it?,"[4327, 4338]",Leonce Pontellier,"['Edna Pontellier', 'Robert Lebrun']",Explicit,asked Pontellier,[],[],[],X,2,major,TheAwakening,14,14,1,1,5,4327,4338
Q3-0,"Come go along, Lebrun,","[4741, 4763]",Leonce Pontellier,"['Edna Pontellier', 'Robert Lebrun']",Anaphoric,he proposed to Robert,['Lebrun'],"[[4756, 4762]]",[['Robert Lebrun']],X,3,major,TheAwakening,15,15,1,1,5,4741,4763
Q4-0,"Well, send him about his business when he bores you, Edna,","[4892, 4950]",Leonce Pontellier,"['Edna Pontellier', 'Robert Lebrun']",Anaphoric,instructed her husband,"['him', 'his', 'he', 'you', 'Edna']","[[4903, 4906], [4913, 4916], [4931, 4933], [4940, 4943], [4945, 4949]]","[['Robert Lebrun'], ['Robert Lebrun'], ['Robert Lebrun'], ['Edna Pontellier'], ['Edna Pontellier']]",X,4,major,TheAwakening,16,16,1,1,5,4892,4950
Q5-0,"Here, take the umbrella,","[5002, 5026]",Edna Pontellier,"['Leonce Pontellier', 'Robert Lebrun']",Anaphoric,she exclaimed,[],[],[],X,5,major,TheAwakening,17,17,1,1,3,5002,5026
Q6-0,Coming back to dinner?,"[5160, 5182]",Edna Pontellier,"['Leonce Pontellier', 'Robert Lebrun']",Anaphoric,his wife called after him,[],[],[],X,6,major,TheAwakening,18,18,1,1,3,5160,5182
Q7-0,"I see L once isn't coming back,","[8887, 8918]",Edna Pontellier,['Robert Lebrun'],Anaphoric,she said,['L once'],"[[8893, 8899]]",[['Leonce Pontellier']],X,7,major,TheAwakening,30,30,1,1,3,8887,8918
Q8-0,It will buy a handsome wedding present for Sister Janet!,"[14479, 14535]",Edna Pontellier,['Leonce Pontellier'],Anaphoric,she exclaimed,[],[],[],X,8,major,TheAwakening,47,47,1,1,3,14479,14535
Q9-0,"Oh! we'll treat Sister Janet better than that, my dear,","[14610, 14665]",Leonce Pontellier,['Edna Pontellier'],Anaphoric,he laughed,"['we', 'my dear']","[[14614, 14616], [14657, 14664]]","[['Leonce Pontellier', 'Edna Pontellier'], ['Edna Pontellier']]",X,9,major,TheAwakening,48,48,1,1,5,14610,14665
Q10-0,Could any one fathom the cruelty beneath that fair exterior?,"[23153, 23213]",Robert Lebrun,"['Edna Pontellier', 'Madame Ratignolle']",Explicit,murmured Robert,[],[],[],X,10,major,TheAwakening,71,71,1,1,15,23153,23213
Q10-1,"She knew that I adored her once, and she let me adore her. It was","[23233, 23298]",Robert Lebrun,"['Edna Pontellier', 'Madame Ratignolle']",Explicit,murmured Robert,"['She', 'her', 'she', 'her']","[[23233, 23236], [23256, 23259], [23270, 23273], [23287, 23290]]","[['Madame Ratignolle'], ['Madame Ratignolle'], ['Madame Ratignolle'], ['Madame Ratignolle']]",X,10,major,TheAwakening,71,71,1,1,15,23233,23298
Q11-0,"_Par exemple!_ I never had to ask. You were always there under my feet, like a troublesome cat.","[23473, 23568]",Madame Ratignolle,"['Edna Pontellier', 'Robert Lebrun']",Implicit,,['You'],"[[23508, 23511]]",[['Robert Lebrun']],X,11,minor,TheAwakening,72,72,1,1,0,23473,23568
Q12-0,"You mean like an adoring dog. And just as soon as Ratignolle appeared on the scene, then it _was_ like a dog.","[23572, 23681]",Robert Lebrun,"['Edna Pontellier', 'Madame Ratignolle']",Implicit,,"['You', 'Ratignolle']","[[23572, 23575], [23622, 23632]]","[['Madame Ratignolle'], ['Madame Ratignolle']]",X,12,major,TheAwakening,73,73,1,1,15,23572,23681
Q13-0,"Perhaps I feared to make Alphonse jealous,","[23719, 23761]",Madame Ratignolle,"['Edna Pontellier', 'Robert Lebrun']",Anaphoric,she interjoined,[],[],[],X,13,minor,TheAwakening,74,74,1,1,0,23719,23761
Q14-0,"_Blagueur farceur gros b te, va!_","[24325, 24358]",Madame Ratignolle,"['Edna Pontellier', 'Robert Lebrun']",Anaphoric,the lady at the needle kept up a little running contemptuous comment,[],[],[],X,14,minor,TheAwakening,76,76,1,1,0,24325,24358
Q15-0,"_Mais ce n'est pas mal! Elle s'y connait, elle a de la force, oui._","[25692, 25759]",Robert Lebrun,"['Edna Pontellier', 'Madame Ratignolle']",Anaphoric,he addressed to Madame Ratignolle,[],[],[],X,15,major,TheAwakening,81,81,1,1,15,25692,25759
Q16-0,Are you going bathing?,"[28249, 28271]",Robert Lebrun,['Edna Pontellier'],Explicit,asked Robert of Mrs Pontellier,['you'],"[[28253, 28256]]",[['Edna Pontellier']],X,16,major,TheAwakening,89,89,1,1,15,28249,28271
Q17-0,"Oh, no,","[28353, 28360]",Edna Pontellier,['Robert Lebrun'],Anaphoric,she answered,[],[],[],X,17,major,TheAwakening,90,90,1,1,3,28353,28360
Q17-1,I'm tired; I think not.,"[28404, 28427]",Edna Pontellier,['Robert Lebrun'],Anaphoric,she answered,[],[],[],X,17,major,TheAwakening,90,90,1,1,3,28404,28427
Q18-0,"Oh, come!","[28560, 28569]",Robert Lebrun,['Edna Pontellier'],Anaphoric,he insisted,[],[],[],X,18,major,TheAwakening,91,91,1,1,15,28560,28569
Q18-1,You mustn't miss your bath. Come on. The water must be delicious; it will not hurt you. Come.,"[28585, 28678]",Robert Lebrun,['Edna Pontellier'],Anaphoric,he insisted,"['You', 'your', 'you']","[[28585, 28588], [28602, 28606], [28668, 28671]]","[['Edna Pontellier'], ['Edna Pontellier'], ['Edna Pontellier']]",X,18,major,TheAwakening,91,91,1,1,15,28585,28678
Q19-0,Of whom of what are you thinking?,"[35968, 36001]",Madame Ratignolle,['Edna Pontellier'],Explicit,asked Ad le of her companion,['you'],"[[35988, 35991]]",[['Edna Pontellier']],X,19,minor,TheAwakening,113,113,1,1,0,35968,36001
Q20-0,"Nothing,","[36221, 36229]",Edna Pontellier,['Madame Ratignolle'],Explicit,returned Mrs Pontellier,[],[],[],X,20,major,TheAwakening,114,114,1,1,3,36221,36229
Q21-0,"How stupid! But it seems to me it is the reply we make instinctively to such a question. Let me see,","[36288, 36388]",Edna Pontellier,['Madame Ratignolle'],Anaphoric,she went on,[],[],[],X,21,major,TheAwakening,114,114,1,1,3,36288,36388
Q21-1,Let me see. I was really not conscious of thinking of anything; but perhaps I can retrace my thoughts.,"[36503, 36605]",Edna Pontellier,['Madame Ratignolle'],Anaphoric,she went on,[],[],[],X,21,major,TheAwakening,114,114,1,1,3,36503,36605
Q22-0,Oh! never mind!,"[36609, 36624]",Madame Ratignolle,['Edna Pontellier'],Explicit,laughed Madame Ratignolle,[],[],[],X,22,minor,TheAwakening,115,115,1,1,0,36609,36624
Q22-1,"I am not quite so exacting. I will let you off this time. It is really too hot to think, especially to think about thinking.","[36654, 36778]",Madame Ratignolle,['Edna Pontellier'],Explicit,laughed Madame Ratignolle,['you'],"[[36693, 36696]]",[['Edna Pontellier']],X,22,minor,TheAwakening,115,115,1,1,0,36654,36778
Q23-0,"But for the fun of it,","[36782, 36804]",Edna Pontellier,['Madame Ratignolle'],Explicit,persisted Edna,[],[],[],X,23,major,TheAwakening,116,116,1,1,3,36782,36804
Q23-1,"First of all, the sight of the water stretching so far away, those motionless sails against the blue sky, made a delicious picture that I just wanted to sit and look at. The hot wind beating in my face made me think without any connection that I can trace of a summer day in Kentucky, of a meadow that seemed as big as the ocean to the very little girl walking through the grass, which was higher than her waist. She threw out her arms as if swimming when she walked, beating the tall grass as one strikes out in the water. Oh, I see the connection now!","[36823, 37376]",Edna Pontellier,['Madame Ratignolle'],Explicit,persisted Edna,[],[],[],X,23,major,TheAwakening,116,116,1,1,3,36823,37376
Q24-0,"Where were you going that day in Kentucky, walking through the grass?","[37380, 37449]",Madame Ratignolle,['Edna Pontellier'],Implicit,,['you'],"[[37391, 37394]]",[['Edna Pontellier']],X,24,minor,TheAwakening,117,117,1,1,0,37380,37449
Q25-0,"I don't remember now. I was just walking diagonally across a big field. My sun-bonnet obstructed the view. I could see only the stretch of green before me, and I felt as if I must walk on forever, without coming to the end of it. I don't remember whether I was frightened or pleased. I must have been entertained.","[37453, 37766]",Edna Pontellier,['Madame Ratignolle'],Implicit,,[],[],[],X,25,major,TheAwakening,118,118,1,1,3,37453,37766
Q26-0,"Likely as not it was Sunday,","[37770, 37798]",Edna Pontellier,['Madame Ratignolle'],Anaphoric,she laughed,[],[],[],X,26,major,TheAwakening,119,119,1,1,3,37770,37798
Q26-1,"and I was running away from prayers, from the Presbyterian service, read in a spirit of gloom by my father that chills me yet to think of.","[37814, 37952]",Edna Pontellier,['Madame Ratignolle'],Anaphoric,she laughed,[],[],[],X,26,major,TheAwakening,119,119,1,1,3,37814,37952
Q27-0,"And have you been running away from prayers ever since, _ma ch re?_","[37956, 38023]",Madame Ratignolle,['Edna Pontellier'],Explicit,asked Madame Ratignolle,"['you', 'ma ch re']","[[37965, 37968], [38013, 38021]]","[['Edna Pontellier'], ['Edna']]",X,27,minor,TheAwakening,120,120,1,1,0,37956,38023
Q28-0,"No! oh, no!","[38060, 38071]",Edna Pontellier,['Madame Ratignolle'],Explicit,Edna hastened to say,[],[],[],X,28,major,TheAwakening,121,121,1,1,3,38060,38071
