,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,4,65,66,5,69,74,20839
1,2,75,20844,20846,76,20849,93,34399
2,3,94,34404,34407,95,34410,108,45373
3,4,109,45378,45380,110,45383,130,57806
4,5,131,57811,57812,132,57815,202,74441
5,6,203,74446,74448,204,74451,251,92304
6,7,252,92309,92312,253,92315,293,107761
7,8,294,107763,107767,295,107770,352,125717
8,9,353,125722,125724,354,125727,434,144847
9,10,435,144852,144853,436,144856,542,173188
10,11,543,173193,173195,544,173198,618,192254
11,12,619,192259,192262,620,192265,760,218416
12,13,761,218418,218422,762,218425,807,245287
13,14,808,245292,245295,809,245298,864,265127
14,15,865,265132,265134,866,265137,963,286407
15,16,964,286412,286415,965,286418,1001,308554
16,17,1002,308559,308563,1003,308566,1053,331532
