source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,the general,The General,268,279,16,5,1,M_0
booknlp,COREF,150,his,373,376,16,5,1,M_1
exp,exp_name,the general,the General,503,514,16,5,1,M_2
exp,exp_name,polina alexandrovna,Polina Alexandrovna,897,916,12,5,1,M_3
booknlp,COREF,47,she,1007,1010,12,5,1,M_4
exp,exp_name,the general,the General,1245,1256,16,6,1,M_5
exp,exp_name,the general,the General,1376,1387,16,6,1,M_6
booknlp,COREF,150,he,1456,1458,16,6,1,M_7
booknlp,COREF,150,him,1535,1538,16,6,1,M_8
exp,exp_name,the general,the General,1760,1771,16,6,1,M_9
booknlp,COREF,150,He,1773,1775,16,6,1,M_10
booknlp,COREF,150,he,1858,1860,16,6,1,M_11
booknlp,COREF,150,he,1886,1888,16,6,1,M_12
booknlp,COREF,150,He,1920,1922,16,6,1,M_13
booknlp,COREF,150,he,2014,2016,16,6,1,M_14
booknlp,COREF,150,he,2144,2146,16,6,1,M_15
booknlp,COREF,150,his,2265,2268,16,6,1,M_16
booknlp,COREF,150,he,2289,2291,16,6,1,M_17
booknlp,COREF,150,I,2309,2310,16,7,1,M_18
pdnc,qID,Q0-0,you,2319,2322,4,7,1,M_19
booknlp,COREF,150,my,2392,2394,16,7,1,M_20
booknlp,COREF,150,I,2420,2421,16,7,1,M_21
pdnc,qID,Q0-0,you,2440,2443,4,7,1,M_22
booknlp,COREF,150,I,2468,2469,16,7,1,M_23
pdnc,qID,Q0-0,your,2477,2481,4,7,1,M_24
booknlp,COREF,150,I,2515,2516,16,7,1,M_25
pdnc,qID,Q0-0,you,2546,2549,4,7,1,M_26
booknlp,COREF,150,me,2582,2584,16,7,1,M_27
pdnc,qID,Q2-0,you,2645,2648,4,9,1,M_28
exp,exp_name,the general,the General,2692,2703,16,9,1,M_29
booknlp,COREF,150,he,2727,2729,16,9,1,M_30
booknlp,COREF,150,his,2741,2744,16,9,1,M_31
booknlp,COREF,150,himself,2770,2777,16,9,1,M_32
booknlp,COREF,150,he,2808,2810,16,9,1,M_33
booknlp,COREF,150,he,2820,2822,16,9,1,M_34
booknlp,COREF,150,his,2850,2853,16,9,1,M_35
booknlp,COREF,150,he,2884,2886,16,10,1,M_36
booknlp,COREF,150,my,3007,3009,16,10,1,M_37
pdnc,qID,Q4-0,You,3050,3053,4,12,1,M_38
booknlp,COREF,150,I,3083,3084,16,12,1,M_39
booknlp,COREF,150,he,3091,3093,16,12,1,M_40
pdnc,qID,Q4-1,You,3106,3109,4,12,1,M_41
booknlp,COREF,150,I,3150,3151,16,12,1,M_42
booknlp,COREF,150,I,3162,3163,16,12,1,M_43
booknlp,COREF,150,my,3220,3222,16,12,1,M_44
exp,exp_name,mlle. blanche,Mlle. Blanche,3396,3409,7,13,1,M_45
exp,exp_name,polina alexandrovna,Polina Alexandrovna,3433,3452,12,13,1,M_46
exp,exp_name,the frenchman,the Frenchman,3473,3486,8,13,1,M_47
exp,exp_name,the general,the General,3508,3519,16,13,1,M_48
exp,exp_name,the general,the General,3617,3628,16,13,1,M_49
exp,exp_name,mlle. blanche,Mlle. Blanche,3892,3905,7,13,1,M_50
booknlp,COREF,50,her,3917,3920,7,13,1,M_51
