paraID,startByte,endByte,chapID
1,0,11,-1
2,13,34,-1
3,36,63,-1
4,65,66,1
5,69,1144,1
6,1146,2306,1
7,2308,2586,1
8,2588,2638,1
9,2640,2862,1
10,2864,3017,1
11,3019,3047,1
12,3049,3230,1
13,3232,4161,1
14,4163,4987,1
15,4989,5976,1
16,5978,6347,1
17,6349,6751,1
18,6753,7223,1
19,7225,7570,1
20,7572,7730,1
21,7732,7847,1
22,7849,8122,1
23,8124,8277,1
24,8279,10227,1
25,10230,10430,1
26,10432,10957,1
27,10959,10984,1
28,10986,11143,1
29,11145,11857,1
30,11859,11941,1
31,11943,12095,1
32,12097,13116,1
33,13118,13354,1
34,13356,13460,1
35,13462,13510,1
36,13512,13815,1
37,13817,13874,1
38,13876,13984,1
39,13986,14003,1
40,14005,14172,1
41,14174,14259,1
42,14261,14320,1
43,14322,14448,1
44,14450,14548,1
45,14550,14646,1
46,14648,14663,1
47,14665,14942,1
48,14944,14973,1
49,14975,15137,1
50,15139,15232,1
51,15234,15366,1
52,15368,15480,1
53,15482,15556,1
54,15558,15602,1
55,15604,15762,1
56,15764,15914,1
57,15916,15976,1
58,15978,16002,1
59,16004,16179,1
60,16181,16284,1
61,16286,16311,1
62,16313,16331,1
63,16333,16500,1
64,16502,16685,1
65,16687,16869,1
66,16871,16886,1
67,16888,17349,1
68,17351,17528,1
69,17530,17647,1
70,17649,17967,1
71,17969,18006,1
72,18008,18179,1
73,18181,20350,1
74,20352,20839,1
75,20844,20846,1
76,20849,22149,1
77,22151,23175,1
78,23177,23619,1
79,23621,24176,1
80,24178,25004,1
81,25006,28174,1
82,28176,29248,1
83,29250,29856,1
84,29858,30716,1
85,30718,32352,1
86,32354,33319,1
87,33321,33352,1
88,33354,33467,1
89,33469,33595,1
90,33597,33737,1
91,33739,34114,1
92,34116,34327,1
93,34329,34399,1
94,34404,34407,1
95,34410,35311,1
96,35313,36557,1
97,36559,37478,1
98,37480,38825,1
99,38827,40562,1
100,40564,43556,1
101,43558,44685,1
102,44687,44765,1
103,44767,44977,1
104,44979,45012,1
105,45014,45050,1
106,45052,45107,1
107,45109,45188,1
108,45190,45373,1
109,45378,45380,1
110,45383,46875,1
111,46877,48250,1
112,48252,49174,1
113,49176,49729,1
114,49731,50011,1
115,50013,50472,1
116,50474,51375,1
117,51377,51690,1
118,51692,51742,1
119,51744,52396,1
120,52398,52483,1
121,52485,52634,1
122,52636,52801,1
123,52803,52851,1
124,52853,52902,1
125,52904,52964,1
126,52966,53061,1
127,53063,53124,1
128,53126,57124,1
129,57126,57326,1
130,57328,57806,1
131,57811,57812,1
132,57815,58015,1
133,58017,58227,1
134,58229,58440,1
135,58442,58538,1
136,58540,58865,1
137,58867,59006,1
138,59008,59042,1
139,59044,59344,1
140,59346,59426,1
141,59428,59869,1
142,59871,60090,1
143,60092,60424,1
144,60426,60464,1
145,60466,60677,1
146,60679,60711,1
147,60713,60980,1
148,60982,61077,1
149,61079,61474,1
150,61476,61694,1
151,61696,61720,1
152,61722,62086,1
153,62088,62372,1
154,62374,62403,1
155,62405,62555,1
156,62557,62641,1
157,62643,62728,1
158,62730,63107,1
159,63109,63223,1
160,63225,63327,1
161,63329,63501,1
162,63503,63651,1
163,63653,65194,1
164,65196,65807,1
165,65809,66083,1
166,66085,66187,1
167,66189,66236,1
168,66238,66364,1
169,66366,67044,1
170,67046,67122,1
171,67124,67419,1
172,67421,67462,1
173,67464,68479,1
174,68481,68514,1
175,68516,68739,1
176,68741,68901,1
177,68903,69282,1
178,69284,69874,1
179,69876,70099,1
180,70101,70174,1
181,70176,70229,1
182,70231,70342,1
183,70344,70400,1
184,70402,70409,1
185,70411,70431,1
186,70433,70449,1
187,70451,70582,1
188,70584,70676,1
189,70678,71180,1
190,71182,71289,1
191,71291,71398,1
192,71400,71658,1
193,71660,72441,1
194,72443,72673,1
195,72675,72998,1
196,73000,73006,1
197,73008,73314,1
198,73316,73385,1
199,73387,73438,1
200,73440,73740,1
201,73742,74202,1
202,74204,74441,1
203,74446,74448,1
204,74451,75045,1
205,75047,76226,1
206,76228,76243,1
207,76245,76451,1
208,76453,77234,1
209,77236,77290,1
210,77292,77449,1
211,77451,77575,1
212,77577,77667,1
213,77669,77887,1
214,77889,77980,1
215,77982,78407,1
216,78409,78510,1
217,78512,78564,1
218,78566,78822,1
219,78824,79129,1
220,79131,79372,1
221,79374,79569,1
222,79571,79605,1
223,79607,79685,1
224,79687,79818,1
225,79820,80096,1
226,80098,80188,1
227,80190,80530,1
228,80532,80623,1
229,80625,80764,1
230,80766,80915,1
231,80917,80934,1
232,80936,81020,1
233,81022,82041,1
234,82043,82278,1
235,82280,82499,1
236,82501,84571,1
237,84573,85352,1
238,85354,85502,1
239,85504,86125,1
240,86127,86249,1
241,86251,87038,1
242,87040,87236,1
243,87238,87906,1
244,87908,88031,1
245,88033,88543,1
246,88545,89070,1
247,89072,89739,1
248,89741,89880,1
249,89882,90812,1
250,90814,91636,1
251,91639,92304,1
252,92309,92312,1
253,92315,92866,1
254,92868,93509,1
255,93511,93800,1
256,93802,94770,1
257,94772,95153,1
258,95155,95673,1
259,95675,95817,1
260,95819,96695,1
261,96697,97048,1
262,97050,97220,1
263,97222,99343,1
264,99345,99656,1
265,99658,99752,1
266,99754,99768,1
267,99770,99980,1
268,99982,100163,1
269,100165,100191,1
270,100193,100427,1
271,100429,100509,1
272,100511,100617,1
273,100619,100944,1
274,100946,101098,1
275,101100,101151,1
276,101153,101193,1
277,101195,101512,1
278,101514,101862,1
279,101864,102561,1
280,102563,103658,1
281,103660,103844,1
282,103846,104447,1
283,104449,104573,1
284,104575,105019,1
285,105021,105033,1
286,105035,105139,1
287,105141,105425,1
288,105427,105725,1
289,105727,105980,1
290,105982,106163,1
291,106165,106257,1
292,106259,106409,1
293,106411,107761,1
