qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"I suppose you would like to take them to the Casino to play roulette? Well, excuse my speaking so plainly, but I know how addicted you are to gambling. Though I am not your mentor, nor wish to be, at least I have a right to require that you shall not actually _compromise_ me.","[2309, 2585]",The General,['Alexis Ivanovitch'],Anaphoric,he added,"['you', 'you', 'your', 'you']","[[2319, 2322], [2440, 2443], [2477, 2481], [2546, 2549]]","[['Alexis Ivanovitch'], ['Alexis Ivanovitch'], ['Alexis Ivanovitch'], ['Alexis Ivanovitch']]",X,0,major,TheGambler,7,7,1,1,16,2309,2585
Q1-0,"I have no money for gambling,","[2589, 2618]",Alexis Ivanovitch,['The General'],Anaphoric,I quietly replied,[],[],[],X,1,major,TheGambler,8,8,1,1,4,2589,2618
Q2-0,"But you will soon be in receipt of some,","[2641, 2681]",The General,['Alexis Ivanovitch'],Explicit,retorted the General,['you'],"[[2645, 2648]]",[['Alexis Ivanovitch']],X,2,major,TheGambler,9,9,1,1,16,2641,2681
Q3-0,"Let us calculate,","[2865, 2882]",The General,['Alexis Ivanovitch'],Anaphoric,he went on,['us'],"[[2869, 2871]]","[['The General', 'Alexis Ivanovitch']]",X,3,major,TheGambler,10,10,1,1,16,2865,2882
Q3-1,"We must translate these roubles into thalers. Here take 100 thalers, as a round sum. The rest will be safe in my hands.","[2897, 3016]",The General,['Alexis Ivanovitch'],Anaphoric,he went on,['We'],"[[2897, 2899]]","[['The General', 'Alexis Ivanovitch']]",X,3,major,TheGambler,10,10,1,1,16,2897,3016
Q4-0,"You must not be offended at what I say,","[3050, 3089]",The General,['Alexis Ivanovitch'],Anaphoric,he continued,['You'],"[[3050, 3053]]",[['Alexis Ivanovitch']],X,4,major,TheGambler,12,12,1,1,16,3050,3089
Q4-1,You are too touchy about these things. What I have said I have said merely as a warning. To do so is no more than my right.,"[3106, 3229]",The General,['Alexis Ivanovitch'],Anaphoric,he continued,['You'],"[[3106, 3109]]",[['Alexis Ivanovitch']],X,4,major,TheGambler,12,12,1,1,16,3106,3229
Q5-0,"_Why_ do I continue to dance attendance upon the General, instead of having left him and his family long ago?","[6481, 6590]",Alexis Ivanovitch,['Alexis Ivanovitch'],Anaphoric,I had asked myself,"['General', 'him', 'his']","[[6530, 6537], [6562, 6565], [6570, 6573]]","[['The General'], ['The General'], ['The General']]",X,5,major,TheGambler,17,17,1,1,4,6481,6590
Q6-0,"If one is a man of self-respect,","[7226, 7258]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I went on,[],[],[],X,6,major,TheGambler,19,19,1,1,4,7226,7258
Q6-1,"one risks abuse by so doing, and is forced to put up with insults of every kind. Both at Paris and on the Rhine, and even in Switzerland there are so many Poles, with their sympathisers, the French, at these tables d h te that one cannot get a word in edgeways if one happens only to be a Russian.","[7272, 7569]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I went on,[],[],[],X,6,major,TheGambler,19,19,1,1,4,7272,7569
Q7-0,"Of course, one always learns _something everywhere_,","[7733, 7785]",Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']",Anaphoric,said the Frenchman,[],[],[],X,7,minor,TheGambler,21,21,1,1,8,7733,7785
Q8-0,"In Paris, too, I had a dispute with a Pole,","[7850, 7893]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I continued,[],[],[],X,8,major,TheGambler,22,22,1,1,4,7850,7893
Q8-1,and then with a French officer who supported him. After that a section of the Frenchmen present took my part. They did so as soon as I told them the story of how once I threatened to spit into Monsignor s coffee.,"[7909, 8121]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I continued,[],[],[],X,8,major,TheGambler,22,22,1,1,4,7909,8121
Q9-0,To spit into it?,"[8125, 8141]",The General,"['Marqis De Griers', 'Mr. Astley', 'Alexis Ivanovitch']",Explicit,the General inquired,[],[],[],X,9,major,TheGambler,23,23,1,1,16,8125,8141
Q10-0,"Just so,","[8280, 8288]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,[],[],[],X,10,major,TheGambler,24,24,1,1,4,8280,8288
Q10-1,"You must know that, on one occasion, when, for two days, I had felt certain that at any moment I might have to depart for Rome on business, I repaired to the Embassy of the Holy See in Paris, to have my passport visaed. There I encountered a sacristan of about fifty, and a man dry and cold of mien. After listening politely, but with great reserve, to my account of myself, this sacristan asked me to wait a little. I was in a great hurry to depart, but of course I sat down, pulled out a copy of _L Opinion Nationale_, and fell to reading an extraordinary piece of invective against Russia which it happened to contain. As I was thus engaged I heard some one enter an adjoining room and ask for Monsignor; after which I saw the sacristan make a low bow to the visitor, and then another bow as the visitor took his leave. I ventured to remind the good man of my own business also; whereupon, with an expression of, if anything, increased dryness, he again asked me to wait. Soon a third visitor arrived who, like myself, had come on business (he was an Austrian of some sort); and as soon as ever he had stated his errand he was conducted upstairs! This made me very angry. I rose, approached the sacristan, and told him that, since Monsignor was receiving callers, his lordship might just as well finish off my affair as well. Upon this the sacristan shrunk back in astonishment. It simply passed his understanding that any insignificant Russian should dare to compare himself with other visitors of Monsignor s! In a tone of the utmost effrontery, as though he were delighted to have a chance of insulting me, he looked me up and down, and then said: ","[8302, 9956]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,['You'],"[[8302, 8305]]",[['The General']],X,10,major,TheGambler,24,24,1,1,4,8302,9956
Q10-2, But I only cried the louder: ,"[10031, 10061]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,[],[],[],X,10,major,TheGambler,24,24,1,1,4,10031,10061
Q10-3,"screeched the sacristan, again shrinking back in horror. Then, rushing to the door, he spread out his arms as though he would rather die than let me enter.","[10275, 10430]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,[],[],[],X,10,major,TheGambler,25,25,1,1,4,10275,10430
Q11-0,But ,"[10960, 10964]",The General,"['Marqis De Griers', 'Mr. Astley', 'Alexis Ivanovitch']",Explicit,the General began,[],[],[],X,11,major,TheGambler,27,27,1,1,16,10960,10964
Q12-0,"What really saved you was the fact that you proclaimed yourself a heretic and a barbarian,","[10987, 11077]",Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']",Anaphoric,remarked the Frenchman,"['you', 'you']","[[11005, 11008], [11027, 11030]]","[['Alexis Ivanovitch'], ['Alexis Ivanovitch']]",X,12,minor,TheGambler,28,28,1,1,8,10987,11077
Q12-1,Cela n  tait pas si b te.,"[11117, 11142]",Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']",Anaphoric,remarked the Frenchman,[],[],[],X,12,minor,TheGambler,28,28,1,1,8,11117,11142
Q13-0,"But is _that_ how Russian subjects ought to be treated? Why, when they settle here they dare not utter even a word they are ready even to deny the fact that they are Russians! At all events, at my hotel in Paris I received far more attention from the company after I had told them about the fracas with the sacristan. A fat Polish nobleman, who had been the most offensive of all who were present at the table d h te, at once went upstairs, while some of the Frenchmen were simply disgusted when I told them that two years ago I had encountered a man at whom, in 1812, a French  hero  fired for the mere fun of discharging his musket. That man was then a boy of ten and his family are still residing in Moscow.","[11146, 11856]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Implicit,,[],[],[],X,13,major,TheGambler,29,29,1,1,4,11146,11856
Q14-0,Impossible!,"[11860, 11871]",Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']",Anaphoric,the Frenchman spluttered,[],[],[],X,14,minor,TheGambler,30,30,1,1,8,11860,11871
Q14-1,No French soldier would fire at a child!,"[11900, 11940]",Marqis De Griers,"['The General', 'Mr. Astley', 'Alexis Ivanovitch']",Anaphoric,the Frenchman spluttered,[],[],[],X,14,minor,TheGambler,30,30,1,1,8,11900,11940
Q15-0,"Nevertheless the incident was as I say,","[11944, 11983]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,[],[],[],X,15,major,TheGambler,31,31,1,1,4,11944,11983
Q15-1,"A very respected ex-captain told me the story, and I myself could see the scar left on his cheek.","[11997, 12094]",Alexis Ivanovitch,"['The General', 'Marqis De Griers', 'Mr. Astley']",Anaphoric,I replied,[],[],[],X,15,major,TheGambler,31,31,1,1,4,11997,12094
Q16-0,"Come what may, I _must_ have money,","[13357, 13392]",Polina Alexandrovna,['Alexis Ivanovitch'],Anaphoric,she said,[],[],[],X,16,major,TheGambler,34,34,1,1,12,13357,13392
Q16-1,And get it somehow I will otherwise I shall be ruined.,"[13405, 13459]",Polina Alexandrovna,['Alexis Ivanovitch'],Anaphoric,she said,[],[],[],X,16,major,TheGambler,34,34,1,1,12,13405,13459
Q17-0,"Nothing; except that two pieces of news have reached us from St. Petersburg. In the first place, my grandmother is very ill, and unlikely to last another couple of days. We had this from Timothy Petrovitch himself, and he is a reliable person. Every moment we are expecting to receive news of the end.","[13513, 13814]",Polina Alexandrovna,['Alexis Ivanovitch'],Implicit,,"['us', 'We', 'we']","[[13566, 13568], [13683, 13685], [13770, 13772]]","[['Polina Alexandrovna'], ['Polina Alexandrovna'], ['Polina Alexandrovna']]",X,17,major,TheGambler,36,36,1,1,12,13513,13814
Q18-0,All of you are on the tiptoe of expectation?,"[13818, 13862]",Alexis Ivanovitch,['Polina Alexandrovna'],Anaphoric,I queried,['you'],"[[13825, 13828]]",[['Polina Alexandrovna']],X,18,major,TheGambler,37,37,1,1,4,13818,13862
Q19-0,"Of course all of us, and every minute of the day. For a year-and-a-half now we have been looking for this.","[13877, 13983]",Polina Alexandrovna,['Alexis Ivanovitch'],Implicit,,"['us', 'we']","[[13894, 13896], [13953, 13955]]","[['Polina Alexandrovna'], ['Polina Alexandrovna']]",X,19,major,TheGambler,38,38,1,1,12,13877,13983
Q20-0,Looking for it?,"[13987, 14002]",Alexis Ivanovitch,['Polina Alexandrovna'],Implicit,,[],[],[],X,20,major,TheGambler,39,39,1,1,4,13987,14002
Q21-0,"Yes, looking for it. I am not her blood relation, you know I am merely the General s step-daughter. Yet I am certain that the old lady has remembered me in her will.","[14006, 14171]",Polina Alexandrovna,['Alexis Ivanovitch'],Implicit,,['the General'],"[[14077, 14088]]",[['The General']],X,21,major,TheGambler,40,40,1,1,12,14006,14171
Q22-0,"Yes, I believe that you _will_ come in for a good deal,","[14175, 14230]",Alexis Ivanovitch,['Polina Alexandrovna'],Anaphoric,I said,['you'],"[[14195, 14198]]",[['Polina Alexandrovna']],X,22,major,TheGambler,41,41,1,1,4,14175,14230
