chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,3,48,84,4,87,38,11063
2,39,11068,11117,40,11120,84,20793
3,85,20798,20839,86,20842,127,30821
4,128,30826,30871,129,30874,158,43331
5,159,43336,43375,160,43378,173,47631
6,174,47636,47675,175,47678,198,55239
7,199,55244,55286,200,55289,270,71401
8,271,71406,71430,272,71433,272,72359
9,273,72364,72393,274,72396,344,82699
10,345,82704,82742,346,82745,352,88478
11,353,88483,88520,354,88523,387,94595
12,388,94600,94647,389,94650,439,104318
13,440,104323,104373,441,104376,479,108334
14,480,108339,108365,481,108368,548,118657
15,549,118662,118697,550,118700,560,122170
16,561,122175,122213,562,122216,596,129346
17,597,129348,129380,598,129383,696,143271
18,697,143276,143315,698,143318,729,150432
19,730,150437,150474,731,150477,773,160688
20,774,160693,160742,775,160745,829,179512
21,830,179517,179546,831,179549,849,189171
22,850,189176,189205,851,189208,869,201131
23,870,201136,201164,871,201167,932,219359
24,933,219364,219398,934,219401,976,226989
25,977,226994,227039,978,227042,995,230753
26,996,230758,230792,997,230795,1008,239788
27,1009,239793,239833,1010,239836,1099,256105
28,1100,256110,256143,1101,256146,1141,271900
