source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q1-0,your,1920,1924,24,5,1
pdnc,qID,Q1-0,sir,1939,1942,24,5,1
pdnc,qID,Q3-0,sir,2382,2385,24,9,1
pdnc,qID,Q3-1,you,2404,2407,24,9,1
pdnc,qID,Q4-0,Your,2946,2950,24,10,1
pdnc,qID,Q4-0,sir,2968,2971,24,10,1
pdnc,qID,Q5-0,you,2982,2985,15,11,1
pdnc,qID,Q10-0,sir,5809,5812,24,18,1
pdnc,qID,Q11-0,you,5871,5874,15,19,1
pdnc,qID,Q12-0,sir,5976,5979,24,20,1
pdnc,qID,Q14-0,The poor soul,6961,6974,24,22,1
pdnc,qID,Q15-0,he,7218,7220,24,23,1
pdnc,qID,Q16-0,his,7356,7359,24,23,1
pdnc,qID,Q16-0,his,7412,7415,24,23,1
pdnc,qID,Q20-0,sir,8788,8791,24,27,1
pdnc,qID,Q21-0,sir,8998,9001,24,27,1
pdnc,qID,Q23-0,sir,9372,9375,24,29,1
pdnc,qID,Q23-0,You,9377,9380,24,29,1
pdnc,qID,Q23-0,sir,9445,9448,24,29,1
pdnc,qID,Q25-0,sir,9581,9584,24,31,1
pdnc,qID,Q27-0,sir,9713,9716,24,33,1
pdnc,qID,Q27-0,sir,9864,9867,24,33,1
pdnc,qID,Q27-0,sir,9935,9938,24,33,1
pdnc,qID,Q28-0,you,9948,9951,15,34,1
pdnc,qID,Q30-0,Mrs. Hall,11322,11331,15,40,2
pdnc,qID,Q31-0,you,11493,11496,17,41,2
pdnc,qID,Q31-0,Mr. Teddy,11506,11515,17,41,2
pdnc,qID,Q31-1,you,11544,11547,17,41,2
pdnc,qID,Q32-0,you,12872,12875,24,44,2
pdnc,qID,Q32-0,sir,12882,12885,24,44,2
pdnc,qID,Q32-0,this man,12887,12895,17,44,2
pdnc,qID,Q32-0,sir,12927,12930,24,44,2
pdnc,qID,Q40-0,sir,13673,13676,24,50,2
pdnc,qID,Q40-1,you,13696,13699,24,50,2
pdnc,qID,Q42-4,You,14623,14626,15,53,2
pdnc,qID,Q52-0,sir,15724,15727,24,64,2
pdnc,qID,Q56-0,sir,17520,17523,7,69,2
pdnc,qID,Q58-0,you,17800,17803,24,71,2
pdnc,qID,Q59-0,you,17870,17873,24,72,2
pdnc,qID,Q59-0,you,17874,17877,24,72,2
pdnc,qID,Q60-0,Teddy,18271,18276,17,73,2
pdnc,qID,Q61-0,You,18299,18302,7,74,2
pdnc,qID,Q63-0,Rum-looking customer,18396,18416,24,76,2
pdnc,qID,Q64-1,He,18734,18736,24,77,2
pdnc,qID,Q64-1,your,18744,18748,7,77,2
pdnc,qID,Q64-1,he,18759,18761,24,77,2
pdnc,qID,Q64-1,Hall,18787,18791,7,77,2
pdnc,qID,Q65-0,You,18796,18799,17,78,2
pdnc,qID,Q66-1,he,18909,18911,24,79,2
pdnc,qID,Q66-1,you,18916,18919,7,79,2
pdnc,qID,Q66-1,him,18937,18940,24,79,2
pdnc,qID,Q66-1,he,18961,18963,24,79,2
pdnc,qID,Q66-1,he,19008,19010,24,79,2
pdnc,qID,Q66-1,Hall,19057,19061,7,79,2
pdnc,qID,Q69-0,You,20274,20277,7,83,2
pdnc,qID,Q69-0,your,20283,20287,7,83,2
pdnc,qID,Q69-0,Hall,20302,20306,7,83,2
pdnc,qID,Q74-0,He,23055,23057,24,91,3
pdnc,qID,Q74-1,en,23105,23107,24,91,3
pdnc,qID,Q75-0,Carrier,23179,23186,6,91,3
pdnc,qID,Q75-1,en,23209,23211,24,91,3
pdnc,qID,Q76-0,He,24677,24679,24,96,3
pdnc,qID,Q76-0,he,24700,24702,24,96,3
pdnc,qID,Q76-1,his,24779,24782,24,96,3
pdnc,qID,Q77-0,He,24798,24800,24,97,3
pdnc,qID,Q79-1,you,25153,25156,6,100,3
pdnc,qID,Q80-0,you,25298,25301,24,101,3
pdnc,qID,Q80-0,sir,25308,25311,24,101,3
pdnc,qID,Q82-0,you,27545,27548,15,107,3
pdnc,qID,Q84-0,you,27707,27710,15,109,3
pdnc,qID,Q84-0,you,27848,27851,15,109,3
pdnc,qID,Q85-0,sir,27867,27870,24,110,3
pdnc,qID,Q85-0,You,27872,27875,24,110,3
pdnc,qID,Q85-0,you,27897,27900,24,110,3
pdnc,qID,Q85-0,you,27915,27918,24,110,3
pdnc,qID,Q87-0,sir,27990,27993,24,112,3
pdnc,qID,Q89-0,sir,28361,28364,24,114,3
pdnc,qID,Q89-0,you,28371,28374,24,114,3
pdnc,qID,Q91-1,you,28551,28554,24,116,3
pdnc,qID,Q92-1,Fool,29226,29230,24,119,3
pdnc,qID,Q92-1,fool,29232,29236,24,119,3
pdnc,qID,Q94-0,you,29926,29929,17,123,3
pdnc,qID,Q96-0,"This chap you re speaking of, what my dog bit",30089,30134,24,125,3
pdnc,qID,Q96-0,he,30141,30143,24,125,3
pdnc,qID,Q96-0,his,30164,30167,24,125,3
pdnc,qID,Q96-0,his,30205,30208,24,125,3
pdnc,qID,Q96-0,his,30234,30237,24,125,3
pdnc,qID,Q96-0,You,30245,30248,17,125,3
pdnc,qID,Q96-0,you,30299,30302,17,125,3
pdnc,qID,Q96-0,you,30351,30354,17,125,3
pdnc,qID,Q96-0,he,30356,30358,24,125,3
pdnc,qID,Q97-1,his,30445,30448,24,126,3
pdnc,qID,Q98-1,That marn,30558,30567,24,127,3
pdnc,qID,Q98-1,Teddy,30581,30586,17,127,3
