source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,the invisible man,The Invisible Man,7,24,24,1,-1,M_0
exp,exp_name,the stranger,The stranger,87,99,24,4,1,M_1
booknlp,COREF,152,his,314,317,24,4,1,M_2
booknlp,COREF,152,He,339,341,24,4,1,M_3
booknlp,COREF,152,his,392,395,24,4,1,M_4
booknlp,COREF,152,his,428,431,24,4,1,M_5
booknlp,COREF,152,his,458,461,24,4,1,M_6
booknlp,COREF,152,his,502,505,24,4,1,M_7
booknlp,COREF,152,he,565,567,24,4,1,M_8
booknlp,COREF,152,He,577,579,24,4,1,M_9
booknlp,COREF,152,his,650,653,24,4,1,M_10
booknlp,COREF,152,he,682,684,24,4,1,M_11
booknlp,COREF,152,He,743,745,24,4,1,M_12
booknlp,COREF,152,himself,782,789,24,4,1,M_13
exp,exp_name,mrs. hall,Mrs. Hall,815,824,15,4,1,M_14
booknlp,COREF,152,his,858,861,24,4,1,M_15
booknlp,COREF,152,he,958,960,24,4,1,M_16
booknlp,COREF,152,his,969,972,24,4,1,M_17
exp,exp_name,mrs. hall,Mrs. Hall,995,1004,15,5,1,M_18
booknlp,COREF,152,him,1027,1030,24,5,1,M_19
booknlp,COREF,152,him,1063,1066,24,5,1,M_20
booknlp,COREF,152,his,1624,1627,24,5,1,M_21
booknlp,COREF,152,his,1656,1659,24,5,1,M_22
booknlp,COREF,152,His,1735,1738,24,5,1,M_23
booknlp,COREF,152,him,1772,1775,24,5,1,M_24
booknlp,COREF,152,he,1781,1783,24,5,1,M_25
booknlp,COREF,152,his,1869,1872,24,5,1,M_26
pdnc,qID,Q1-0,your,1920,1924,24,5,1,M_27
pdnc,qID,Q1-0,sir,1939,1942,24,5,1,M_28
booknlp,COREF,152,he,2005,2007,24,6,1,M_29
booknlp,COREF,152,him,2062,2065,24,7,1,M_30
booknlp,COREF,152,He,2106,2108,24,8,1,M_31
booknlp,COREF,152,his,2116,2119,24,8,1,M_32
booknlp,COREF,152,his,2148,2151,24,8,1,M_33
booknlp,COREF,152,I,2163,2164,24,8,1,M_34
booknlp,COREF,152,he,2190,2192,24,8,1,M_35
booknlp,COREF,152,he,2234,2236,24,8,1,M_36
booknlp,COREF,152,his,2312,2315,24,8,1,M_37
booknlp,COREF,152,his,2348,2351,24,8,1,M_38
pdnc,qID,Q3-0,sir,2382,2385,24,9,1,M_39
pdnc,qID,Q3-1,you,2404,2407,24,9,1,M_40
booknlp,COREF,152,He,2450,2452,24,10,1,M_41
booknlp,COREF,152,his,2484,2487,24,10,1,M_42
exp,exp_name,mrs. hall,Mrs. Hall,2518,2527,15,10,1,M_43
booknlp,COREF,152,he,2687,2689,24,10,1,M_44
exp,exp_name,a man,a man,2721,2726,1,10,1,M_45
booknlp,COREF,152,his,2737,2740,24,10,1,M_46
booknlp,COREF,152,his,2755,2758,24,10,1,M_47
booknlp,COREF,152,his,2777,2780,24,10,1,M_48
booknlp,COREF,152,his,2819,2822,24,10,1,M_49
