paraID,startByte,endByte,chapID
1,0,24,-1
2,26,45,-1
3,48,84,1
4,87,993,1
5,995,1997,1
6,1999,2029,1
7,2031,2104,1
8,2106,2368,1
9,2370,2448,1
10,2450,2973,1
11,2975,3139,1
12,3141,3828,1
13,3830,4369,1
14,4371,4504,1
15,4506,4567,1
16,4569,5448,1
17,5450,5678,1
18,5680,5862,1
19,5864,5944,1
20,5946,6470,1
21,6472,6958,1
22,6960,7092,1
23,7094,7442,1
24,7444,7593,1
25,7595,8323,1
26,8325,8675,1
27,8677,9035,1
28,9037,9176,1
29,9178,9450,1
30,9452,9500,1
31,9502,9586,1
32,9588,9702,1
33,9704,9940,1
34,9942,10025,1
35,10027,10219,1
36,10221,10590,1
37,10592,10844,1
38,10846,11063,1
39,11068,11117,2
40,11120,11426,2
41,11428,11698,2
42,11700,11780,2
43,11782,12863,2
44,12865,12979,2
45,12981,13121,2
46,13123,13318,2
47,13320,13451,2
48,13453,13506,2
49,13508,13659,2
50,13661,13720,2
51,13722,13817,2
52,13819,14263,2
53,14265,14670,2
54,14672,14712,2
55,14714,14839,2
56,14841,14887,2
57,14889,14940,2
58,14942,15000,2
59,15002,15063,2
60,15065,15082,2
61,15084,15281,2
62,15283,15330,2
63,15332,15710,2
64,15712,15786,2
65,15788,15970,2
66,15972,17228,2
67,17230,17314,2
68,17316,17506,2
69,17508,17590,2
70,17592,17766,2
71,17768,17811,2
72,17813,17917,2
73,17919,18296,2
74,18298,18337,2
75,18339,18393,2
76,18395,18477,2
77,18479,18793,2
78,18795,18865,2
79,18867,19063,2
80,19065,19268,2
81,19270,19331,2
82,19333,20271,2
83,20273,20346,2
84,20348,20793,2
85,20798,20839,3
86,20842,21785,3
87,21787,21883,3
88,21885,22210,3
89,22212,22852,3
90,22854,23029,3
91,23031,23213,3
92,23215,23381,3
93,23383,23906,3
94,23908,24456,3
95,24458,24674,3
96,24676,24795,3
97,24797,24893,3
98,24895,24956,3
99,24958,24996,3
100,24998,25291,3
101,25293,25357,3
102,25359,25442,3
103,25444,25490,3
104,25492,26605,3
105,26607,26864,3
106,26866,27535,3
107,27537,27667,3
108,27669,27696,3
109,27698,27853,3
110,27855,27935,3
111,27937,27975,3
112,27977,28033,3
113,28035,28149,3
114,28151,28385,3
115,28387,28448,3
116,28450,28580,3
117,28582,28638,3
118,28640,29035,3
119,29037,29238,3
120,29240,29541,3
121,29543,29719,3
122,29721,29913,3
123,29915,30057,3
124,30059,30086,3
125,30088,30381,3
126,30383,30475,3
127,30477,30821,3
128,30826,30871,4
129,30874,31845,4
130,31847,32728,4
131,32730,33542,4
132,33544,34290,4
133,34292,35103,4
134,35105,35603,4
135,35605,35878,4
136,35880,37106,4
137,37108,37730,4
138,37732,37944,4
139,37946,38638,4
140,38640,38802,4
141,38804,38907,4
142,38909,38932,4
143,38934,38941,4
144,38943,39000,4
145,39002,40573,4
146,40575,40582,4
147,40584,41119,4
148,41121,41128,4
149,41130,41441,4
150,41443,41780,4
151,41782,42180,4
152,42182,42446,4
153,42448,42455,4
154,42457,42524,4
155,42526,42549,4
156,42551,42792,4
157,42794,43107,4
158,43109,43331,4
159,43336,43375,5
160,43378,44305,5
161,44307,44491,5
162,44493,45372,5
163,45374,45771,5
164,45773,46364,5
165,46366,46405,5
166,46407,46460,5
167,46462,46518,5
168,46520,46552,5
169,46554,46587,5
170,46589,46806,5
171,46808,47243,5
172,47245,47459,5
173,47461,47631,5
174,47636,47675,6
175,47678,48200,6
176,48202,48350,6
177,48352,48916,6
178,48918,49243,6
179,49245,49544,6
180,49546,49737,6
181,49739,50013,6
182,50015,50562,6
183,50564,50812,6
184,50814,50865,6
185,50867,51910,6
186,51912,52194,6
187,52196,52318,6
188,52320,52377,6
189,52379,52810,6
190,52812,52877,6
191,52879,53333,6
192,53335,54060,6
193,54062,54457,6
194,54459,54694,6
195,54696,54884,6
196,54886,54973,6
197,54975,55110,6
198,55112,55239,6
199,55244,55286,7
200,55289,55518,7
201,55520,56122,7
202,56124,56583,7
203,56585,57209,7
204,57211,57811,7
205,57813,57998,7
206,58000,58266,7
207,58268,58391,7
208,58393,58464,7
209,58466,58522,7
210,58524,58690,7
211,58692,58731,7
212,58733,58758,7
213,58760,58854,7
214,58856,59030,7
215,59032,59069,7
216,59071,59113,7
217,59115,59157,7
218,59159,59195,7
219,59197,59229,7
220,59231,59328,7
221,59330,59359,7
222,59361,59384,7
223,59386,59432,7
224,59434,59528,7
225,59530,60116,7
226,60118,60274,7
227,60276,60774,7
228,60776,61061,7
229,61063,61638,7
230,61640,62057,7
231,62059,62991,7
232,62993,63461,7
233,63463,63768,7
234,63770,63912,7
235,63914,64045,7
236,64047,64234,7
237,64236,64260,7
238,64262,64361,7
239,64363,64483,7
240,64485,64528,7
241,64530,65249,7
242,65251,65298,7
243,65300,65785,7
244,65787,66049,7
245,66051,66294,7
246,66296,66437,7
247,66439,66675,7
248,66677,66844,7
249,66846,67288,7
250,67290,67398,7
251,67400,67585,7
252,67587,67684,7
253,67686,67932,7
254,67934,67941,7
255,67943,67979,7
256,67981,68026,7
257,68028,68075,7
258,68077,68147,7
259,68149,68188,7
260,68190,68230,7
261,68232,68258,7
262,68260,68461,7
263,68463,68714,7
264,68716,68846,7
265,68848,69352,7
266,69354,70210,7
267,70212,70355,7
268,70357,70706,7
269,70708,71306,7
270,71308,71401,7
271,71406,71430,8
272,71433,72359,8
273,72364,72393,9
274,72396,72836,9
275,72838,73848,9
276,73850,73890,9
277,73892,74082,9
278,74084,74106,9
279,74108,74679,9
280,74681,74748,9
281,74750,74822,9
282,74824,75263,9
283,75265,75352,9
284,75354,75387,9
285,75389,75513,9
286,75515,75554,9
287,75556,75677,9
288,75679,75741,9
289,75743,75838,9
290,75840,75877,9
291,75879,76285,9
292,76287,76355,9
293,76357,76584,9
294,76586,76606,9
295,76608,76842,9
296,76844,76998,9
297,77000,77060,9
298,77062,77087,9
299,77089,77162,9
300,77164,77263,9
301,77265,77316,9
302,77318,77397,9
303,77399,77516,9
304,77518,77540,9
305,77542,78075,9
306,78077,78189,9
307,78191,78390,9
308,78392,78625,9
309,78627,78648,9
310,78650,78709,9
311,78711,78839,9
312,78841,78925,9
313,78927,79062,9
314,79064,79147,9
315,79149,79191,9
316,79193,79227,9
317,79229,79342,9
318,79344,79392,9
319,79394,79472,9
320,79474,79614,9
321,79616,79634,9
322,79636,79648,9
323,79650,79821,9
324,79823,80030,9
325,80032,80206,9
326,80208,80338,9
327,80340,80409,9
328,80411,80460,9
329,80462,80521,9
330,80523,80645,9
331,80647,80684,9
332,80686,80752,9
333,80754,80940,9
334,80942,80968,9
335,80970,81011,9
336,81013,81050,9
337,81052,81180,9
338,81182,81316,9
339,81318,81462,9
340,81464,81809,9
341,81811,81902,9
342,81904,81960,9
343,81962,82262,9
344,82264,82699,9
345,82704,82742,10
346,82745,83890,10
347,83892,85193,10
348,85195,85853,10
349,85855,86491,10
350,86493,87149,10
351,87151,87301,10
352,87303,88478,10
353,88483,88520,11
354,88523,88689,11
355,88691,89285,11
356,89287,89435,11
357,89437,89592,11
358,89594,89641,11
359,89643,89745,11
360,89747,89825,11
361,89827,90018,11
362,90020,90233,11
363,90235,90259,11
364,90261,90426,11
365,90428,90674,11
366,90676,90701,11
367,90703,90868,11
368,90870,90904,11
369,90906,91009,11
370,91011,91239,11
371,91241,91411,11
372,91413,91523,11
373,91525,91615,11
374,91617,91646,11
375,91648,91896,11
376,91898,92011,11
377,92013,92170,11
378,92172,92343,11
379,92345,92939,11
380,92941,93018,11
381,93020,93189,11
382,93191,93302,11
383,93304,93337,11
384,93339,93720,11
385,93722,93982,11
386,93984,94073,11
387,94075,94595,11
388,94600,94647,12
389,94650,95039,12
390,95041,95139,12
391,95141,95170,12
392,95172,95195,12
393,95197,95329,12
394,95331,95592,12
395,95594,95636,12
