source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,the stranger,The stranger,3442,3454,29,8,1,M_0
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,5818,5836,13,9,1,M_1
booknlp,COREF,92,He,5955,5957,13,9,1,M_2
exp,exp_name,gabriel syme,Gabriel Syme,7963,7975,9,11,1,M_3
exp,exp_name,gregory,Gregory,8187,8194,13,11,1,M_4
exp,exp_name,syme,Syme,8246,8250,9,11,1,M_5
exp,exp_name,mr. lucian gregory,Mr. Lucian Gregory,8443,8461,13,12,1,M_6
booknlp,COREF,92,he,8527,8529,13,13,1,M_7
booknlp,COREF,92,his,8539,8542,13,13,1,M_8
pdnc,qID,Q0-1,You,8707,8710,9,13,1,M_9
pdnc,qID,Q0-1,you,8715,8718,9,13,1,M_10
booknlp,COREF,92,I,8738,8739,13,13,1,M_11
pdnc,qID,Q0-1,you,8744,8747,9,13,1,M_12
booknlp,COREF,92,I,8778,8779,13,13,1,M_13
pdnc,qID,Q0-1,you,8843,8846,9,13,1,M_14
exp,exp_name,gregory,Gregory,9024,9031,13,14,1,M_15
exp,exp_name,rosamond,Rosamond,9041,9049,17,14,1,M_16
exp,exp_name,gregory,Gregory,9230,9237,13,15,1,M_17
pdnc,qID,Q1-1,You,9334,9337,9,16,1,M_18
exp,exp_name,mr. syme,Mr. Syme,9849,9857,9,17,1,M_19
exp,exp_name,gregory,Gregory,9877,9884,13,18,1,M_20
pdnc,qID,Q3-1,you,10059,10062,9,18,1,M_21
pdnc,qID,Q4-0,you,10490,10493,13,19,1,M_22
exp,exp_name,syme,Syme,10532,10536,9,19,1,M_23
pdnc,qID,Q4-1,you,10547,10550,13,19,1,M_24
pdnc,qID,Q4-1,your,10605,10609,13,19,1,M_25
pdnc,qID,Q4-1,your,11068,11072,13,19,1,M_26
booknlp,COREF,93,me,11109,11111,9,19,1,M_27
pdnc,qID,Q4-1,your,11157,11161,13,19,1,M_28
