paraID,startByte,endByte,chapID
1,0,36,-1
2,39,65,-1
3,67,1110,-1
4,1112,1943,-1
5,1945,2697,-1
6,2699,2707,-1
7,2712,2752,1
8,2755,4688,1
9,4690,6680,1
10,6682,7541,1
11,7543,8432,1
12,8434,8507,1
13,8509,8872,1
14,8874,9228,1
15,9230,9277,1
16,9279,9830,1
17,9832,9858,1
18,9860,10481,1
19,10483,11281,1
20,11283,11329,1
21,11331,11919,1
22,11921,11982,1
23,11984,12298,1
24,12300,12669,1
25,12671,12756,1
26,12758,13065,1
27,13067,13132,1
28,13134,13217,1
29,13219,13281,1
30,13283,13355,1
31,13357,13411,1
32,13413,13534,1
33,13536,13658,1
34,13660,13754,1
35,13756,13787,1
36,13789,13862,1
37,13864,13911,1
38,13913,14004,1
39,14006,14132,1
40,14134,14146,1
41,14148,14167,1
42,14169,14221,1
43,14223,14685,1
44,14687,14938,1
45,14940,14985,1
46,14987,15074,1
47,15076,15128,1
48,15130,15183,1
49,15185,15283,1
50,15285,15345,1
51,15347,15494,1
52,15496,16145,1
53,16147,16979,1
54,16981,17701,1
55,17703,17781,1
56,17783,17861,1
57,17863,17924,1
58,17926,17999,1
59,18001,18234,1
60,18236,18536,1
61,18538,18671,1
62,18673,18851,1
63,18853,19026,1
64,19028,19037,1
65,19039,19221,1
66,19223,19268,1
67,19270,19661,1
68,19663,19680,1
69,19682,19736,1
70,19738,19974,1
71,19976,20021,1
72,20023,20209,1
73,20211,20269,1
74,20271,20678,1
75,20680,20796,1
76,20798,20884,1
77,20886,20965,1
78,20967,21032,1
79,21034,21452,1
80,21454,21522,1
81,21524,21605,1
82,21607,21996,1
83,21998,22074,1
84,22076,22376,1
85,22381,22419,2
86,22422,22816,2
87,22818,22948,2
88,22950,23087,2
89,23089,23128,2
90,23130,23236,2
91,23238,23483,2
92,23485,23544,2
93,23546,23816,2
94,23818,24035,2
95,24037,24450,2
96,24452,24513,2
97,24515,24616,2
98,24618,24678,2
99,24680,24737,2
100,24739,24767,2
101,24769,24932,2
102,24934,25080,2
103,25082,25151,2
104,25153,25543,2
105,25545,25606,2
106,25608,25678,2
107,25680,26234,2
108,26236,26724,2
109,26726,26960,2
110,26962,27063,2
111,27065,27354,2
112,27356,27932,2
113,27934,28659,2
114,28661,29084,2
115,29086,29620,2
116,29622,29752,2
117,29754,29804,2
118,29806,30485,2
119,30487,30502,2
120,30504,30700,2
121,30702,30777,2
122,30779,32141,2
123,32143,32174,2
124,32176,32539,2
125,32541,32600,2
126,32602,33455,2
127,33457,33521,2
128,33523,33579,2
129,33581,33609,2
130,33611,33665,2
131,33667,34371,2
132,34373,34458,2
133,34460,34995,2
134,34997,35072,2
135,35074,35149,2
136,35151,35283,2
137,35285,35572,2
138,35574,35929,2
139,35931,36047,2
140,36049,36268,2
141,36270,36330,2
142,36332,36633,2
143,36635,36673,2
144,36675,36910,2
145,36912,36978,2
146,36980,37054,2
147,37056,37128,2
148,37130,37330,2
149,37332,37555,2
150,37557,37803,2
151,37805,37863,2
152,37865,37913,2
153,37915,38006,2
154,38008,38230,2
155,38235,38272,3
156,38275,38578,3
157,38580,38767,3
158,38769,38851,3
159,38853,39586,3
160,39588,39674,3
161,39676,39838,3
162,39840,39938,3
163,39940,40197,3
164,40199,40262,3
165,40264,40366,3
166,40368,40486,3
167,40488,40597,3
168,40599,40648,3
169,40650,40751,3
170,40753,40772,3
171,40774,40924,3
172,40926,41157,3
173,41159,41275,3
174,41277,41371,3
175,41373,42166,3
176,42168,42269,3
177,42271,42404,3
178,42406,42512,3
179,42514,43873,3
180,43875,44090,3
181,44092,44174,3
182,44176,44217,3
183,44219,44278,3
184,44280,44391,3
185,44393,45276,3
186,45278,46979,3
187,46981,47196,3
188,47198,47213,3
189,47215,47810,3
190,47812,47872,3
191,47874,48062,3
192,48064,48102,3
193,48104,48301,3
194,48303,48348,3
195,48350,48785,3
196,48787,48961,3
197,48963,49016,3
198,49018,49360,3
199,49362,49392,3
200,49394,49686,3
201,49688,50505,3
202,50507,50956,3
203,50958,51151,3
204,51153,51178,3
205,51180,51278,3
206,51280,52331,3
207,52333,52848,3
208,52850,52944,3
209,52946,53087,3
210,53089,53554,3
211,53556,53700,3
212,53702,53772,3
213,53774,53868,3
214,53870,53932,3
215,53934,54284,3
216,54286,54324,3
217,54326,54560,3
218,54562,54699,3
219,54701,54748,3
220,54750,54853,3
221,54855,54891,3
222,54893,54954,3
223,54956,55002,3
224,55004,55035,3
225,55037,55600,3
226,55602,55629,3
227,55631,55699,3
228,55701,55811,3
229,55813,56142,3
230,56144,56241,3
231,56243,56461,3
232,56463,56557,3
233,56559,56781,3
234,56783,57246,3
235,57248,57288,3
236,57290,57340,3
237,57342,57436,3
238,57438,57896,3
239,57898,57990,3
240,57992,58410,3
241,58412,58494,3
242,58496,58789,3
243,58791,58863,3
244,58865,58985,3
245,58990,59025,4
246,59028,60198,4
247,60200,61082,4
248,61084,61668,4
249,61670,62053,4
250,62055,62737,4
251,62739,62889,4
252,62891,63340,4
253,63342,63424,4
254,63426,63451,4
255,63453,63583,4
256,63585,63664,4
257,63666,63842,4
258,63844,63891,4
259,63893,63928,4
260,63930,64062,4
261,64064,64129,4
262,64131,64171,4
263,64173,64226,4
264,64228,64294,4
265,64296,64645,4
266,64647,64881,4
267,64883,65201,4
268,65203,65234,4
269,65236,66080,4
270,66082,66135,4
271,66137,66169,4
272,66171,66897,4
273,66899,67019,4
274,67021,68516,4
275,68518,68549,4
276,68551,69469,4
277,69471,69933,4
278,69935,70316,4
279,70318,71363,4
280,71365,71381,4
281,71383,72185,4
282,72187,72470,4
283,72472,72529,4
284,72531,72833,4
285,72835,72877,4
286,72879,73026,4
287,73028,73491,4
288,73493,73540,4
289,73542,73742,4
290,73744,73865,4
291,73867,73951,4
292,73953,73993,4
293,73995,74070,4
294,74072,74096,4
295,74098,74150,4
296,74152,74253,4
