qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"It may well be,","[8510, 8525]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he said,[],[],[],X,0,major,TheManWhoWasThursday,13,13,1,1,13,8510,8525
Q0-1,it may well be on such a night of clouds and cruel colours that there is brought forth upon the earth such a portent as a respectable poet. You say you are a poet of law; I say you are a contradiction in terms. I only wonder there were not comets and earthquakes on the night you appeared in this garden.,"[8567, 8871]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he said,"['You', 'you', 'you', 'you']","[[8707, 8710], [8715, 8718], [8744, 8747], [8843, 8846]]","[['Gabriel Syme'], ['Gabriel Syme'], ['Gabriel Syme'], ['Gabriel Syme']]",X,0,major,TheManWhoWasThursday,13,13,1,1,13,8567,8871
Q1-0,"An artist is identical with an anarchist,","[9280, 9321]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he cried,[],[],[],X,1,major,TheManWhoWasThursday,16,16,1,1,13,9280,9321
Q1-1,"You might transpose the words anywhere. An anarchist is an artist. The man who throws a bomb is an artist, because he prefers a great moment to everything. He sees how much more valuable is one burst of blazing light, one peal of perfect thunder, than the mere common bodies of a few shapeless policemen. An artist disregards all governments, abolishes all conventions. The poet delights in disorder only. If it were not so, the most poetical thing in the world would be the Underground Railway.","[9334, 9829]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he cried,['You'],"[[9334, 9337]]",[['Gabriel Syme']],X,1,major,TheManWhoWasThursday,16,16,1,1,13,9334,9829
Q2-0,"So it is,","[9833, 9842]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,said Mr Syme,[],[],[],X,2,major,TheManWhoWasThursday,17,17,1,1,9,9833,9842
Q3-0,Nonsense!,"[9861, 9870]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Explicit,said Gregory,[],[],[],X,3,major,TheManWhoWasThursday,18,18,1,1,13,9861,9870
Q3-1,"Why do all the clerks and navvies in the railway trains look so sad and tired, so very sad and tired? I will tell you. It is because they know that the train is going right. It is because they know that whatever place they have taken a ticket for that place they will reach. It is because after they have passed Sloane Square they know that the next station must be Victoria, and nothing but Victoria. Oh, their wild rapture! oh, their eyes like stars and their souls again in Eden, if the next station were unaccountably Baker Street!","[9945, 10480]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Explicit,said Gregory,['you'],"[[10059, 10062]]",[['Gabriel Syme']],X,3,major,TheManWhoWasThursday,18,18,1,1,13,9945,10480
Q4-0,"It is you who are unpoetical,","[10484, 10513]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,replied the poet Syme,['you'],"[[10490, 10493]]",[['Mr. Lucian Gregory']],X,4,major,TheManWhoWasThursday,19,19,1,1,9,10484,10513
Q4-1,"If what you say of clerks is true, they can only be as prosaic as your poetry. The rare, strange thing is to hit the mark; the gross, obvious thing is to miss it. We feel it is epical when man with one wild arrow strikes a distant bird. Is it not also epical when man with one wild engine strikes a distant station? Chaos is dull; because in chaos the train might indeed go anywhere, to Baker Street or to Bagdad. But man is a magician, and his whole magic is in this, that he does say Victoria, and lo! it is Victoria. No, take your books of mere poetry and prose; let me read a time table, with tears of pride. Take your Byron, who commemorates the defeats of man; give me Bradshaw, who commemorates his victories. Give me Bradshaw, I say!","[10539, 11280]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,replied the poet Syme,"['you', 'your', 'your', 'your']","[[10547, 10550], [10605, 10609], [11068, 11072], [11157, 11161]]","[['Mr. Lucian Gregory'], ['Mr. Lucian Gregory'], ['Gregory'], ['Gregory']]",X,4,major,TheManWhoWasThursday,19,19,1,1,9,10539,11280
Q5-0,Must you go?,"[11284, 11296]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Explicit,inquired Gregory,['you'],"[[11289, 11292]]",[['Gabriel Syme']],X,5,major,TheManWhoWasThursday,20,20,1,1,13,11284,11296
Q6-0,"I tell you,","[11332, 11343]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,went on Syme,['you'],"[[11339, 11342]]",[['Mr. Lucian Gregory']],X,6,major,TheManWhoWasThursday,21,21,1,1,9,11332,11343
Q6-1,"that every time a train comes in I feel that it has broken past batteries of besiegers, and that man has won a battle against chaos. You say contemptuously that when one has left Sloane Square one must come to Victoria. I say that one might do a thousand things instead, and that whenever I really come there I have the sense of hairbreadth escape. And when I hear the guard shout out the word  Victoria,' it is not an unmeaning word. It is to me the cry of a herald announcing conquest. It is to me indeed  Victoria'; it is the victory of Adam.","[11373, 11918]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,went on Syme,['You'],"[[11506, 11509]]",[['Mr. Lucian Gregory']],X,6,major,TheManWhoWasThursday,21,21,1,1,9,11373,11918
Q7-0,"And even then,","[11985, 11999]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he said,[],[],[],X,7,major,TheManWhoWasThursday,23,23,1,1,13,11985,11999
Q7-1,"we poets always ask the question,  And what is Victoria now that you have got there?' You think Victoria is like the New Jerusalem. We know that the New Jerusalem will only be like Victoria. Yes, the poet will be discontented even in the streets of heaven. The poet is always in revolt.","[12011, 12297]",Mr. Lucian Gregory,"['Rosamond', 'Gabriel Syme']",Anaphoric,he said,"['we', 'you', 'You', 'We']","[[12011, 12013], [12076, 12079], [12097, 12100], [12143, 12145]]","[['Mr. Lucian Gregory'], ['Gabriel Syme'], ['Gabriel Syme'], ['Gregory']]",X,7,major,TheManWhoWasThursday,23,23,1,1,13,12011,12297
Q8-0,"There again,","[12301, 12313]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,said Syme,[],[],[],X,8,major,TheManWhoWasThursday,24,24,1,1,9,12301,12313
Q8-1,what is there poetical about being in revolt? You might as well say that it is poetical to be sea-sick. Being sick is a revolt. Both being sick and being rebellious may be the wholesome thing on certain desperate occasions; but I'm hanged if I can see why they are poetical. Revolt in the abstract is revolting. It's mere vomiting.,"[12337, 12668]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Explicit,said Syme,['You'],"[[12383, 12386]]",[['Mr. Lucian Gregory']],X,8,major,TheManWhoWasThursday,24,24,1,1,9,12337,12668
Q9-0,"It is things going right,","[12759, 12784]",Gabriel Syme,"['Rosamond', 'Mr. Lucian Gregory']",Anaphoric,he cried,[],[],[],X,9,major,TheManWhoWasThursday,26,26,1,1,9,12759,12784
