source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,The mater,1217,1226,21,8,1
pdnc,qID,Q0-0,you,1252,1255,16,8,1
pdnc,qID,Q1-0,Your mother,1300,1311,21,9,1
pdnc,qID,Q2-0,you,1355,1358,16,10,1
pdnc,qID,Q2-0,she,1369,1372,21,10,1
pdnc,qID,Q3-0,Rotten little bounder,3292,3313,10,16,1
pdnc,qID,Q3-1,you,3350,3353,16,16,1
pdnc,qID,Q3-1,Hastings,3355,3363,16,16,1
pdnc,qID,Q3-1,Evie,3413,3417,7,16,1
pdnc,qID,Q3-1,you,3420,3423,16,16,1
pdnc,qID,Q3-1,Evie,3433,3437,7,16,1
pdnc,qID,Q5-0,she,3463,3466,7,18,1
pdnc,qID,Q5-0,your,3477,3481,16,18,1
pdnc,qID,Q5-0,She,3488,3491,7,18,1
pdnc,qID,Q5-0,"the mater's factotum, companion, Jack of all trades",3494,3545,7,18,1
pdnc,qID,Q5-0,A great sport,3547,3560,7,18,1
pdnc,qID,Q5-0,old Evie,3563,3571,7,18,1
pdnc,qID,Q6-0,You,3642,3645,12,19,1
pdnc,qID,Q7-0,this fellow,3678,3689,10,20,1
pdnc,qID,Q7-0,He,3691,3693,10,20,1
pdnc,qID,Q7-0,a second cousin or something of Evie's,3742,3780,10,20,1
pdnc,qID,Q7-0,she,3789,3792,7,20,1
pdnc,qID,Q7-0,The fellow,3856,3866,10,20,1
pdnc,qID,Q7-0,He,3913,3915,10,20,1
pdnc,qID,Q7-0,the mater,3995,4004,21,20,1
pdnc,qID,Q7-0,him,4017,4020,10,20,1
pdnc,qID,Q7-0,him,4035,4038,10,20,1
pdnc,qID,Q7-0,you,4057,4060,16,20,1
pdnc,qID,Q7-0,she,4070,4073,21,20,1
pdnc,qID,Q8-0,the fellow,4199,4209,10,22,1
pdnc,qID,Q8-0,her,4229,4232,21,22,1
pdnc,qID,Q8-0,you,4238,4241,16,22,1
pdnc,qID,Q8-0,she,4312,4315,21,22,1
pdnc,qID,Q8-0,she,4340,4343,21,22,1
pdnc,qID,Q8-0,Alfred,4348,4354,10,22,1
pdnc,qID,Q8-0,The fellow,4369,4379,10,22,1
pdnc,qID,Q8-0,she,4423,4426,21,22,1
pdnc,qID,Q8-0,you,4481,4484,16,22,1
pdnc,qID,Q8-0,she,4491,4494,21,22,1
pdnc,qID,Q8-0,her,4498,4501,21,22,1
pdnc,qID,Q8-0,she,4520,4523,21,22,1
pdnc,qID,Q8-0,him,4534,4537,10,22,1
pdnc,qID,Q11-0,you,4945,4948,16,26,1
pdnc,qID,Q11-1,the mater,4985,4994,21,26,1
pdnc,qID,Q12-0,you,5509,5512,16,28,1
pdnc,qID,Q12-0,Hastings,5546,5554,16,28,1
pdnc,qID,Q13-0,My dear fellow,5559,5573,12,29,1
pdnc,qID,Q14-0,you,5631,5634,16,30,1
pdnc,qID,Q14-0,My wife,5735,5742,14,30,1
pdnc,qID,Q14-0,She,5776,5779,14,30,1
pdnc,qID,Q14-0,that fellow Alfred Inglethorp,5922,5951,10,30,1
pdnc,qID,Q15-0,Cynthia,6044,6051,15,30,1
pdnc,qID,Q15-0,she,6057,6060,15,30,1
pdnc,qID,Q16-0,Cynthia,6106,6113,15,31,1
pdnc,qID,Q17-0,Cynthia,6144,6151,15,32,1
pdnc,qID,Q17-0,"a prot  g  e of my mother's, the daughter of an old schoolfellow of hers",6155,6227,15,32,1
pdnc,qID,Q17-0,the girl,6286,6294,15,32,1
pdnc,qID,Q17-0,My mother,6329,6338,21,32,1
pdnc,qID,Q17-0,Cynthia,6363,6370,15,32,1
pdnc,qID,Q17-0,She,6410,6413,15,32,1
pdnc,qID,Q18-0,Evie,6665,6669,7,34,1
pdnc,qID,Q18-0,our wounded hero,6678,6694,16,34,1
pdnc,qID,Q18-0,Mr. Hastings,6696,6708,16,34,1
pdnc,qID,Q18-0,Miss Howard,6711,6722,7,34,1
pdnc,qID,Q19-0,you,7189,7192,16,36,1
