paraID,startByte,endByte,chapID
1,0,31,-1
2,33,51,-1
3,53,78,1
4,81,467,1
5,469,569,1
6,571,1105,1
7,1107,1214,1
8,1216,1297,1
9,1299,1333,1
10,1335,1392,1
11,1394,1900,1
12,1902,2412,1
13,2414,2644,1
14,2646,3196,1
15,3198,3289,1
16,3291,3439,1
17,3441,3446,1
18,3448,3639,1
19,3641,3671,1
20,3673,4112,1
21,4114,4123,1
22,4125,4539,1
23,4541,4588,1
24,4590,4617,1
25,4619,4907,1
26,4909,5009,1
27,5011,5495,1
28,5497,5556,1
29,5558,5600,1
30,5602,6103,1
31,6105,6137,1
32,6139,6479,1
33,6481,6655,1
34,6657,6724,1
35,6726,7119,1
36,7121,7216,1
37,7218,7294,1
38,7296,7346,1
39,7348,7430,1
40,7432,7483,1
41,7485,7614,1
42,7616,7709,1
43,7711,7803,1
44,7805,7882,1
45,7884,7915,1
46,7917,8433,1
47,8435,9022,1
48,9024,9115,1
49,9117,9426,1
50,9428,9508,1
51,9510,9593,1
52,9595,9816,1
53,9818,9859,1
54,9861,9993,1
55,9995,10443,1
56,10445,10563,1
57,10565,10716,1
58,10718,11467,1
59,11469,11614,1
60,11616,11670,1
61,11672,11710,1
62,11712,11757,1
63,11759,11810,1
64,11812,11841,1
65,11843,11934,1
66,11936,11957,1
67,11959,12067,1
68,12069,12090,1
69,12092,12103,1
70,12105,12115,1
71,12117,12178,1
72,12180,12233,1
73,12235,12660,1
74,12662,12849,1
75,12851,12917,1
76,12919,13040,1
77,13042,13180,1
78,13182,13329,1
79,13331,13368,1
80,13370,13438,1
81,13440,13713,1
82,13715,13862,1
83,13864,13923,1
84,13925,13998,1
85,14000,14304,1
86,14306,14418,1
87,14420,14478,1
88,14480,14506,1
89,14508,14558,1
90,14560,14571,1
91,14573,14587,1
92,14589,14633,1
93,14635,14691,1
94,14693,14781,1
95,14783,14936,1
96,14938,14988,1
97,14990,15009,1
98,15011,15036,1
99,15038,15123,1
100,15125,15149,1
101,15151,15345,1
102,15347,15371,1
103,15373,15762,1
104,15764,15985,1
105,15987,16713,1
106,16715,16802,1
107,16804,16909,1
108,16911,17010,1
109,17012,17193,1
110,17195,17386,1
111,17388,17491,1
112,17493,17505,1
113,17507,17528,1
114,17530,17600,1
115,17602,17758,1
116,17760,17812,1
117,17814,17875,1
118,17877,17903,1
119,17905,18674,1
120,18676,18695,1
121,18697,18746,1
122,18748,18936,1
123,18938,18952,1
124,18954,18968,1
125,18970,19200,1
126,19202,19281,1
127,19283,19330,1
128,19332,19418,1
129,19420,19707,1
130,19709,19815,1
131,19817,19869,1
132,19871,20011,1
