chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
1,12,2130,2140,13,2143,93,28841
2,94,28846,28857,95,28860,230,59091
3,231,59096,59108,232,59111,330,83810
4,331,83815,83826,332,83829,438,113943
5,439,113948,113958,440,113961,538,137439
6,539,137441,137452,540,137455,597,152866
7,598,152871,152883,599,152886,657,176858
8,658,176863,176876,659,176879,736,205274
9,737,205279,205290,738,205293,802,225829
10,803,225834,225844,804,225847,852,243374
11,853,243379,243390,854,243393,889,285234
12,890,285236,285247,891,285250,928,299747
13,929,299752,299765,930,299768,985,313168
14,986,313173,313185,987,313188,1080,337644
15,1081,337649,337660,1082,337663,1163,355058
16,1164,355063,355075,1165,355078,1236,371838
17,1237,371843,371856,1238,371859,1352,381998
18,1353,382003,382017,1354,382020,1447,399769
19,1448,399774,399786,1449,399789,1502,418829
20,1503,418834,418845,1504,418848,1523,429003
