source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,your,4129,4133,2,17,1
pdnc,qID,Q0-0,Basil,4145,4150,2,17,1
pdnc,qID,Q0-0,you,4167,4170,2,17,1
pdnc,qID,Q0-1,You,4216,4219,2,17,1
pdnc,qID,Q2-0,My dear fellow,4955,4969,2,19,1
pdnc,qID,Q2-0,you,4981,4984,2,19,1
pdnc,qID,Q2-0,you,5012,5015,2,19,1
pdnc,qID,Q2-0,You,5030,5033,2,19,1
pdnc,qID,Q2-0,you,5092,5095,2,19,1
pdnc,qID,Q2-0,you,5106,5109,2,19,1
pdnc,qID,Q2-0,you,5156,5159,2,19,1
pdnc,qID,Q2-0,you,5300,5303,2,19,1
pdnc,qID,Q3-0,you,5434,5437,19,20,1
pdnc,qID,Q4-0,you,5615,5618,19,22,1
pdnc,qID,Q5-0,Basil,5707,5712,2,23,1
pdnc,qID,Q5-0,you,5728,5731,2,23,1
pdnc,qID,Q5-0,you,5793,5796,2,23,1
pdnc,qID,Q5-0,your,5803,5807,2,23,1
pdnc,qID,Q5-0,your,5831,5835,2,23,1
pdnc,qID,Q5-0,this young Adonis,5857,5874,4,23,1
pdnc,qID,Q5-0,he,5892,5894,4,23,1
pdnc,qID,Q5-0,my dear Basil,5939,5952,2,23,1
pdnc,qID,Q5-0,he,5954,5956,4,23,1
pdnc,qID,Q5-0,you,5977,5980,2,23,1
pdnc,qID,Q5-0,you,5997,6000,2,23,1
pdnc,qID,Q5-0,you,6677,6680,2,23,1
pdnc,qID,Q5-0,He,6782,6784,4,23,1
pdnc,qID,Q5-0,Basil,6994,6999,2,23,1
pdnc,qID,Q5-0,you,7001,7004,2,23,1
pdnc,qID,Q5-0,him,7031,7034,4,23,1
pdnc,qID,Q6-0,You,7039,7042,19,24,1
pdnc,qID,Q6-0,Harry,7064,7069,19,24,1
pdnc,qID,Q6-1,him,7118,7121,4,24,1
pdnc,qID,Q6-1,him,7190,7193,4,24,1
pdnc,qID,Q6-1,You,7195,7198,19,24,1
pdnc,qID,Q6-1,your,7205,7209,19,24,1
pdnc,qID,Q6-1,you,7234,7237,19,24,1
pdnc,qID,Q6-1,They,7515,7519,19,24,1
pdnc,qID,Q6-1,their,7531,7536,19,24,1
pdnc,qID,Q6-1,They,7647,7651,13,24,1
pdnc,qID,Q6-1,Your,7802,7806,19,24,1
pdnc,qID,Q6-1,Harry,7824,7829,19,24,1
pdnc,qID,Q6-1,Dorian Gray,7893,7904,4,24,1
pdnc,qID,Q7-0,Dorian Gray,7991,8002,4,25,1
pdnc,qID,Q7-0,his,8012,8015,4,25,1
pdnc,qID,Q8-0,his,8106,8109,4,26,1
pdnc,qID,Q8-0,you,8146,8149,19,26,1
pdnc,qID,Q10-0,you,8688,8691,19,28,1
pdnc,qID,Q11-1,my dear Basil,8777,8790,2,29,1
pdnc,qID,Q11-1,You,8792,8795,2,29,1
pdnc,qID,Q11-1,my wife,8955,8962,15,29,1
pdnc,qID,Q11-1,my wife,8971,8978,15,29,1
pdnc,qID,Q11-1,we,9013,9015,19,29,1
pdnc,qID,Q11-1,we,9021,9023,19,29,1
pdnc,qID,Q11-1,we,9051,9053,19,29,1
pdnc,qID,Q11-1,we,9098,9100,19,29,1
pdnc,qID,Q11-1,My wife,9170,9177,15,29,1
pdnc,qID,Q11-1,She,9230,9233,15,29,1
pdnc,qID,Q11-1,her,9259,9262,15,29,1
pdnc,qID,Q11-1,she,9296,9299,15,29,1
pdnc,qID,Q11-1,she,9318,9321,15,29,1
pdnc,qID,Q11-1,she,9360,9363,15,29,1
pdnc,qID,Q11-1,she,9375,9378,15,29,1
pdnc,qID,Q12-0,you,9418,9421,19,30,1
pdnc,qID,Q12-0,your,9433,9437,19,30,1
pdnc,qID,Q12-0,Harry,9452,9457,19,30,1
pdnc,qID,Q12-1,you,9550,9553,19,30,1
pdnc,qID,Q12-1,you,9595,9598,19,30,1
pdnc,qID,Q12-1,your,9625,9629,19,30,1
pdnc,qID,Q12-1,You,9643,9646,19,30,1
pdnc,qID,Q12-1,You,9676,9679,19,30,1
pdnc,qID,Q12-1,you,9709,9712,19,30,1
pdnc,qID,Q12-1,Your,9737,9741,19,30,1
pdnc,qID,Q14-0,Basil,10190,10195,2,32,1
pdnc,qID,Q14-1,your,10241,10245,2,32,1
pdnc,qID,Q14-1,you,10276,10279,2,32,1
pdnc,qID,Q16-0,You,10371,10374,2,34,1
pdnc,qID,Q17-0,Harry,10405,10410,19,35,1
pdnc,qID,Q18-0,you,10433,10436,2,36,1
pdnc,qID,Q18-0,you,10456,10459,2,36,1
pdnc,qID,Q18-0,you,10481,10484,2,36,1
pdnc,qID,Q18-0,Dorian Gray,10499,10510,4,36,1
pdnc,qID,Q19-0,you,10556,10559,19,37,1
pdnc,qID,Q20-0,you,10584,10587,2,38,1
pdnc,qID,Q20-0,You,10597,10600,2,38,1
pdnc,qID,Q21-0,Harry,10685,10690,19,39,1
pdnc,qID,Q23-0,you,11186,11189,19,41,1
pdnc,qID,Q24-0,Basil,11283,11288,2,42,1
pdnc,qID,Q25-0,Harry,11376,11381,19,43,1
pdnc,qID,Q25-1,you,11423,11426,19,43,1
pdnc,qID,Q25-1,you,11462,11465,19,43,1
pdnc,qID,Q27-1,you,12450,12453,19,46,1
pdnc,qID,Q27-1,Dorian Gray,12751,12762,4,46,1
pdnc,qID,Q27-1,You,13120,13123,19,46,1
pdnc,qID,Q27-1,Harry,13139,13144,19,46,1
pdnc,qID,Q27-1,Dorian Gray,13252,13263,4,46,1
pdnc,qID,Q27-1,you,13308,13311,19,46,1
pdnc,qID,Q28-0,Basil,13708,13713,2,47,1
pdnc,qID,Q29-0,Harry,13795,13800,19,48,1
pdnc,qID,Q29-0,you,13822,13825,19,48,1
pdnc,qID,Q30-0,You,14084,14087,19,48,1
pdnc,qID,Q32-0,her dearest friend,14421,14439,2,50,1
pdnc,qID,Q32-0,the young man whose personality had so strangely stirred me,14745,14804,4,50,1
pdnc,qID,Q32-0,him,14931,14934,4,50,1
pdnc,qID,Q32-0,Dorian,15085,15091,4,50,1
pdnc,qID,Q32-0,He,15115,15117,4,50,1
pdnc,qID,Q33-0,this wonderful young man,15208,15232,4,51,1
pdnc,qID,Q34-0,You,15836,15839,19,52,1
pdnc,qID,Q34-0,Harry,15857,15862,19,52,1
pdnc,qID,Q35-0,My dear fellow,15893,15907,2,53,1
pdnc,qID,Q35-0,Mr. Dorian Gray,16043,16058,4,53,1
pdnc,qID,Q39-0,You,16500,16503,19,56,1
pdnc,qID,Q39-0,Harry,16541,16546,19,56,1
pdnc,qID,Q39-1,You,16598,16601,19,56,1
pdnc,qID,Q39-1,you,16634,16637,19,56,1
pdnc,qID,Q40-0,you,16694,16697,2,57,1
pdnc,qID,Q40-1,you,16912,16915,2,57,1
pdnc,qID,Q40-1,their,16983,16988,2,57,1
pdnc,qID,Q41-0,Harry,17343,17348,19,58,1
pdnc,qID,Q41-0,your,17367,17371,19,58,1
pdnc,qID,Q42-0,My dear old Basil,17418,17435,2,59,1
pdnc,qID,Q42-0,you,17437,17440,2,59,1
pdnc,qID,Q45-0,Harry,17670,17675,19,62,1
pdnc,qID,Q46-0,My dear fellow,17710,17724,2,63,1
pdnc,qID,Q47-0,you,18403,18406,19,64,1
pdnc,qID,Q47-0,Harry,18437,18442,19,64,1
pdnc,qID,Q47-0,you,18456,18459,19,64,1
