source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,dorian gray,Dorian Gray,15,26,4,1,-1,M_0
exp,exp_name,the artist,The artist,58,68,39,4,-1,M_1
exp,exp_name,the artist,the artist,131,141,39,4,-1,M_2
exp,exp_name,man,man,934,937,30,9,-1,M_3
exp,exp_name,the artist,the artist,974,984,39,9,-1,M_4
exp,exp_name,the artist,The artist,1272,1282,39,9,-1,M_5
exp,exp_name,the artist,the artist,1335,1345,39,9,-1,M_6
exp,exp_name,the artist,the artist,1392,1402,39,9,-1,M_7
exp,exp_name,the artist,the artist,1890,1900,39,9,-1,M_8
booknlp,COREF,357,himself,1919,1926,39,9,-1,M_9
exp,exp_name,man,man,1945,1948,30,9,-1,M_10
booknlp,COREF,357,he,2449,2451,39,14,1,M_11
booknlp,COREF,357,his,2479,2482,39,14,1,M_12
exp,exp_name,lord henry wotton,Lord Henry Wotton,2515,2532,19,14,1,M_13
booknlp,COREF,357,him,2932,2935,39,14,1,M_14
exp,exp_name,a young man,a young man,3485,3496,28,15,1,M_15
exp,exp_name,the artist,the artist,3590,3600,39,15,1,M_16
booknlp,COREF,357,himself,3601,3608,39,15,1,M_17
exp,exp_name,basil hallward,Basil Hallward,3610,3624,2,15,1,M_18
exp,exp_name,the painter,the painter,3762,3773,42,16,1,M_19
booknlp,COREF,389,he,3813,3815,42,16,1,M_20
booknlp,COREF,389,his,3845,3848,42,16,1,M_21
booknlp,COREF,389,his,3888,3891,42,16,1,M_22
booknlp,COREF,389,he,3936,3938,42,16,1,M_23
booknlp,COREF,389,his,3972,3975,42,16,1,M_24
booknlp,COREF,389,his,3989,3992,42,16,1,M_25
booknlp,COREF,389,he,4026,4028,42,16,1,M_26
booknlp,COREF,389,his,4055,4058,42,16,1,M_27
booknlp,COREF,389,he,4095,4097,42,16,1,M_28
booknlp,COREF,389,he,4105,4107,42,16,1,M_29
pdnc,qID,Q0-0,your,4129,4133,2,17,1,M_30
pdnc,qID,Q0-0,Basil,4145,4150,2,17,1,M_31
pdnc,qID,Q0-0,you,4167,4170,2,17,1,M_32
exp,exp_name,lord henry,Lord Henry,4193,4203,19,17,1,M_33
pdnc,qID,Q0-1,You,4216,4219,2,17,1,M_34
booknlp,COREF,120,I,4321,4322,19,17,1,M_35
booknlp,COREF,120,I,4383,4384,19,17,1,M_36
booknlp,COREF,120,I,4470,4471,19,17,1,M_37
booknlp,COREF,389,I,4570,4571,42,18,1,M_38
booknlp,COREF,389,I,4584,4585,42,18,1,M_39
booknlp,COREF,389,he,4611,4613,42,18,1,M_40
booknlp,COREF,389,his,4632,4635,42,18,1,M_41
booknlp,COREF,389,his,4680,4683,42,18,1,M_42
booknlp,COREF,389,him,4701,4704,42,18,1,M_43
booknlp,COREF,389,I,4721,4722,42,18,1,M_44
