paraID,startByte,endByte,chapID
1,0,26,-1
2,28,42,-1
3,44,55,-1
4,58,264,-1
5,266,439,-1
6,441,601,-1
7,603,711,-1
8,713,809,-1
9,811,2085,-1
10,2087,2112,-1
11,2114,2125,-1
12,2130,2140,1
13,2143,2386,1
14,2388,3393,1
15,3395,3757,1
16,3759,4120,1
17,4122,4567,1
18,4569,4747,1
19,4749,5424,1
20,5426,5540,1
21,5542,5600,1
22,5602,5662,1
23,5664,7036,1
24,7038,7988,1
25,7990,8090,1
26,8092,8151,1
27,8153,8167,1
28,8169,8727,1
29,8729,9400,1
30,9402,9769,1
31,9771,10110,1
32,10112,10295,1
33,10297,10368,1
34,10370,10392,1
35,10394,10412,1
36,10414,10546,1
37,10548,10577,1
38,10579,10682,1
39,10684,11120,1
40,11122,11171,1
41,11173,11258,1
42,11260,11332,1
43,11334,11490,1
44,11492,11796,1
45,11798,12163,1
46,12165,13652,1
47,13654,13770,1
48,13772,14121,1
49,14123,14246,1
50,14248,15171,1
51,15173,15814,1
52,15816,15890,1
53,15892,16060,1
54,16062,16328,1
55,16330,16472,1
56,16474,16668,1
57,16670,17317,1
58,17319,17415,1
59,17417,17477,1
60,17479,17539,1
61,17541,17667,1
62,17669,17707,1
63,17709,18362,1
64,18364,18474,1
65,18476,19472,1
66,19474,19571,1
67,19573,19651,1
68,19653,21892,1
69,21894,21949,1
70,21951,22399,1
71,22401,22461,1
72,22463,22900,1
73,22902,23043,1
74,23045,23424,1
75,23426,23578,1
76,23580,24208,1
77,24210,25464,1
78,25466,25614,1
79,25616,27074,1
80,27076,27101,1
81,27103,27143,1
82,27145,27197,1
83,27199,27754,1
84,27756,27791,1
85,27793,27799,1
86,27801,27832,1
87,27834,27866,1
88,27868,27873,1
89,27875,27956,1
90,27958,28014,1
91,28016,28186,1
92,28188,28722,1
93,28724,28841,1
94,28846,28857,2
95,28860,29110,2
96,29112,29166,2
97,29168,29503,2
98,29505,29669,2
99,29671,29907,2
100,29909,30239,2
101,30241,30507,2
102,30509,30590,2
103,30592,30984,2
104,30986,31140,2
105,31142,31455,2
106,31457,31535,2
107,31537,31723,2
108,31725,32042,2
109,32044,32167,2
110,32169,32489,2
111,32491,32724,2
112,32726,32981,2
113,32983,33022,2
114,33024,33329,2
115,33331,33696,2
116,33698,33821,2
117,33823,33829,2
118,33831,34733,2
119,34735,34941,2
120,34943,36577,2
121,36579,36774,2
122,36776,37256,2
123,37258,37768,2
124,37770,37983,2
125,37985,38487,2
126,38489,38686,2
127,38688,38813,2
128,38815,39244,2
129,39246,39369,2
130,39371,39619,2
131,39621,39945,2
132,39947,40312,2
133,40314,40656,2
134,40658,40921,2
135,40923,41760,2
136,41762,42035,2
137,42037,42140,2
138,42142,42189,2
139,42191,42197,2
140,42199,42285,2
141,42287,42319,2
142,42321,45559,2
143,45561,46261,2
144,46263,46401,2
145,46403,46501,2
146,46503,46679,2
147,46681,46755,2
148,46757,46811,2
149,46813,47110,2
150,47112,47333,2
151,47335,47739,2
152,47741,48079,2
153,48081,48203,2
154,48205,48350,2
155,48352,48400,2
156,48402,48472,2
157,48474,48576,2
158,48578,48650,2
159,48652,49910,2
160,49912,50165,2
161,50167,50281,2
162,50283,50461,2
163,50463,50494,2
164,50496,50519,2
165,50521,50565,2
166,50567,50595,2
167,50597,51092,2
168,51094,51223,2
169,51225,51279,2
170,51281,51468,2
171,51470,51633,2
172,51635,52073,2
173,52075,52329,2
174,52331,52874,2
175,52876,52931,2
176,52933,53009,2
177,53011,53023,2
178,53025,53067,2
179,53069,53127,2
180,53129,53183,2
181,53185,53446,2
182,53448,53913,2
183,53915,54121,2
184,54123,54268,2
185,54270,54350,2
186,54352,54643,2
187,54645,55158,2
188,55160,55300,2
189,55302,55378,2
190,55380,55515,2
191,55517,55581,2
192,55583,55629,2
193,55631,56021,2
194,56023,56406,2
195,56408,56527,2
196,56529,56709,2
