qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"It is your best work, Basil, the best thing you have ever done,","[4123, 4186]",Lord Henry,['Basil Hallward'],Explicit,said Lord Henry,"['your', 'Basil', 'you']","[[4129, 4133], [4145, 4150], [4167, 4170]]","[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]",X,0,major,ThePictureOfDorianGray,17,17,1,1,19,4123,4186
Q0-1,"You must certainly send it next year to the Grosvenor. The Academy is too large and too vulgar. Whenever I have gone there, there have been either so many people that I have not been able to see the pictures, which was dreadful, or so many pictures that I have not been able to see the people, which was worse. The Grosvenor is really the only place.","[4216, 4566]",Lord Henry,['Basil Hallward'],Explicit,said Lord Henry,['You'],"[[4216, 4219]]",[['Basil Hallward']],X,0,major,ThePictureOfDorianGray,17,17,1,1,19,4216,4566
Q1-0,"I don t think I shall send it anywhere,","[4570, 4609]",Basil Hallward,['Lord Henry'],Anaphoric,he answered,[],[],[],X,1,major,ThePictureOfDorianGray,18,18,1,1,2,4570,4609
Q1-1,"No, I won t send it anywhere.","[4717, 4746]",Basil Hallward,['Lord Henry'],Anaphoric,he answered,[],[],[],X,1,major,ThePictureOfDorianGray,18,18,1,1,2,4717,4746
Q2-0,"Not send it anywhere? My dear fellow, why? Have you any reason? What odd chaps you painters are! You do anything in the world to gain a reputation. As soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about. A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion.","[4933, 5423]",Lord Henry,['Basil Hallward'],Implicit,,"['My dear fellow', 'you', 'you', 'You', 'you', 'you', 'you', 'you']","[[4955, 4969], [4981, 4984], [5012, 5015], [5030, 5033], [5092, 5095], [5106, 5109], [5156, 5159], [5300, 5303]]","[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward']]",X,2,major,ThePictureOfDorianGray,19,19,1,1,19,4933,5423
Q3-0,"I know you will laugh at me,","[5427, 5455]",Basil Hallward,['Lord Henry'],Anaphoric,he replied,['you'],"[[5434, 5437]]",[['Lord Henry']],X,3,major,ThePictureOfDorianGray,20,20,1,1,2,5427,5455
Q3-1,but I really can t exhibit it. I have put too much of myself into it.,"[5470, 5539]",Basil Hallward,['Lord Henry'],Anaphoric,he replied,[],[],[],X,3,major,ThePictureOfDorianGray,20,20,1,1,2,5470,5539
Q4-0,"Yes, I knew you would; but it is quite true, all the same.","[5603, 5661]",Basil Hallward,['Lord Henry'],Implicit,,['you'],"[[5615, 5618]]",[['Lord Henry']],X,4,major,ThePictureOfDorianGray,22,22,1,1,2,5603,5661
Q5-0,"Too much of yourself in it! Upon my word, Basil, I didn t know you were so vain; and I really can t see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made out of ivory and rose-leaves. Why, my dear Basil, he is a Narcissus, and you well, of course you have an intellectual expression and all that. But beauty, real beauty, ends where an intellectual expression begins. Intellect is in itself a mode of exaggeration, and destroys the harmony of any face. The moment one sits down to think, one becomes all nose, or all forehead, or something horrid. Look at the successful men in any of the learned professions. How perfectly hideous they are! Except, of course, in the Church. But then in the Church they don t think. A bishop keeps on saying at the age of eighty what he was told to say when he was a boy of eighteen, and as a natural consequence he always looks absolutely delightful. Your mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never thinks. I feel quite sure of that. He is some brainless beautiful creature who should be always here in winter when we have no flowers to look at, and always here in summer when we want something to chill our intelligence. Don t flatter yourself, Basil: you are not in the least like him.","[5665, 7035]",Lord Henry,['Basil Hallward'],Implicit,,"['Basil', 'you', 'you', 'your', 'your', 'this young Adonis', 'he', 'my dear Basil', 'he', 'you', 'you', 'you', 'He', 'we', 'we', 'Basil', 'you', 'him']","[[5707, 5712], [5728, 5731], [5793, 5796], [5803, 5807], [5831, 5835], [5857, 5874], [5892, 5894], [5939, 5952], [5954, 5956], [5977, 5980], [5997, 6000], [6677, 6680], [6782, 6784], [6863, 6865], [6925, 6927], [6994, 6999], [7001, 7004], [7031, 7034]]","[['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray'], ['Dorian Gray'], ['Basil Hallward'], ['Dorian Gray'], ['Basil Hallward'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray'], ['Basil Hallward', 'Lord Henry'], ['Basil Hallward', 'Lord Henry'], ['Basil Hallward'], ['Basil Hallward'], ['Dorian Gray']]",X,5,major,ThePictureOfDorianGray,23,23,1,1,19,5665,7035
Q6-0,"You don t understand me, Harry,","[7039, 7070]",Basil Hallward,['Lord Henry'],Anaphoric,answered the artist,"['You', 'Harry']","[[7039, 7042], [7064, 7069]]","[['Lord Henry'], ['Lord Henry']]",X,6,major,ThePictureOfDorianGray,24,24,1,1,2,7039,7070
