,chapID,titleParaID,titleStartByte,titleEndByte,textStartParaID,textStartByte,textEndParaID,textEndByte
0,1,4,58,59,5,61,21,5758
1,2,22,5763,5765,23,5767,60,15907
2,3,61,15912,15915,62,15917,147,26190
3,4,148,26195,26197,149,26199,253,38006
4,5,254,38011,38012,255,38014,298,51913
5,6,299,51918,51920,300,51922,372,66102
6,7,373,66107,66110,374,66112,421,79634
7,8,422,79639,79643,423,79645,460,90999
8,9,461,91004,91006,462,91008,540,107763
9,10,541,107765,107766,542,107768,605,119675
10,11,606,119680,119682,607,119684,671,135680
11,12,672,135685,135688,673,135690,753,151868
12,13,754,151873,151877,755,151879,821,168728
13,14,822,168733,168736,823,168738,883,179817
14,15,884,179822,179824,885,179826,897,186646
15,16,898,186651,186654,899,186656,977,200665
16,17,978,200670,200674,979,200676,1011,210420
17,18,1012,210425,210430,1013,210432,1064,218797
