source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID
pdnc,qID,Q0-0,Berry,1554,1559,4,8,1
pdnc,qID,Q0-0,himself,1615,1622,4,8,1
pdnc,qID,Q2-0,dat boy,3574,3581,15,16,1
pdnc,qID,Q2-0,Be'y,3592,3596,4,16,1
pdnc,qID,Q2-1,him ,3695,3699,15,16,1
pdnc,qID,Q2-1,you,3816,3819,4,16,1
pdnc,qID,Q2-1,you,3825,3828,4,16,1
pdnc,qID,Q2-1,Joe,3850,3853,15,16,1
pdnc,qID,Q4-0,He,12108,12110,8,38,1
pdnc,qID,Q6-0,that some dark-eyed mademoiselle,12319,12351,5,40,1
pdnc,qID,Q6-0,you,12367,12370,8,40,1
pdnc,qID,Q7-0,Miss Claire,12940,12951,5,42,1
pdnc,qID,Q7-0,you,12953,12956,5,42,1
pdnc,qID,Q7-0,our friend,13003,13013,8,42,1
pdnc,qID,Q7-0,he,13019,13021,8,42,1
pdnc,qID,Q7-0,his,13038,13041,8,42,1
pdnc,qID,Q7-0,his,13054,13057,8,42,1
pdnc,qID,Q7-0,you,13099,13102,8,42,1
pdnc,qID,Q7-0,Frank,13104,13109,8,42,1
pdnc,qID,Q8-0,You,13114,13117,14,43,1
pdnc,qID,Q8-0,Esterton,13135,13143,14,43,1
pdnc,qID,Q9-0,this wily friend of mine,13359,13383,8,45,1
pdnc,qID,Q9-0,his,13389,13392,8,45,1
pdnc,qID,Q10-0,Frank,13444,13449,8,46,1
pdnc,qID,Q10-1,Esterton,13483,13491,14,46,1
pdnc,qID,Q10-1,you,13514,13517,8,46,1
pdnc,qID,Q11-0,Francis,14598,14605,8,50,1
pdnc,qID,Q17-0,Frank,15211,15216,8,56,1
pdnc,qID,Q17-0,old man,15218,15225,8,56,1
pdnc,qID,Q17-0,you,15264,15267,8,56,1
pdnc,qID,Q18-0,Leslie,15726,15732,17,59,1
pdnc,qID,Q18-0,you,15783,15786,20,59,1
pdnc,qID,Q19-0,"Poor, foolish Frank",15829,15848,8,60,1
pdnc,qID,Q19-1,him,15902,15905,8,60,1
pdnc,qID,Q20-0,Frank,16091,16096,8,64,1
pdnc,qID,Q21-0,you,16235,16238,20,66,1
pdnc,qID,Q21-0,Maurice,16256,16263,20,66,1
pdnc,qID,Q22-0,yourself,16363,16371,8,67,1
pdnc,qID,Q23-0,You,16825,16828,20,68,1
pdnc,qID,Q25-0,you,17052,17055,20,70,1
pdnc,qID,Q26-0,You,17060,17063,8,71,1
pdnc,qID,Q26-0,Frank,17096,17101,8,71,1
pdnc,qID,Q26-0,you,17103,17106,8,71,1
pdnc,qID,Q26-0,you,17137,17140,8,71,1
pdnc,qID,Q26-0,you,17278,17281,8,71,1
pdnc,qID,Q26-0,you,17353,17356,8,71,1
pdnc,qID,Q27-0,Maurice,17417,17424,20,72,1
pdnc,qID,Q27-1,you,17463,17466,20,72,1
pdnc,qID,Q27-1,yours,17524,17529,20,72,1
pdnc,qID,Q28-0,Frank,17777,17782,8,73,1
pdnc,qID,Q28-0,Frank,17784,17789,8,73,1
pdnc,qID,Q28-0,your,17828,17832,8,73,1
pdnc,qID,Q28-0,You,17838,17841,8,73,1
pdnc,qID,Q28-0,You,17859,17862,8,73,1
pdnc,qID,Q28-0,Leslie,17891,17897,17,73,1
pdnc,qID,Q28-0,you,17926,17929,8,73,1
pdnc,qID,Q28-0,You,17931,17934,8,73,1
pdnc,qID,Q28-0,you,18028,18031,8,73,1
pdnc,qID,Q30-0,You,18141,18144,8,75,1
pdnc,qID,Q30-0,you,18181,18184,8,75,1
pdnc,qID,Q31-0,Frank,18279,18284,8,77,1
pdnc,qID,Q31-0,You,18328,18331,8,77,1
pdnc,qID,Q31-0,your,18355,18359,8,77,1
pdnc,qID,Q31-0,you,18386,18389,8,77,1
pdnc,qID,Q31-0,you,18455,18458,8,77,1
pdnc,qID,Q31-0,you,18478,18481,8,77,1
pdnc,qID,Q32-0,You,18486,18489,20,78,1
pdnc,qID,Q32-0,Maurice,18504,18511,20,78,1
pdnc,qID,Q33-0,yourself,18619,18627,8,79,1
pdnc,qID,Q33-0,you,18652,18655,8,79,1
pdnc,qID,Q33-0,yourself,18680,18688,8,79,1
pdnc,qID,Q35-0,you,18925,18928,8,81,1
pdnc,qID,Q35-0,your,19002,19006,8,81,1
pdnc,qID,Q36-0,you,19160,19163,20,82,1
pdnc,qID,Q37-0,you,19263,19266,8,83,1
pdnc,qID,Q37-0,your,19279,19283,8,83,1
pdnc,qID,Q38-0,Esterton,19297,19305,14,84,1
pdnc,qID,Q38-0,he,19345,19347,14,84,1
pdnc,qID,Q39-0,he,19383,19385,14,85,1
pdnc,qID,Q40-0,Hamilton,19436,19444,4,86,1
pdnc,qID,Q42-0,His boy,19494,19501,15,88,1
pdnc,qID,Q42-0,Joe,19503,19506,15,88,1
pdnc,qID,Q42-0,Jack,19523,19527,14,88,1
pdnc,qID,Q43-0,Jack,19592,19596,14,89,1
pdnc,qID,Q43-0,Joe,19601,19604,15,89,1
pdnc,qID,Q45-0,Hamilton,19676,19684,4,92,1
pdnc,qID,Q45-0,Esterton,19689,19697,14,92,1
pdnc,qID,Q45-0,your,19730,19734,8,92,1
pdnc,qID,Q45-0,you,19746,19749,8,92,1
pdnc,qID,Q45-0,your,19766,19770,8,92,1
pdnc,qID,Q46-0,Esterton,19931,19939,14,93,1
pdnc,qID,Q46-0,Hamilton,19943,19951,4,93,1
pdnc,qID,Q47-0,Esterton,19960,19968,14,94,1
pdnc,qID,Q48-0,Hamilton,19981,19989,4,95,1
pdnc,qID,Q50-0,Hamilton,20063,20071,4,97,1
pdnc,qID,Q51-0,you,20143,20146,8,98,1
pdnc,qID,Q51-0,Frank,20148,20153,8,98,1
pdnc,qID,Q51-0,Hamilton,20413,20421,4,98,1
pdnc,qID,Q52-0,him,20468,20471,4,99,1
pdnc,qID,Q53-0,his,20539,20542,4,100,1
pdnc,qID,Q54-0,you,20641,20644,20,101,1
pdnc,qID,Q54-0,old Hamilton,20673,20685,4,101,1
pdnc,qID,Q55-0,you,20716,20719,8,102,1
pdnc,qID,Q55-0,Frank,20728,20733,8,102,1
pdnc,qID,Q55-0,you,20761,20764,8,102,1
pdnc,qID,Q55-0,he,20882,20884,8,102,1
pdnc,qID,Q55-0,he,20996,20998,8,102,1
pdnc,qID,Q55-0,he,21006,21008,8,102,1
pdnc,qID,Q55-0,his,21055,21058,8,102,1
pdnc,qID,Q55-0,he,21096,21098,8,102,1
pdnc,qID,Q55-0,he,21211,21213,8,102,1
pdnc,qID,Q55-0,his,21273,21276,8,102,1
pdnc,qID,Q56-0,you,21333,21336,8,104,1
pdnc,qID,Q56-0,you,21345,21348,8,104,1
pdnc,qID,Q57-0,you,22352,22355,8,108,1
pdnc,qID,Q57-0,Frank,22363,22368,8,108,1
