source,idColName,iden,text,startByte,endByte,pdncID,paraID,chapID,mID
exp,exp_name,berry hamilton,Berry Hamilton,244,258,4,6,1,M_0
booknlp,COREF,34,he,386,388,4,7,1,M_1
booknlp,COREF,34,his,400,403,4,7,1,M_2
exp,exp_name,fannie,Fannie,410,416,7,7,1,M_3
booknlp,COREF,34,his,458,461,4,7,1,M_4
exp,exp_name,joe,Joe,480,483,15,7,1,M_5
exp,exp_name,kit,Kit,488,491,16,7,1,M_6
booknlp,COREF,34,his,553,556,4,7,1,M_7
exp,exp_name,berry hamilton,Berry Hamilton,852,866,4,7,1,M_8
exp,exp_name,maurice oakley,Maurice Oakley,887,901,20,7,1,M_9
booknlp,COREF,39,He,903,905,20,7,1,M_10
booknlp,COREF,39,he,1190,1192,20,8,1,M_11
exp,exp_name,maurice oakley,Maurice Oakley,1201,1215,20,8,1,M_12
booknlp,COREF,39,he,1253,1255,20,8,1,M_13
booknlp,COREF,39,him,1270,1273,20,8,1,M_14
booknlp,COREF,39,his,1313,1316,20,8,1,M_15
booknlp,COREF,39,his,1332,1335,20,8,1,M_16
exp,exp_name,oakley,Oakley,1397,1403,20,8,1,M_17
booknlp,COREF,39,he,1436,1438,20,8,1,M_18
booknlp,COREF,39,he,1450,1452,20,8,1,M_19
booknlp,COREF,39,he,1508,1510,20,8,1,M_20
pdnc,qID,Q0-0,Berry,1554,1559,4,8,1,M_21
booknlp,COREF,39,my,1578,1580,20,8,1,M_22
pdnc,qID,Q0-0,himself,1615,1622,4,8,1,M_23
booknlp,COREF,39,His,1626,1629,20,9,1,M_24
exp,exp_name,berry,Berry,1667,1672,4,9,1,M_25
exp,exp_name,fannie,Fannie,1703,1709,7,9,1,M_26
booknlp,COREF,35,she,1731,1734,7,9,1,M_27
booknlp,COREF,35,her,1744,1747,7,9,1,M_28
exp,exp_name,mrs. oakley,Mrs. Oakley,1767,1778,17,9,1,M_29
booknlp,COREF,34,his,1816,1819,4,9,1,M_30
exp,exp_name,fannie,Fannie,1899,1905,7,9,1,M_31
exp,exp_name,fannie,Fannie,1951,1957,7,10,1,M_32
booknlp,COREF,35,her,1978,1981,7,10,1,M_33
exp,exp_name,berry,Berry,1998,2003,4,10,1,M_34
booknlp,COREF,34,his,2028,2031,4,10,1,M_35
exp,exp_name,berry,Berry,2362,2367,4,12,1,M_36
booknlp,COREF,34,his,2381,2384,4,12,1,M_37
exp,exp_name,fannie,Fannie,2396,2402,7,12,1,M_38
booknlp,COREF,35,her,2421,2424,7,12,1,M_39
exp,exp_name,joe,Joe,2795,2798,15,14,1,M_40
exp,exp_name,kitty,Kitty,2803,2808,16,14,1,M_41
exp,exp_name,kitty,Kitty,3041,3046,16,14,1,M_42
booknlp,COREF,38,her,3055,3058,16,14,1,M_43
exp,exp_name,joe,Joe,3070,3073,15,14,1,M_44
exp,exp_name,kit,Kit,3105,3108,16,15,1,M_45
booknlp,COREF,38,her,3128,3131,16,15,1,M_46
booknlp,COREF,38,She,3147,3150,16,15,1,M_47
exp,exp_name,joe,Joe,3214,3217,15,15,1,M_48
pdnc,qID,Q2-0,dat boy,3574,3581,15,16,1,M_49
pdnc,qID,Q2-0,Be'y,3592,3596,4,16,1,M_50
exp,exp_name,fannie,Fannie,3599,3605,7,16,1,M_51
booknlp,COREF,35,she,3628,3631,7,16,1,M_52
booknlp,COREF,35,her,3664,3667,7,16,1,M_53
pdnc,qID,Q2-1,him ,3695,3699,15,16,1,M_54
booknlp,COREF,35,I,3780,3781,7,16,1,M_55
pdnc,qID,Q2-1,you,3816,3819,4,16,1,M_56
pdnc,qID,Q2-1,you,3825,3828,4,16,1,M_57
pdnc,qID,Q2-1,Joe,3850,3853,15,16,1,M_58
booknlp,COREF,35,Her,3857,3860,7,17,1,M_59
booknlp,COREF,35,she,3920,3923,7,17,1,M_60
booknlp,COREF,35,She,3932,3935,7,17,1,M_61
exp,exp_name,berry,Berry,3973,3978,4,17,1,M_62
booknlp,COREF,35,she,4005,4008,7,17,1,M_63
exp,exp_name,kit,Kit,4022,4025,16,17,1,M_64
exp,exp_name,mrs. oakley,Mrs. Oakley,4335,4346,17,17,1,M_65
exp,exp_name,joe,Joe,4805,4808,15,20,1,M_66
exp,exp_name,kit,Kit,4813,4816,16,20,1,M_67
exp,exp_name,maurice oakley,Maurice Oakley,4894,4908,20,20,1,M_68
booknlp,COREF,39,his,4930,4933,20,20,1,M_69
exp,exp_name,francis,Francis,4942,4949,8,20,1,M_70
exp,exp_name,hamilton,Hamilton,4975,4983,4,20,1,M_71
exp,exp_name,joe,Joe,5031,5034,15,20,1,M_72
exp,exp_name,kit,Kit,5059,5062,16,20,1,M_73
exp,exp_name,mrs. oakley,Mrs. Oakley,5074,5085,17,20,1,M_74
exp,exp_name,berry,Berry,5223,5228,4,20,1,M_75
booknlp,COREF,39,he,5292,5294,20,20,1,M_76
exp,exp_name,mrs. hamilton,Mrs. Hamilton,5380,5393,7,21,1,M_77
exp,exp_name,kit,Kit,5480,5483,16,21,1,M_78
booknlp,COREF,38,herself,5505,5512,16,21,1,M_79
booknlp,COREF,38,she,5519,5522,16,21,1,M_80
exp,exp_name,joe,Joe,5546,5549,15,21,1,M_81
exp,exp_name,berry,Berry,5633,5638,4,21,1,M_82
exp,exp_name,berry,Berry,5640,5645,4,21,1,M_83
booknlp,COREF,34,his,5662,5665,4,21,1,M_84
booknlp,COREF,34,he,5708,5710,4,21,1,M_85
exp,exp_name,maurice oakley,Maurice Oakley,5787,5801,20,24,2,M_86
booknlp,COREF,34,his,5911,5914,4,24,2,M_87
booknlp,COREF,34,his,6001,6004,4,24,2,M_88
booknlp,COREF,34,him,6062,6065,4,25,2,M_89
booknlp,COREF,34,his,6101,6104,4,25,2,M_90
booknlp,COREF,34,he,6112,6114,4,25,2,M_91
booknlp,COREF,34,his,6143,6146,4,25,2,M_92
booknlp,COREF,34,he,6176,6178,4,25,2,M_93
booknlp,COREF,34,himself,6279,6286,4,25,2,M_94
booknlp,COREF,34,he,6306,6308,4,25,2,M_95
booknlp,COREF,34,his,6489,6492,4,26,2,M_96
booknlp,COREF,34,He,6613,6615,4,26,2,M_97
booknlp,COREF,34,His,6631,6634,4,26,2,M_98
booknlp,COREF,34,his,6642,6645,4,26,2,M_99
booknlp,COREF,34,his,6658,6661,4,26,2,M_100
booknlp,COREF,34,he,6700,6702,4,26,2,M_101
booknlp,COREF,34,he,6736,6738,4,27,2,M_102
booknlp,COREF,34,his,6753,6756,4,27,2,M_103
exp,exp_name,francis,Francis,6774,6781,8,27,2,M_104
booknlp,COREF,34,he,6798,6800,4,27,2,M_105
booknlp,COREF,34,His,6828,6831,4,27,2,M_106
exp,exp_name,francis oakley,Francis Oakley,6993,7007,8,28,2,M_107
exp,exp_name,maurice,Maurice,7035,7042,20,28,2,M_108
exp,exp_name,francis,Francis,7219,7226,8,29,2,M_109
exp,exp_name,maurice,Maurice,7494,7501,20,29,2,M_110
exp,exp_name,francis,Francis,7516,7523,8,29,2,M_111
exp,exp_name,maurice oakley,Maurice Oakley,8035,8049,20,30,2,M_112
booknlp,COREF,39,his,8086,8089,20,30,2,M_113
exp,exp_name,francis,Francis,8530,8537,8,30,2,M_114
exp,exp_name,mrs. oakley,Mrs. Oakley,8898,8909,17,31,2,M_115
exp,exp_name,maurice oakley,Maurice Oakley,9356,9370,20,32,2,M_116
booknlp,COREF,39,his,9375,9378,20,32,2,M_117
booknlp,COREF,39,he,9415,9417,20,32,2,M_118
exp,exp_name,claire lessing,Claire Lessing,9431,9445,5,32,2,M_119
booknlp,COREF,39,He,9447,9449,20,32,2,M_120
booknlp,COREF,39,him,9617,9620,20,32,2,M_121
exp,exp_name,maurice,Maurice,9716,9723,20,33,2,M_122
booknlp,COREF,39,his,9728,9731,20,33,2,M_123
booknlp,COREF,39,him,9746,9749,20,33,2,M_124
exp,exp_name,francis,Francis,9852,9859,8,33,2,M_125
exp,exp_name,claire lessing,Claire Lessing,9866,9880,5,33,2,M_126
exp,exp_name,francis,Francis,10241,10248,8,33,2,M_127
exp,exp_name,claire lessing,Claire Lessing,10606,10620,5,34,2,M_128
booknlp,COREF,46,her,10722,10725,5,34,2,M_129
booknlp,COREF,46,her,10845,10848,5,34,2,M_130
exp,exp_name,claire,Claire,10963,10969,5,34,2,M_131
exp,exp_name,francis,Francis,10982,10989,8,34,2,M_132
exp,exp_name,claire,Claire,11080,11086,5,34,2,M_133
booknlp,COREF,46,her,11114,11117,5,34,2,M_134
exp,exp_name,francis,Francis,11865,11872,8,37,2,M_135
pdnc,qID,Q4-0,He,12108,12110,8,38,2,M_136
pdnc,qID,Q6-0,that some dark-eyed mademoiselle,12319,12351,5,40,2,M_137
pdnc,qID,Q6-0,you,12367,12370,8,40,2,M_138
exp,exp_name,francis,Francis,12378,12385,8,41,2,M_139
exp,exp_name,claire,Claire,12413,12419,5,41,2,M_140
booknlp,COREF,46,she,12460,12463,5,41,2,M_141
booknlp,COREF,46,her,12596,12599,5,41,2,M_142
booknlp,COREF,46,She,12608,12611,5,41,2,M_143
booknlp,COREF,46,her,12755,12758,5,41,2,M_144
booknlp,COREF,46,she,12813,12816,5,41,2,M_145
booknlp,COREF,46,herself,12826,12833,5,41,2,M_146
booknlp,COREF,46,her,12930,12933,5,42,2,M_147
pdnc,qID,Q7-0,Miss Claire,12940,12951,5,42,2,M_148
pdnc,qID,Q7-0,you,12953,12956,5,42,2,M_149
pdnc,qID,Q7-0,our friend,13003,13013,8,42,2,M_150
pdnc,qID,Q7-0,he,13019,13021,8,42,2,M_151
pdnc,qID,Q7-0,his,13038,13041,8,42,2,M_152
pdnc,qID,Q7-0,his,13054,13057,8,42,2,M_153
pdnc,qID,Q7-0,you,13099,13102,8,42,2,M_154
pdnc,qID,Q7-0,Frank,13104,13109,8,42,2,M_155
pdnc,qID,Q8-0,You,13114,13117,14,43,2,M_156
pdnc,qID,Q8-0,Esterton,13135,13143,14,43,2,M_157
exp,exp_name,francis,Francis,13151,13158,8,43,2,M_158
pdnc,qID,Q9-0,this wily friend of mine,13359,13383,8,45,2,M_159
pdnc,qID,Q9-0,his,13389,13392,8,45,2,M_160
pdnc,qID,Q10-0,Frank,13444,13449,8,46,2,M_161
exp,exp_name,an old military man,an old military man,13452,13471,0,46,2,M_162
