paraID,startByte,endByte,chapID
1,0,21,-1
2,23,34,-1
3,36,56,-1
4,58,59,1
5,61,74,1
6,77,356,1
7,358,1133,1
8,1135,1624,1
9,1626,1949,1
10,1951,2179,1
11,2181,2360,1
12,2362,2566,1
13,2568,2744,1
14,2746,3103,1
15,3105,3538,1
16,3540,3855,1
17,3857,4392,1
18,4394,4593,1
19,4595,4803,1
20,4805,5318,1
21,5320,5758,1
22,5763,5765,1
23,5767,5784,1
24,5787,6020,1
25,6022,6458,1
26,6460,6717,1
27,6719,6974,1
28,6976,7188,1
29,7190,8015,1
30,8017,8865,1
31,8867,9349,1
32,9351,9711,1
33,9713,10485,1
34,10487,11214,1
35,11216,11753,1
36,11755,11826,1
37,11828,11979,1
38,11981,12144,1
39,12146,12246,1
40,12248,12376,1
41,12378,12888,1
42,12890,13111,1
43,13113,13274,1
44,13276,13301,1
45,13303,13408,1
46,13410,13571,1
47,13573,14041,1
48,14043,14459,1
49,14461,14583,1
50,14585,14639,1
51,14641,14720,1
52,14722,14779,1
53,14781,14867,1
54,14869,14899,1
55,14901,15086,1
56,15088,15306,1
57,15308,15443,1
58,15445,15687,1
59,15689,15826,1
60,15828,15907,1
61,15912,15915,1
62,15917,15926,1
63,15929,16068,1
64,16070,16120,1
65,16122,16214,1
66,16216,16339,1
67,16341,16446,1
68,16448,16913,1
69,16915,16956,1
70,16958,17057,1
71,17059,17383,1
72,17385,17774,1
73,17776,18033,1
74,18035,18117,1
75,18119,18229,1
76,18231,18265,1
77,18267,18483,1
78,18485,18591,1
79,18593,18758,1
80,18760,18918,1
81,18920,19108,1
82,19110,19206,1
83,19208,19290,1
84,19292,19375,1
85,19377,19433,1
86,19435,19463,1
87,19465,19473,1
88,19475,19568,1
89,19570,19606,1
90,19608,19624,1
91,19626,19663,1
92,19665,19780,1
93,19782,19953,1
94,19955,19974,1
95,19976,20011,1
96,20013,20046,1
97,20048,20123,1
98,20125,20445,1
99,20447,20477,1
100,20479,20616,1
101,20618,20687,1
102,20689,21284,1
103,21286,21305,1
104,21307,21399,1
105,21401,21502,1
106,21504,21851,1
107,21853,22327,1
108,22329,22390,1
109,22392,22410,1
110,22412,22428,1
111,22430,22471,1
112,22473,22503,1
113,22505,22529,1
114,22531,22639,1
115,22641,23022,1
116,23024,23076,1
117,23078,23084,1
118,23086,23120,1
119,23122,23127,1
120,23129,23153,1
121,23155,23196,1
122,23198,23356,1
123,23358,23395,1
124,23397,23422,1
125,23424,23466,1
126,23468,23486,1
127,23488,23516,1
128,23518,23699,1
129,23701,23804,1
130,23806,23812,1
131,23814,23881,1
132,23883,23965,1
133,23967,24001,1
134,24003,24039,1
135,24041,24343,1
136,24345,24419,1
137,24421,24448,1
138,24450,24533,1
139,24535,24700,1
140,24702,24793,1
141,24795,25035,1
142,25037,25156,1
143,25158,25383,1
144,25385,25547,1
145,25549,25763,1
146,25765,26098,1
147,26100,26190,1
148,26195,26197,1
149,26199,26215,1
150,26218,26350,1
151,26352,26722,1
152,26724,27378,1
153,27380,27551,1
154,27553,27731,1
155,27733,27900,1
156,27902,27975,1
157,27977,28169,1
158,28171,28319,1
159,28321,28700,1
160,28702,29078,1
161,29080,29225,1
162,29227,29324,1
163,29326,29403,1
164,29405,29596,1
165,29598,29637,1
166,29639,29695,1
167,29697,29866,1
168,29868,29977,1
169,29979,30063,1
170,30065,30286,1
171,30288,30336,1
172,30338,30490,1
173,30492,30565,1
174,30567,30650,1
175,30652,30950,1
176,30952,31030,1
177,31032,31100,1
178,31102,31134,1
179,31136,31287,1
180,31289,31459,1
181,31461,31502,1
182,31504,31509,1
183,31511,31554,1
184,31556,31604,1
185,31606,31660,1
186,31662,31678,1
187,31680,31721,1
188,31723,31774,1
189,31776,31851,1
190,31853,31903,1
191,31905,31947,1
192,31949,31986,1
193,31988,32024,1
194,32026,32072,1
195,32074,32102,1
196,32104,32290,1
197,32292,32329,1
198,32331,32345,1
199,32347,32470,1
200,32472,32586,1
201,32588,32696,1
202,32698,32704,1
203,32706,32760,1
204,32762,32815,1
205,32817,32841,1
206,32843,32900,1
207,32902,32976,1
208,32978,33093,1
209,33095,33224,1
210,33226,33294,1
211,33296,33391,1
212,33393,33495,1
213,33497,33599,1
214,33601,33651,1
215,33653,33786,1
216,33788,33885,1
217,33887,33977,1
218,33979,34052,1
219,34054,34467,1
220,34469,34644,1
221,34646,34689,1
222,34691,34770,1
223,34772,34804,1
224,34806,34858,1
225,34860,34916,1
226,34918,35017,1
227,35019,35053,1
228,35055,35197,1
229,35199,35218,1
