qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,There is no telling when Berry will be following my example and be taking a wife unto himself.,"[1529, 1623]",Maurice Oakley,[],Anaphoric,he said,"['Berry', 'himself']","[[1554, 1559], [1615, 1622]]","[['Berry Hamilton'], ['Berry Hamilton']]",X,0,major,TheSportOfTheGods,8,8,1,1,20,1529,1623
Q1-0,It 's de p'opah thing fu' a man what waits on quality to have quality mannahs an' to waih quality clothes.,"[3431, 3537]",Berry Hamilton,"['Joe Hamilton', 'Fannie Hamilton']",Anaphoric,said he,[],[],[],X,1,minor,TheSportOfTheGods,15,15,1,1,4,3431,3537
Q2-0,"'T ain't no use to be a-humo'in' dat boy too much, Be'y,","[3541, 3597]",Fannie Hamilton,"['Berry Hamilton', 'Joe Hamilton']",Explicit,Fannie had replied,"['dat boy', ""Be'y""]","[[3574, 3581], [3592, 3596]]","[['Joe Hamilton'], ['Berry Hamilton']]",X,2,major,TheSportOfTheGods,16,16,1,1,7,3541,3597
Q2-1,"hit sho' do mek' him biggety, an' a biggety po' niggah is a 'bomination befo' de face of de Lawd; but I know 't ain't no use a-talkin' to you, fu' you plum boun' up in dat Joe.","[3678, 3854]",Fannie Hamilton,"['Berry Hamilton', 'Joe Hamilton']",Explicit,Fannie had replied,"['him ', 'you', 'you', 'Joe']","[[3695, 3699], [3816, 3819], [3825, 3828], [3850, 3853]]","[['Joe Hamilton'], ['Berry Hamilton'], ['Berry Hamilton'], ['Joe Hamilton']]",X,2,major,TheSportOfTheGods,16,16,1,1,7,3678,3854
Q3-0,"Five years does seem a long while,","[11829, 11863]",Francis Oakley,"['Claire Lessing', 'Esterton', 'An Old Military Man']",Explicit,Francis was saying,[],[],[],X,3,minor,TheSportOfTheGods,37,37,1,1,8,11829,11863
Q3-1,"but if a man accomplishes anything, after all, it seems only a short time to look back upon.","[11886, 11978]",Francis Oakley,"['Claire Lessing', 'Esterton', 'An Old Military Man']",Explicit,Francis was saying,[],[],[],X,3,minor,TheSportOfTheGods,37,37,1,1,8,11886,11978
Q4-0,"All time is short to look back upon. It is the looking forward to it that counts. It does n't, though, with a man, I suppose. He's doing something all the while.","[11982, 12143]",Claire Lessing,"['Francis Oakley', 'Esterton', 'An Old Military Man']",Implicit,,['He'],"[[12108, 12110]]",[['Francis Oakley']],X,4,minor,TheSportOfTheGods,38,38,1,1,5,11982,12143
Q5-0,"Yes, a man is always doing something, even if only waiting; but waiting is such unheroic business.","[12147, 12245]",Francis Oakley,"['Claire Lessing', 'Esterton', 'An Old Military Man']",Implicit,,[],[],[],X,5,minor,TheSportOfTheGods,39,39,1,1,8,12147,12245
Q6-0,That is the part that usually falls to a woman's lot. I have no doubt that some dark-eyed mademoiselle is waiting for you now.,"[12249, 12375]",Claire Lessing,"['Francis Oakley', 'Esterton', 'An Old Military Man']",Implicit,,"['that some dark-eyed mademoiselle', 'you']","[[12319, 12351], [12367, 12370]]","[['Claire Lessing'], ['Francis Oakley']]",X,6,minor,TheSportOfTheGods,40,40,1,1,5,12249,12375
Q7-0,"Oh, Miss Claire, you will not dare to talk with such little awe to our friend when he comes back with his ribbons and his medals. Why, we shall all have to bow to you, Frank!","[12936, 13110]",Esterton,"['Claire Lessing', 'An Old Military Man', 'Francis Oakley']",Anaphoric,Someone cried gayly across the table to her,"['Miss Claire', 'you', 'our friend', 'he', 'his', 'his', 'we', 'you', 'Frank']","[[12940, 12951], [12953, 12956], [13003, 13013], [13019, 13021], [13038, 13041], [13054, 13057], [13071, 13073], [13099, 13102], [13104, 13109]]","[['Claire Lessing'], ['Claire Lessing'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Claire Lessing', 'Esterton'], ['Francis Oakley'], ['Francis Oakley']]",X,7,minor,TheSportOfTheGods,42,42,1,1,14,12936,13110
Q8-0,"You 're wronging me, Esterton,","[13114, 13144]",Francis Oakley,"['Claire Lessing', 'Esterton', 'An Old Military Man']",Explicit,said Francis,"['You', 'Esterton']","[[13114, 13117], [13135, 13143]]","[['Esterton'], ['Esterton']]",X,8,minor,TheSportOfTheGods,43,43,1,1,8,13114,13144
Q8-1,No foreign decoration could ever be to me as much as the flower of approval from the fair women of my own State.,"[13161, 13273]",Francis Oakley,"['Claire Lessing', 'Esterton', 'An Old Military Man']",Explicit,said Francis,[],[],[],X,8,minor,TheSportOfTheGods,43,43,1,1,8,13161,13273
Q9-0,"Trust artists and poets to pay pretty compliments, and this wily friend of mine pays his at my expense.","[13304, 13407]",Esterton,"['Claire Lessing', 'An Old Military Man', 'Francis Oakley']",Implicit,,"['this wily friend of mine', 'his']","[[13359, 13383], [13389, 13392]]","[['Francis Oakley'], ['Francis Oakley']]",X,9,minor,TheSportOfTheGods,45,45,1,1,14,13304,13407
Q10-0,"A good bit of generalship, that, Frank,","[13411, 13450]",An Old Military Man,"['Claire Lessing', 'Esterton', 'Francis Oakley']",Anaphoric,an old military man broke in,['Frank'],"[[13444, 13449]]",[['Francis Oakley']],X,10,minor,TheSportOfTheGods,46,46,1,1,0,13411,13450
Q10-1,Esterton opened the breach and you at once galloped in. That 's the highest art of war.,"[13483, 13570]",An Old Military Man,"['Claire Lessing', 'Esterton', 'Francis Oakley']",Anaphoric,an old military man broke in,"['Esterton', 'you']","[[13483, 13491], [13514, 13517]]","[['Esterton'], ['Francis Oakley']]",X,10,minor,TheSportOfTheGods,46,46,1,1,0,13483,13570
Q11-0,"What is it, Francis?","[14586, 14606]",Maurice Oakley,['Francis Oakley'],Anaphoric,he questioned,['Francis'],"[[14598, 14605]]",[['Francis Oakley']],X,11,major,TheSportOfTheGods,50,50,1,1,20,14586,14606
Q12-0,"I have just discovered a considerable loss,","[14642, 14685]",Francis Oakley,['Maurice Oakley'],Implicit,,[],[],[],X,12,minor,TheSportOfTheGods,51,51,1,1,8,14642,14685
Q13-0,"If it is no worse than loss, I am glad; but what is it?","[14723, 14778]",Maurice Oakley,['Francis Oakley'],Implicit,,[],[],[],X,13,major,TheSportOfTheGods,52,52,1,1,20,14723,14778
Q14-0,Every cent of money that I had to secure my letter of credit is gone from my bureau.,"[14782, 14866]",Francis Oakley,['Maurice Oakley'],Implicit,,[],[],[],X,14,minor,TheSportOfTheGods,53,53,1,1,8,14782,14866
Q15-0,What? When did it disappear?,"[14870, 14898]",Maurice Oakley,['Francis Oakley'],Implicit,,[],[],[],X,15,major,TheSportOfTheGods,54,54,1,1,20,14870,14898
Q16-0,"I went to my bureau to-night for something and found the money gone; then I remembered that when I opened it two days ago I must have left the key in the lock, as I found it to-night.","[14902, 15085]",Francis Oakley,['Maurice Oakley'],Implicit,,[],[],[],X,16,minor,TheSportOfTheGods,55,55,1,1,8,14902,15085
Q17-0,"It 's a bad business, but don't let 's talk of it now. Come, let 's go back to our guests. Don't look so cut up about it, Frank, old man. It is n't as bad as it might be, and you must n't show a gloomy face to-night.","[15089, 15305]",Maurice Oakley,['Francis Oakley'],Implicit,,"['our', 'Frank', 'old man', 'you']","[[15168, 15171], [15211, 15216], [15218, 15225], [15264, 15267]]","[['Francis Oakley', 'Maurice Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley']]",X,17,major,TheSportOfTheGods,56,56,1,1,20,15089,15305
Q18-0,"When Leslie is in bed, come into the library. I will wait for you there,","[15721, 15793]",Francis Oakley,['Maurice Oakley'],Anaphoric,he said,"['Leslie', 'you']","[[15726, 15732], [15783, 15786]]","[['Leslie'], ['Maurice Oakley']]",X,18,minor,TheSportOfTheGods,59,59,1,1,8,15721,15793
Q19-0,"Poor, foolish Frank,","[15829, 15849]",Maurice Oakley,['Francis Oakley'],Anaphoric,mused his brother,"['Poor, foolish Frank']","[[15829, 15848]]",[['Francis Oakley']],X,19,major,TheSportOfTheGods,60,60,1,1,20,15829,15849
Q19-1,as if the loss could matter to him.,"[15871, 15906]",Maurice Oakley,['Francis Oakley'],Anaphoric,mused his brother,['him'],"[[15902, 15905]]",[['Francis Oakley']],X,19,major,TheSportOfTheGods,60,60,1,1,20,15871,15906
Q20-0,"Come, brace up now, Frank, and tell me about it.","[16071, 16119]",Maurice Oakley,['Francis Oakley'],Implicit,,['Frank'],"[[16091, 16096]]",[['Francis Oakley']],X,20,major,TheSportOfTheGods,64,64,1,1,20,16071,16119
Q21-0,"I don't know what you 'll think of me, Maurice,","[16217, 16264]",Francis Oakley,['Maurice Oakley'],Anaphoric,he said,"['you', 'Maurice']","[[16235, 16238], [16256, 16263]]","[['Maurice Oakley'], ['Maurice Oakley']]",X,21,minor,TheSportOfTheGods,66,66,1,1,8,16217,16264
Q21-1,I have never before been guilty of such criminal carelessness.,"[16276, 16338]",Francis Oakley,['Maurice Oakley'],Anaphoric,he said,[],[],[],X,21,minor,TheSportOfTheGods,66,66,1,1,8,16276,16338
Q22-0,Don't stop to accuse yourself. Our only hope in this matter lies in prompt action. Where was the money?,"[16342, 16445]",Maurice Oakley,['Francis Oakley'],Implicit,,['yourself'],"[[16363, 16371]]",[['Francis Oakley']],X,22,major,TheSportOfTheGods,67,67,1,1,20,16342,16445
Q23-0,In the oak cabinet and lying in the bureau drawer. Such a thing as a theft seemed so foreign to this place that I was never very particular about the box. But I did not know until I went to it to-night that the last time I had opened it I had forgotten to take the key out. It all flashed over me in a second when I saw it shining there. Even then I did n't suspect anything. You don't know how I felt to open that cabinet and find all my money gone. It 's awful.,"[16449, 16912]",Francis Oakley,['Maurice Oakley'],Implicit,,['You'],"[[16825, 16828]]",[['Maurice Oakley']],X,23,minor,TheSportOfTheGods,68,68,1,1,8,16449,16912
Q24-0,Don't worry. How much was there in all?,"[16916, 16955]",Maurice Oakley,['Francis Oakley'],Implicit,,[],[],[],X,24,major,TheSportOfTheGods,69,69,1,1,20,16916,16955
Q25-0,"Nine hundred and eighty-six dollars, most of which, I am ashamed to say, I had accepted from you.","[16959, 17056]",Francis Oakley,['Maurice Oakley'],Implicit,,['you'],"[[17052, 17055]]",[['Maurice Oakley']],X,25,minor,TheSportOfTheGods,70,70,1,1,8,16959,17056
Q26-0,"You have no right to talk that way, Frank; you know I do not begrudge a cent you want. I have never felt that my father did quite right in leaving me the bulk of the fortune; but we won't discuss that now. What I want you to understand, though, is that the money is yours as well as mine, and you are always welcome to it.","[17060, 17382]",Maurice Oakley,['Francis Oakley'],Implicit,,"['You', 'Frank', 'you', 'you', 'we', 'you', 'you']","[[17060, 17063], [17096, 17101], [17103, 17106], [17137, 17140], [17239, 17241], [17278, 17281], [17353, 17356]]","[['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Francis Oakley'], ['Maurice Oakley', 'Francis Oakley'], ['Francis Oakley'], ['Francis Oakley']]",X,26,major,TheSportOfTheGods,71,71,1,1,20,17060,17382
Q27-0,"No, Maurice,","[17413, 17425]",Francis Oakley,['Maurice Oakley'],Anaphoric,he said,['Maurice'],"[[17417, 17424]]",[['Maurice Oakley']],X,27,minor,TheSportOfTheGods,72,72,1,1,8,17413,17425
Q27-1,"I can accept no more from you. I have already used up all my own money and too much of yours in this hopeless fight. I don't suppose I was ever cut out for an artist, or I 'd have done something really notable in this time, and would not be a burden upon those who care for me. No, I 'll give up going to Paris and find some work to do.","[17437, 17773]",Francis Oakley,['Maurice Oakley'],Anaphoric,he said,"['you', 'yours']","[[17463, 17466], [17524, 17529]]","[['Maurice Oakley'], ['Maurice Oakley']]",X,27,minor,TheSportOfTheGods,72,72,1,1,8,17437,17773
