paraID,startByte,endByte,chapID
1,0,18,-1
2,20,39,-1
3,45,100,-1
4,106,138,-1
5,140,174,-1
6,179,655,-1
7,657,673,-1
8,680,719,-1
9,724,800,1
10,803,2023,1
11,2025,2533,1
12,2535,3703,1
13,3705,4353,1
14,4355,5131,1
15,5133,5921,1
16,5923,6474,1
17,6476,6655,1
18,6657,6774,1
19,6776,6861,1
20,6863,7122,1
21,7124,7227,1
22,7229,7306,1
23,7308,7325,1
24,7327,7404,1
25,7406,7447,1
26,7449,7466,1
27,7468,7584,1
28,7586,7612,1
29,7614,7667,1
30,7669,7727,1
31,7729,7768,1
32,7770,7906,1
33,7908,7930,1
34,7932,8075,1
35,8080,8156,2
36,8159,8914,2
37,8916,9663,2
38,9665,10624,2
39,10626,10684,2
40,10686,10742,2
41,10744,10749,2
42,10751,10761,2
43,10763,10877,2
44,10879,10918,2
45,10920,10951,2
46,10953,11039,2
47,11041,11073,2
48,11075,11080,2
49,11082,11134,2
50,11136,11226,2
51,11228,11237,2
52,11239,11303,2
53,11305,11375,2
54,11377,11496,2
55,11498,11584,2
56,11586,11620,2
57,11622,11693,2
58,11695,11737,2
59,11739,11821,2
60,11823,11890,2
61,11892,12034,2
62,12036,12101,2
63,12103,12130,2
64,12132,12156,2
65,12158,12189,2
66,12191,12329,2
67,12331,12363,2
68,12365,12404,2
69,12406,12445,2
70,12447,12468,2
71,12470,13046,2
72,13048,13084,2
73,13086,13309,2
74,13311,13340,2
75,13342,13407,2
76,13409,13458,2
77,13460,13474,2
78,13476,13521,2
79,13523,13538,2
80,13540,13613,2
81,13615,13653,2
82,13655,13842,2
83,13844,13885,2
84,13887,14045,2
85,14047,14096,2
86,14098,14182,2
87,14184,14318,2
88,14320,14352,2
89,14354,14379,2
90,14381,14674,2
91,14676,14743,2
92,14745,14772,2
93,14774,14814,2
94,14816,14869,2
95,14871,14888,2
96,14890,15517,2
97,15519,15604,2
98,15606,15638,2
99,15640,15673,2
100,15675,15702,2
101,15704,15742,2
102,15744,15786,2
103,15788,15810,2
104,15812,15831,2
105,15833,16024,2
106,16029,16105,3
107,16108,16780,3
108,16782,16819,3
109,16821,16830,3
110,16832,16867,3
111,16869,16917,3
112,16919,16942,3
113,16944,16995,3
114,16997,17016,3
115,17018,17062,3
116,17064,17087,3
117,17089,17094,3
118,17096,17130,3
119,17132,17154,3
120,17156,17182,3
121,17184,17198,3
122,17200,17402,3
123,17404,17455,3
124,17457,17955,3
125,17957,17998,3
126,18000,18038,3
127,18040,18055,3
128,18057,18327,3
129,18329,18342,3
130,18344,18374,3
131,18376,18382,3
132,18384,18418,3
133,18420,18530,3
134,18532,18578,3
135,18580,18594,3
136,18596,18682,3
137,18684,18706,3
138,18708,18740,3
139,18742,18750,3
140,18752,18776,3
141,18778,18793,3
142,18795,18816,3
143,18818,18833,3
144,18835,18861,3
145,18863,19040,3
146,19042,19133,3
147,19135,19462,3
148,19464,19538,3
149,19540,19571,3
150,19573,19594,3
151,19596,19832,3
152,19834,19866,3
153,19868,19889,3
154,19891,20156,3
155,20158,20212,3
156,20214,20330,3
157,20332,20390,3
158,20392,20405,3
159,20407,20485,3
160,20487,20596,3
161,20598,20682,3
162,20684,20692,3
163,20694,20805,3
164,20807,20868,3
165,20870,20910,3
166,20912,20934,3
167,20936,20988,3
168,20990,21001,3
169,21003,21048,3
170,21050,21060,3
171,21062,21161,3
172,21163,21319,3
173,21321,21338,3
174,21340,21425,3
175,21427,21567,3
176,21569,21642,3
177,21644,21678,3
178,21680,21744,3
179,21746,21799,3
180,21801,21995,3
181,21997,22027,3
182,22029,22076,3
183,22078,22115,3
184,22117,22288,3
185,22290,22368,3
186,22370,22617,3
187,22619,22683,3
188,22685,22822,3
189,22824,22875,3
190,22877,22964,3
191,22966,22984,3
192,22986,23046,3
193,23048,23077,3
194,23079,23137,3
195,23139,23187,3
196,23189,23380,3
197,23382,23921,3
198,23923,24290,3
199,24292,24343,3
200,24345,24356,3
201,24358,24372,3
202,24374,24394,3
203,24396,24417,3
204,24419,25154,3
205,25156,25283,3
206,25285,25343,3
207,25345,25423,3
208,25425,26164,3
209,26166,26446,3
210,26448,26495,3
211,26497,26512,3
212,26514,26536,3
213,26538,26606,3
214,26608,26657,3
215,26659,26665,3
216,26667,26695,3
217,26697,26703,3
218,26705,26714,3
219,26716,26801,3
220,26803,26846,3
221,26848,26921,3
222,26923,27078,3
223,27080,27155,3
224,27157,27313,3
225,27315,27335,3
226,27337,27367,3
227,27369,27520,3
228,27522,27570,3
229,27572,27597,3
230,27599,27618,3
231,27620,27667,3
232,27669,27743,3
233,27745,27988,3
234,27990,28248,3
235,28250,28297,3
236,28299,28360,3
237,28362,28382,3
238,28384,28420,3
239,28422,28446,3
240,28448,28549,3
241,28551,28575,3
242,28577,28637,3
243,28639,28674,3
244,28676,28767,3
245,28769,28851,3
246,28853,28970,3
247,28972,29005,3
248,29007,29161,3
249,29163,29208,3
250,29210,29274,3
251,29276,29332,3
252,29334,29359,3
253,29361,29370,3
254,29372,29397,3
255,29399,29578,3
256,29580,29614,3
257,29616,29651,3
258,29653,29686,3
259,29688,29700,3
260,29702,29708,3
261,29710,29724,3
262,29726,29776,3
263,29778,29795,3
264,29797,29835,3
265,29837,30147,3
266,30149,30293,3
