qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte
Q0-0,"I know a girl in Strasbourg who can show us the town,","[6412, 6465]",Jake Barnes,"['Frances Clyne', 'Robert Cohn']",Anaphoric,I said,['us'],"[[6453, 6455]]","[['Jake Barnes', 'Robert Cohn']]",X,0,major,TheSunAlsoRises,16,16,1,1,15,6412,6465
Q1-0,She's been there two years and knows everything there is to know about the town. She's a swell girl.,"[6554, 6654]",Jake Barnes,"['Frances Clyne', 'Robert Cohn']",Anaphoric,I thought it was accidental and went on,[],[],[],X,1,major,TheSunAlsoRises,17,17,1,1,15,6554,6654
Q2-0,"Hell,","[6777, 6782]",Jake Barnes,"['Frances Clyne', 'Robert Cohn']",Anaphoric,I said,[],[],[],X,2,major,TheSunAlsoRises,19,19,1,1,15,6777,6782
Q2-1,"why go to Strasbourg? We could go up to Bruges, or to the Ardennes.","[6793, 6860]",Jake Barnes,"['Frances Clyne', 'Robert Cohn']",Anaphoric,I said,['We'],"[[6815, 6817]]","[['Jake Barnes', 'Robert Cohn']]",X,2,major,TheSunAlsoRises,19,19,1,1,15,6793,6860
Q3-0,"For God's sake,","[7015, 7030]",Robert Cohn,['Jake Barnes'],Anaphoric,he said,[],[],[],X,3,major,TheSunAlsoRises,20,20,1,1,23,7015,7030
Q3-1,why did you say that about that girl in Strasbourg for? Didn't you see Frances?,"[7042, 7121]",Robert Cohn,['Jake Barnes'],Anaphoric,he said,"['you', 'you', 'Frances']","[[7050, 7053], [7105, 7108], [7113, 7120]]","[['Jake Barnes'], ['Jake Barnes'], ['Frances Clyne']]",X,3,major,TheSunAlsoRises,20,20,1,1,23,7042,7121
Q4-0,"No, why should I? If I know an American girl that lives in Strasbourg what the hell is it to Frances?","[7125, 7226]",Jake Barnes,['Robert Cohn'],Implicit,,['Frances'],"[[7218, 7225]]",[['Frances Clyne']],X,4,major,TheSunAlsoRises,21,21,1,1,15,7125,7226
Q5-0,"It doesn't make any difference. Any girl. I couldn't go, that would be all.","[7230, 7305]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,5,major,TheSunAlsoRises,22,22,1,1,23,7230,7305
Q6-0,Don't be silly.,"[7309, 7324]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,6,major,TheSunAlsoRises,23,23,1,1,15,7309,7324
Q7-0,You don't know Frances. Any girl at all. Didn't you see the way she looked?,"[7328, 7403]",Robert Cohn,['Jake Barnes'],Implicit,,"['You', 'Frances', 'you', 'she']","[[7328, 7331], [7343, 7350], [7376, 7379], [7392, 7395]]","[['Jake Barnes'], ['Frances Clyne'], ['Jake Barnes'], ['Frances Clyne']]",X,7,major,TheSunAlsoRises,24,24,1,1,23,7328,7403
Q8-0,"Oh, well,","[7407, 7416]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,8,major,TheSunAlsoRises,25,25,1,1,15,7407,7416
Q8-1,let's go to Senlis.,"[7427, 7446]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,"[""'s""]","[[7430, 7432]]","[['Jake Barnes', 'Robert Cohn']]",X,8,major,TheSunAlsoRises,25,25,1,1,15,7427,7446
Q9-0,Don't get sore.,"[7450, 7465]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,9,major,TheSunAlsoRises,26,26,1,1,23,7450,7465
Q10-0,I'm not sore. Senlis is a good place and we can stay at the Grand Cerf and take a hike in the woods and come home.,"[7469, 7583]",Jake Barnes,['Robert Cohn'],Implicit,,['we'],"[[7510, 7512]]","[['Jake Barnes', 'Robert Cohn']]",X,10,major,TheSunAlsoRises,27,27,1,1,15,7469,7583
Q11-0,"Good, that will be fine.","[7587, 7611]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,11,major,TheSunAlsoRises,28,28,1,1,23,7587,7611
Q12-0,"Well, I'll see you to-morrow at the courts,","[7615, 7658]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,['you'],"[[7630, 7633]]",[['Robert Cohn']],X,12,major,TheSunAlsoRises,29,29,1,1,15,7615,7658
Q13-0,"Good-night, Jake,","[7670, 7687]",Robert Cohn,['Jake Barnes'],Anaphoric,he said,['Jake'],"[[7682, 7686]]",[['Jake Barnes']],X,13,major,TheSunAlsoRises,30,30,1,1,23,7670,7687
Q14-0,"You forgot to get your paper,","[7730, 7759]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,"['You', 'your']","[[7730, 7733], [7748, 7752]]","[['Robert Cohn'], ['Robert Cohn']]",X,14,major,TheSunAlsoRises,31,31,1,1,15,7730,7759
Q15-0,That's so.,"[7771, 7781]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,15,major,TheSunAlsoRises,32,32,1,1,23,7771,7781
Q16-0,"You are not sore, are you, Jake?","[7835, 7867]",Robert Cohn,['Jake Barnes'],Implicit,,"['You', 'you', 'Jake']","[[7835, 7838], [7857, 7860], [7862, 7866]]","[['Jake Barnes'], ['Jake Barnes'], ['Jake Barnes']]",X,16,major,TheSunAlsoRises,32,32,1,1,23,7835,7867
Q17-0,"No, why should I be?","[7909, 7929]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,17,major,TheSunAlsoRises,33,33,1,1,15,7909,7929
Q18-0,"See you at tennis,","[7933, 7951]",Robert Cohn,['Jake Barnes'],Anaphoric,he said,['you'],"[[7937, 7940]]",[['Jake Barnes']],X,18,major,TheSunAlsoRises,34,34,1,1,23,7933,7951
Q19-0,"Hello, Robert,","[10627, 10641]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,['Robert'],"[[10634, 10640]]",[['Robert Cohn']],X,19,major,TheSunAlsoRises,39,39,2,2,15,10627,10641
Q19-1,Did you come in to cheer me up?,"[10652, 10683]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,['you'],"[[10656, 10659]]",[['Robert Cohn']],X,19,major,TheSunAlsoRises,39,39,2,2,15,10652,10683
Q20-0,"Would you like to go to South America, Jake?","[10687, 10731]",Robert Cohn,['Jake Barnes'],Anaphoric,he asked,"['you', 'Jake']","[[10693, 10696], [10726, 10730]]","[['Jake Barnes'], ['Jake Barnes']]",X,20,major,TheSunAlsoRises,40,40,2,2,23,10687,10731
Q21-0,No.,"[10745, 10748]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,21,major,TheSunAlsoRises,41,41,2,2,15,10745,10748
Q22-0,Why not?,"[10752, 10760]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,22,major,TheSunAlsoRises,42,42,2,2,23,10752,10760
Q23-0,I don't know. I never wanted to go. Too expensive. You can see all the South Americans you want in Paris anyway.,"[10764, 10876]",Jake Barnes,['Robert Cohn'],Implicit,,"['You', 'you']","[[10815, 10818], [10851, 10854]]","[['Robert Cohn'], ['Robert Cohn']]",X,23,major,TheSunAlsoRises,43,43,2,2,15,10764,10876
Q24-0,They're not the real South Americans.,"[10880, 10917]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,24,major,TheSunAlsoRises,44,44,2,2,23,10880,10917
Q25-0,They look awfully real to me.,"[10921, 10950]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,25,major,TheSunAlsoRises,45,45,2,2,15,10921,10950
Q26-0,Do you know any dirt?,"[11042, 11063]",Jake Barnes,['Robert Cohn'],Anaphoric,I asked,['you'],"[[11045, 11048]]",[['Robert Cohn']],X,26,major,TheSunAlsoRises,47,47,2,2,15,11042,11063
Q27-0,No.,"[11076, 11079]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,27,major,TheSunAlsoRises,48,48,2,2,23,11076,11079
Q28-0,None of your exalted connections getting divorces?,"[11083, 11133]",Jake Barnes,['Robert Cohn'],Implicit,,['your'],"[[11091, 11095]]",[['Robert Cohn']],X,28,major,TheSunAlsoRises,49,49,2,2,15,11083,11133
Q29-0,"No; listen, Jake. If I handled both our expenses, would you go to South America with me?","[11137, 11225]",Robert Cohn,['Jake Barnes'],Implicit,,"['Jake', 'you']","[[11149, 11153], [11193, 11196]]","[['Jake Barnes'], ['Jake Barnes']]",X,29,major,TheSunAlsoRises,50,50,2,2,23,11137,11225
Q30-0,Why me?,"[11229, 11236]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,30,major,TheSunAlsoRises,51,51,2,2,15,11229,11236
Q31-0,You can talk Spanish. And it would be more fun with two of us.,"[11240, 11302]",Robert Cohn,['Jake Barnes'],Implicit,,"['You', 'us']","[[11240, 11243], [11299, 11301]]","[['Jake Barnes'], ['Jake Barnes', 'Robert Cohn']]",X,31,major,TheSunAlsoRises,52,52,2,2,23,11240,11302
Q32-0,"No,","[11306, 11309]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,32,major,TheSunAlsoRises,53,53,2,2,15,11306,11309
Q32-1,I like this town and I go to Spain in the summer-time.,"[11320, 11374]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,32,major,TheSunAlsoRises,53,53,2,2,15,11320,11374
Q33-0,"All my life I've wanted to go on a trip like that,","[11378, 11428]",Robert Cohn,['Jake Barnes'],Explicit,Cohn said,[],[],[],X,33,major,TheSunAlsoRises,54,54,2,2,23,11378,11428
Q33-1,I'll be too old before I can ever do it.,"[11455, 11495]",Robert Cohn,['Jake Barnes'],Explicit,Cohn said,[],[],[],X,33,major,TheSunAlsoRises,54,54,2,2,23,11455,11495
Q34-0,"Don't be a fool,","[11499, 11515]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,34,major,TheSunAlsoRises,55,55,2,2,15,11499,11515
Q34-1,You can go anywhere you want. You've got plenty of money.,"[11526, 11583]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,"['You', 'you', 'You']","[[11526, 11529], [11546, 11549], [11556, 11559]]","[['Robert Cohn'], ['Robert Cohn'], ['Robert Cohn']]",X,34,major,TheSunAlsoRises,55,55,2,2,15,11526,11583
Q35-0,I know. But I can't get started.,"[11587, 11619]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,35,major,TheSunAlsoRises,56,56,2,2,23,11587,11619
Q36-0,"Cheer up,","[11623, 11632]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,36,major,TheSunAlsoRises,57,57,2,2,15,11623,11632
Q36-1,All countries look just like the moving pictures.,"[11643, 11692]",Jake Barnes,['Robert Cohn'],Anaphoric,I said,[],[],[],X,36,major,TheSunAlsoRises,57,57,2,2,15,11643,11692
Q37-0,I can't stand it to think my life is going so fast and I'm not really living it.,"[11740, 11820]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,37,major,TheSunAlsoRises,59,59,2,2,23,11740,11820
Q38-0,Nobody ever lives their life all the way up except bull-fighters.,"[11824, 11889]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,38,major,TheSunAlsoRises,60,60,2,2,15,11824,11889
Q39-0,I'm not interested in bull-fighters. That's an abnormal life. I want to go back in the country in South America. We could have a great trip.,"[11893, 12033]",Robert Cohn,['Jake Barnes'],Implicit,,['We'],"[[12006, 12008]]","[['Jake Barnes', 'Robert Cohn']]",X,39,major,TheSunAlsoRises,61,61,2,2,23,11893,12033
Q40-0,Did you ever think about going to British East Africa to shoot?,"[12037, 12100]",Jake Barnes,['Robert Cohn'],Implicit,,['you'],"[[12041, 12044]]",[['Robert Cohn']],X,40,major,TheSunAlsoRises,62,62,2,2,15,12037,12100
Q41-0,"No, I wouldn't like that.","[12104, 12129]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,41,major,TheSunAlsoRises,63,63,2,2,23,12104,12129
Q42-0,I'd go there with you.,"[12133, 12155]",Jake Barnes,['Robert Cohn'],Implicit,,['you'],"[[12151, 12154]]",[['Robert Cohn']],X,42,major,TheSunAlsoRises,64,64,2,2,15,12133,12155
Q43-0,No; that doesn't interest me.,"[12159, 12188]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,43,major,TheSunAlsoRises,65,65,2,2,23,12159,12188
Q44-0,That's because you never read a book about it. Go on and read a book all full of love affairs with the beautiful shiny black princesses.,"[12192, 12328]",Jake Barnes,['Robert Cohn'],Implicit,,['you'],"[[12207, 12210]]",[['Robert Cohn']],X,44,major,TheSunAlsoRises,66,66,2,2,15,12192,12328
Q45-0,I want to go to South America.,"[12332, 12362]",Robert Cohn,['Jake Barnes'],Implicit,,[],[],[],X,45,major,TheSunAlsoRises,67,67,2,2,23,12332,12362
Q46-0,Come on down-stairs and have a drink.,"[12407, 12444]",Jake Barnes,['Robert Cohn'],Implicit,,[],[],[],X,46,major,TheSunAlsoRises,69,69,2,2,15,12407,12444
