TheManWhoWasThursday,Q197-0
HandfulOfDust,Q2330-0
Emma,Q439-1
HowardsEnd,Q1988-0
TheInvisibleMan,Q311-0
TheSunAlsoRises,Q1577-0
HowardsEnd,Q1535-0
TheInvisibleMan,Q843-0
AliceInWonderland,Q614-0
TheSunAlsoRises,Q264-0
TheMysteriousAffairAtStyles,Q126-0
TheInvisibleMan,Q351-0
NightAndDay,Q25-1
TheInvisibleMan,Q374-1
TheInvisibleMan,Q809-1
NightAndDay,Q662-0
ARoomWithAView,Q184-1
AgeOfInnocence,Q1023-1
TheInvisibleMan,Q218-0
HowardsEnd,Q1084-0
PrideAndPrejudice,Q308-1
TheMysteriousAffairAtStyles,Q929-0
NightAndDay,Q1643-0
ARoomWithAView,Q345-0
AnneOfGreenGables,Q275-0
TheInvisibleMan,Q412-0
DaisyMiller,Q102-0
SignOfFour,Q628-0
TheSunAlsoRises,Q1935-1
TheMysteriousAffairAtStyles,Q1366-0
TheManWhoWasThursday,Q345-1
SenseAndSensibility,Q41-1
AliceInWonderland,Q584-0
TheInvisibleMan,Q349-0
AliceInWonderland,Q188-0
NightAndDay,Q547-0
AnneOfGreenGables,Q906-2
TheInvisibleMan,Q149-0
AliceInWonderland,Q283-0
TheSunAlsoRises,Q1718-1
Persuasion,Q158-0
AnneOfGreenGables,Q939-0
NightAndDay,Q2050-0
HowardsEnd,Q452-1
HowardsEnd,Q2579-1
AnneOfGreenGables,Q763-0
Emma,Q795-0
TheAwakening,Q409-0
TheMysteriousAffairAtStyles,Q1100-0
AgeOfInnocence,Q741-0
NightAndDay,Q1253-0
SenseAndSensibility,Q977-0
SenseAndSensibility,Q802-1
HowardsEnd,Q1927-0
AgeOfInnocence,Q911-1
TheManWhoWasThursday,Q514-1
NorthangerAbbey,Q265-1
TheGambler,Q280-0
Persuasion,Q368-0
AliceInWonderland,Q24-1
AliceInWonderland,Q244-0
TheInvisibleMan,Q393-1
TheMysteriousAffairAtStyles,Q467-0
TheMysteriousAffairAtStyles,Q27-0
Persuasion,Q238-0
HowardsEnd,Q978-0
HandfulOfDust,Q347-1
AliceInWonderland,Q413-0
Emma,Q642-1
TheInvisibleMan,Q808-1
HandfulOfDust,Q1982-0
TheSunAlsoRises,Q1911-1
TheSunAlsoRises,Q853-1
Emma,Q1491-0
Emma,Q1109-0
AnneOfGreenGables,Q1094-0
AliceInWonderland,Q498-0
AliceInWonderland,Q531-1
NorthangerAbbey,Q134-0
Persuasion,Q194-0
TheSunAlsoRises,Q2187-1
ThePictureOfDorianGray,Q494-1
AliceInWonderland,Q586-0
ThePictureOfDorianGray,Q668-1
PrideAndPrejudice,Q86-1
ARoomWithAView,Q1040-0
DaisyMiller,Q472-0
AnneOfGreenGables,Q774-0
TheManWhoWasThursday,Q765-1
TheManWhoWasThursday,Q522-0
HowardsEnd,Q1555-0
AliceInWonderland,Q555-1
PrideAndPrejudice,Q590-1
AliceInWonderland,Q91-1
PrideAndPrejudice,Q464-0
HandfulOfDust,Q164-0
NightAndDay,Q391-1
AliceInWonderland,Q467-0
NightAndDay,Q1798-0
AgeOfInnocence,Q1242-0
Persuasion,Q330-0
HowardsEnd,Q237-0
Emma,Q778-1
SenseAndSensibility,Q828-0
