TheMysteriousAffairAtStyles,Q1150-0
HowardsEnd,Q1301-0
TheMysteriousAffairAtStyles,Q126-0
TheSunAlsoRises,Q2080-0
AgeOfInnocence,Q1175-1
AgeOfInnocence,Q349-0
AliceInWonderland,Q300-0
HandfulOfDust,Q1795-0
HowardsEnd,Q935-0
HandfulOfDust,Q282-0
PrideAndPrejudice,Q1147-0
TheMysteriousAffairAtStyles,Q990-1
TheSunAlsoRises,Q2199-1
HandfulOfDust,Q1668-1
HowardsEnd,Q817-0
TheManWhoWasThursday,Q426-1
TheSunAlsoRises,Q328-0
TheMysteriousAffairAtStyles,Q1145-0
TheSunAlsoRises,Q1903-0
TheSportOfTheGods,Q445-0
HowardsEnd,Q2136-0
AliceInWonderland,Q166-1
PrideAndPrejudice,Q1250-1
ThePictureOfDorianGray,Q1052-0
ARoomWithAView,Q810-0
SenseAndSensibility,Q539-1
TheMysteriousAffairAtStyles,Q1266-0
ARoomWithAView,Q3-0
SignOfFour,Q568-0
SenseAndSensibility,Q748-0
ARoomWithAView,Q1394-0
NightAndDay,Q560-0
ThePictureOfDorianGray,Q1053-0
TheMysteriousAffairAtStyles,Q1636-0
SenseAndSensibility,Q71-0
DaisyMiller,Q25-0
TheSunAlsoRises,Q1844-2
TheMysteriousAffairAtStyles,Q1308-0
TheSunAlsoRises,Q868-0
SenseAndSensibility,Q292-0
TheSunAlsoRises,Q762-1
PrideAndPrejudice,Q909-0
HandfulOfDust,Q1023-1
AgeOfInnocence,Q165-0
TheSunAlsoRises,Q992-0
TheSunAlsoRises,Q1608-0
HowardsEnd,Q1647-0
HowardsEnd,Q583-0
TheSunAlsoRises,Q857-0
HowardsEnd,Q1427-1
TheMysteriousAffairAtStyles,Q1801-0
NightAndDay,Q356-0
SignOfFour,Q193-0
ThePictureOfDorianGray,Q57-0
HandfulOfDust,Q375-0
TheSunAlsoRises,Q272-0
HowardsEnd,Q254-0
HandfulOfDust,Q614-0
TheMysteriousAffairAtStyles,Q1291-1
SignOfFour,Q114-11
DaisyMiller,Q437-0
ARoomWithAView,Q862-0
NightAndDay,Q208-0
ThePictureOfDorianGray,Q734-0
TheSunAlsoRises,Q372-0
TheMysteriousAffairAtStyles,Q375-0
ARoomWithAView,Q1495-0
AliceInWonderland,Q496-0
NightAndDay,Q643-1
AliceInWonderland,Q357-0
DaisyMiller,Q423-0
TheMysteriousAffairAtStyles,Q284-0
NightAndDay,Q1456-0
PrideAndPrejudice,Q553-1
AgeOfInnocence,Q990-0
ARoomWithAView,Q888-0
TheManWhoWasThursday,Q26-1
DaisyMiller,Q292-1
AgeOfInnocence,Q601-0
ARoomWithAView,Q487-0
PrideAndPrejudice,Q227-1
HandfulOfDust,Q2078-0
SenseAndSensibility,Q360-0
AgeOfInnocence,Q850-0
TheSunAlsoRises,Q1496-0
HandfulOfDust,Q33-1
ARoomWithAView,Q163-0
HandfulOfDust,Q288-0
TheManWhoWasThursday,Q156-1
ARoomWithAView,Q993-0
