TheSunAlsoRises,Q1623-0
HandfulOfDust,Q1358-0
TheInvisibleMan,Q642-0
TheMysteriousAffairAtStyles,Q474-0
NightAndDay,Q806-0
AliceInWonderland,Q29-0
TheInvisibleMan,Q79-0
AgeOfInnocence,Q203-0
TheSunAlsoRises,Q376-0
TheInvisibleMan,Q696-0
TheManWhoWasThursday,Q133-0
TheSunAlsoRises,Q1774-0
TheMysteriousAffairAtStyles,Q268-0
DaisyMiller,Q509-1
TheMysteriousAffairAtStyles,Q1627-0
Persuasion,Q377-1
Emma,Q774-0
HandfulOfDust,Q2095-0
NightAndDay,Q1285-0
NightAndDay,Q1175-0
PrideAndPrejudice,Q460-1
HandfulOfDust,Q1172-0
TheMysteriousAffairAtStyles,Q0-0
TheSunAlsoRises,Q1053-1
HandfulOfDust,Q166-0
TheInvisibleMan,Q19-0
SenseAndSensibility,Q919-0
HandfulOfDust,Q1817-0
ThePictureOfDorianGray,Q1123-0
Persuasion,Q405-1
HandfulOfDust,Q1134-0
HandfulOfDust,Q1716-0
ARoomWithAView,Q29-0
AgeOfInnocence,Q220-0
ThePictureOfDorianGray,Q280-0
TheSunAlsoRises,Q273-0
Emma,Q315-0
HandfulOfDust,Q2317-1
TheSunAlsoRises,Q137-0
NightAndDay,Q1204-0
TheMysteriousAffairAtStyles,Q222-0
Emma,Q781-0
ARoomWithAView,Q75-0
AgeOfInnocence,Q782-0
SignOfFour,Q316-0
TheSunAlsoRises,Q1226-0
AnneOfGreenGables,Q363-0
NightAndDay,Q357-0
AnneOfGreenGables,Q163-1
HowardsEnd,Q1563-0
SignOfFour,Q9-0
ARoomWithAView,Q143-0
AnneOfGreenGables,Q252-0
AnneOfGreenGables,Q678-0
ThePictureOfDorianGray,Q1073-1
Emma,Q959-0
ThePictureOfDorianGray,Q323-0
Emma,Q494-0
HandfulOfDust,Q154-0
NorthangerAbbey,Q149-0
HowardsEnd,Q450-0
TheMysteriousAffairAtStyles,Q713-0
SignOfFour,Q268-0
TheSportOfTheGods,Q468-0
TheMysteriousAffairAtStyles,Q400-0
TheManWhoWasThursday,Q437-1
SignOfFour,Q330-0
HowardsEnd,Q2-0
TheManWhoWasThursday,Q508-0
NightAndDay,Q828-0
HowardsEnd,Q2254-0
Emma,Q1472-0
HandfulOfDust,Q392-0
ARoomWithAView,Q1400-0
AgeOfInnocence,Q1094-0
HowardsEnd,Q2309-0
HandfulOfDust,Q1524-0
TheInvisibleMan,Q511-0
HowardsEnd,Q2032-0
AgeOfInnocence,Q1223-1
Emma,Q205-0
AnneOfGreenGables,Q589-2
ARoomWithAView,Q991-0
SenseAndSensibility,Q142-1
TheSunAlsoRises,Q386-0
AliceInWonderland,Q393-1
ARoomWithAView,Q627-0
SignOfFour,Q178-0
HowardsEnd,Q416-0
SenseAndSensibility,Q15-0
TheMysteriousAffairAtStyles,Q1519-0
PrideAndPrejudice,Q317-0
TheGambler,Q756-0
TheGambler,Q662-0
NightAndDay,Q1284-0
SignOfFour,Q471-0
NightAndDay,Q102-0
NightAndDay,Q1651-0
Emma,Q1151-0
Persuasion,Q295-0
TheAwakening,Q507-1
TheMysteriousAffairAtStyles,Q903-0
AnneOfGreenGables,Q953-1
TheSunAlsoRises,Q891-0
AgeOfInnocence,Q1002-0
TheSunAlsoRises,Q1141-0
AnneOfGreenGables,Q9-1
Persuasion,Q10-0
AgeOfInnocence,Q150-0
AnneOfGreenGables,Q63-1
TheMysteriousAffairAtStyles,Q789-0
NorthangerAbbey,Q608-0
TheSunAlsoRises,Q2356-0
TheInvisibleMan,Q743-0
AnneOfGreenGables,Q226-0
SignOfFour,Q523-1
TheMysteriousAffairAtStyles,Q822-1
AnneOfGreenGables,Q765-0
NightAndDay,Q972-1
AgeOfInnocence,Q543-0
AgeOfInnocence,Q256-0
TheGambler,Q546-1
ThePictureOfDorianGray,Q615-0
TheInvisibleMan,Q36-0
Emma,Q1284-0
Emma,Q304-0
TheMysteriousAffairAtStyles,Q184-0
HandfulOfDust,Q359-0
TheInvisibleMan,Q165-0
TheMysteriousAffairAtStyles,Q65-0
SenseAndSensibility,Q280-1
TheMysteriousAffairAtStyles,Q122-1
NightAndDay,Q1304-0
TheSunAlsoRises,Q1395-0
TheMysteriousAffairAtStyles,Q1710-0
AnneOfGreenGables,Q1133-0
Emma,Q1249-0
TheMysteriousAffairAtStyles,Q1132-0
TheAwakening,Q418-0
PrideAndPrejudice,Q975-0
TheSunAlsoRises,Q1899-0
HowardsEnd,Q1800-0
TheMysteriousAffairAtStyles,Q1299-0
Emma,Q1309-0
AliceInWonderland,Q249-0
ARoomWithAView,Q1577-0
Emma,Q343-0
TheSunAlsoRises,Q73-1
AgeOfInnocence,Q911-1
TheSunAlsoRises,Q35-0
NightAndDay,Q966-0
AliceInWonderland,Q195-0
AnneOfGreenGables,Q233-0
PrideAndPrejudice,Q640-0
HandfulOfDust,Q1706-0
NightAndDay,Q657-0
AnneOfGreenGables,Q801-0
TheSunAlsoRises,Q1285-0
SenseAndSensibility,Q113-0
TheInvisibleMan,Q467-0
NorthangerAbbey,Q546-0
AnneOfGreenGables,Q145-0
ARoomWithAView,Q1454-0
AnneOfGreenGables,Q1178-0
TheInvisibleMan,Q293-0
TheAwakening,Q9-0
NightAndDay,Q863-0
TheSunAlsoRises,Q1670-0
ARoomWithAView,Q1512-1
ARoomWithAView,Q954-0
AnneOfGreenGables,Q281-0
TheMysteriousAffairAtStyles,Q1148-0
HandfulOfDust,Q1171-0
HowardsEnd,Q1274-1
SenseAndSensibility,Q330-0
TheAwakening,Q480-1
SignOfFour,Q436-0
PrideAndPrejudice,Q1096-0
TheSunAlsoRises,Q917-1
AnneOfGreenGables,Q392-1
Persuasion,Q260-1
TheGambler,Q177-0
TheMysteriousAffairAtStyles,Q1826-0
TheGambler,Q493-0
TheSunAlsoRises,Q1046-0
Emma,Q328-1
AliceInWonderland,Q139-0
HandfulOfDust,Q20-0
DaisyMiller,Q42-1
HandfulOfDust,Q429-0
TheMysteriousAffairAtStyles,Q1617-0
HandfulOfDust,Q151-0
AgeOfInnocence,Q953-0
